;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ARS/USD)
1992.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;;;;;;;55.0;;;;;;;;;;;;;;;;;;;;;;;59.45;;;31.11;;25.33;;;55.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;;;;;;;49.0;;;;;;;;;;;;;;;;;;;;;;;57.83;;;30.15;;28.87;;;49.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;;;;;;;48.0;;;;;;;;;;;;;;;;;;;;;;;66.68;;;25.05;;16.1;;;48.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;;;;;;;54.0;;;;;;;;;;;;;;;;;;;;;;;70.48;;;32.22;;22.96;;;54.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;;;;;;;56.0;;;;;;;;;;;;;;;;;;;;;;;69.87;;;36.24;;26.52;;;56.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;;;;;;;71.0;;;;;;;;;;;;;;;;;;;;;;;59.2;;;15.23;;12.87;;;71.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;;;;;;;80.0;;;;;;;;;;;;;;;;;;;;;;;48.45;;;11.61;;7.73;;;80.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;;;;;;;80.0;;;;;;;;;;;;;;;;;;;;;;;58.63;;;18.56;;13.26;;;80.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;80.0;;;;;;;;;;;;;;;;;;;;;;;42.84;;;2.14;;0.9;;;80.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;110.0;;;;;;;;;;;;;;;;;;;;;;;136.8;;;-49.72;;-50.6;;;110.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;140.0;;;;;;;;;;;;;;;;;;;;;;;84.05;;;-4.5;;-14.27;;;140.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;682.0;;162.0;;6.0;-29.0;147.0;4546.0;5413.0;;4806.0;549.0;245.0;-282.0;46.0;9.0;245.0;;;;;128.0;119.0;9.0;;;391.0;155.0;;23.73;;;0.94;35.0;-4.21;-0.2;-0.2;147.0;;565.0;;565.0;394.0;;3587.0;129.0;;;295.0;443.0;;;867.0;6280.0;;;;;;214.0;;;;214.0;5021.0;;;160.0;-501.0;485.0;405.0;5355.0;58.0;5413.0;;-29.0;;;;;;;;;274.0;;;-222.0;;-60.0;;;;;46.0;;565.0;556.0;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;742.0;;349.0;;45.0;39.0;179.0;3774.0;5269.0;;4613.0;594.0;154.0;-180.0;8.0;-18.0;134.0;;;;;153.0;139.0;13.0;;;545.0;201.0;103.0;46.98;;;6.04;6.0;5.21;0.22;0.22;178.0;;531.0;;531.0;353.0;;2890.0;124.0;;;216.0;1155.0;;;1495.0;2990.0;2.0;;;;;94.0;;;;94.0;4707.0;;;155.0;202.0;179.0;58.0;5207.0;62.0;5269.0;;39.0;103.0;17.0;;;;;;;-4.0;-20.0;;-142.0;;-38.0;;;;;8.0;;531.0;549.0;;0.33;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;848.0;;376.0;;82.0;59.0;180.0;4459.0;6149.0;;5440.0;638.0;360.0;-717.0;666.0;309.0;334.0;;;;;186.0;171.0;15.0;;;632.0;186.0;109.0;44.38;;;9.69;23.0;6.93;0.33;0.33;180.0;;835.0;;835.0;392.0;;3231.0;130.0;;;133.0;1427.0;;;1690.0;7839.0;;;;;;81.0;;;;81.0;5521.0;;;154.0;325.0;102.0;57.0;6078.0;71.0;6149.0;;59.0;109.0;38.0;;;;;;;155.0;-26.0;;-101.0;;-616.0;;;;-9.0;675.0;;835.0;526.0;;0.33;14.45;1.0;5.69;0.15;0.44;10.87;180.0;6.9;0.4;2.2;2595.0;;333.0;180.0;28.5;6.9;13639.0;248.0;1952.0;3.2;4.4;9.2;85.0;2.6;0.327
2007.0;1028.0;;307.0;;91.0;75.0;179.0;5186.0;6995.0;;6267.0;653.0;89.0;-61.0;136.0;164.0;77.0;;;;;229.0;208.0;21.0;;;605.0;216.0;;29.85;;;8.82;16.0;7.27;0.42;0.42;178.0;;1007.0;;1007.0;417.0;;3762.0;127.0;;;37.0;1646.0;;;1810.0;8805.0;0.0;;;;;;;;;;6267.0;;;150.0;362.0;-146.0;287.0;6920.0;75.0;6995.0;;75.0;;;;;;;;;15.0;-12.0;;;;-61.0;-79.0;;;-29.0;244.0;;1101.0;937.0;;0.32;18.15;1.32;1.36;0.5;0.22;11.54;178.0;6.9;0.4;5.6;3237.0;;;235.0;17.7;7.3;16333.0;;2058.0;3.6;4.4;11.4;61.7;37.2;0.318
