;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
2005.0;8801.0;;10315.0;;3432.0;2716.0;1012.0;191476.0;265728.0;;251861.0;13609.0;-2811.0;-23301.0;26633.0;491.0;-2953.0;;;;;3147.0;2952.0;196.0;;;11680.0;6712.0;171.0;117.21;;;39.0;716.0;30.86;2.7;2.67;998.0;;14964.0;;14964.0;2180.0;;174332.0;1637.0;;;620.0;71995.0;;;74253.0;339981.0;1588.0;;;;;2833.0;;;;2833.0;254693.0;;508.0;;11953.0;-1660.0;;265469.0;259.0;265728.0;;2716.0;171.0;-196.0;;-5935.0;;;;;434.0;-142.0;;-22171.0;20037.0;-21167.0;;;;-1136.0;27769.0;-30.0;2116.0;1626.0;;0.85;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;9985.0;;14215.0;;3965.0;3189.0;1001.0;249524.0;337656.0;;321636.0;15633.0;-5314.0;-42126.0;47296.0;-197.0;-5542.0;;;;;3563.0;3356.0;207.0;;;15753.0;10044.0;205.0;142.37;;;39.71;777.0;31.94;3.2;3.16;988.0;;17830.0;;17830.0;;;231694.0;2010.0;;;1040.0;85083.0;;;88132.0;425789.0;2376.0;;;;;2023.0;;;;2023.0;323659.0;;535.0;;14115.0;-2068.0;;337269.0;388.0;337656.0;;3189.0;205.0;-159.0;;-11549.0;;;;;3001.0;-228.0;;-36817.0;29540.0;-34848.0;-267.0;;;-1348.0;48911.0;-53.0;2031.0;2228.0;;0.89;11.34;3.62;-6.3;1.53;0.26;17.76;988.0;11.5;0.6;3.7;11207.0;;230.0;3579.0;19.6;31.9;280081.0;2271.0;17547.0;3.3;4.2;20.4;57.7;-24.3;0.891
2007.0;13232.0;;20459.0;;5412.0;4285.0;997.0;337946.0;435953.0;;415507.0;19920.0;2131.0;-47695.0;45685.0;-150.0;1795.0;;;;;4549.0;4219.0;330.0;;;22284.0;14765.0;283.0;154.62;;;40.9;1126.0;32.39;4.28;4.25;989.0;;26643.0;;26643.0;2816.0;;308487.0;2406.0;;;1490.0;94111.0;;;98008.0;533961.0;2527.0;;;;;1812.0;;;;1812.0;417319.0;;1732.0;;18497.0;-4087.0;;435427.0;526.0;435953.0;;4285.0;283.0;-112.0;;987.0;;;;;-3312.0;-336.0;;-34042.0;35149.0;-48802.0;-530.0;;;-1876.0;48091.0;-273.0;2265.0;2415.0;;1.06;12.63;4.09;1.71;1.79;0.32;19.01;989.0;11.9;0.7;3.7;12490.0;;267.0;4045.0;20.8;32.4;318997.0;1710.0;18803.0;3.7;4.6;21.5;56.2;104.5;1.059
2008.0;9795.0;;15557.0;;3160.0;2589.0;993.0;341712.0;418638.0;;400377.0;17848.0;16586.0;-42670.0;26198.0;360.0;16203.0;;;;;3652.0;3389.0;264.0;;;18404.0;12157.0;240.0;158.82;;;32.26;570.0;26.44;2.53;2.52;987.0;;28776.0;;28776.0;;;312936.0;2216.0;;;2107.0;72603.0;;;76926.0;495565.0;2260.0;;;;;3589.0;;;;3589.0;403966.0;;2358.0;;15297.0;-2965.0;;418225.0;414.0;418638.0;;2589.0;240.0;-302.0;;7944.0;;;;;6116.0;-383.0;;-34179.0;32972.0;-41463.0;-570.0;;;-1652.0;28420.0;245.0;2123.0;1763.0;;0.82;12.03;3.18;19.91;2.03;0.47;21.93;987.0;13.4;0.6;4.8;11877.0;;291.0;3140.0;18.0;26.4;414347.0;4352.0;21641.0;3.0;3.7;14.5;36.2;10.2;0.825
2009.0;13329.0;;14399.0;;4420.0;3270.0;1016.0;344257.0;457788.0;20731.0;434437.0;22840.0;-10185.0;-7495.0;18593.0;720.0;-10369.0;;;;;4288.0;4005.0;283.0;;;17458.0;9780.0;304.0;108.02;;;33.16;1045.0;24.53;3.06;3.05;1013.0;;39902.0;13764.0;53666.0;3231.0;;287361.0;2187.0;2681.0;517.0;3198.0;108145.0;;;113530.0;571318.0;7189.0;13542.0;;;;5480.0;578.0;311.0;;6369.0;420075.0;461.0;3421.0;4560.0;18363.0;-3504.0;;457277.0;511.0;457788.0;;3270.0;304.0;149.0;;-15897.0;-211.0;;;-15897.0;1988.0;-183.0;;-37062.0;36333.0;-6583.0;-331.0;539.0;;-2006.0;20391.0;-193.0;3093.0;2373.0;;0.92;14.27;3.5;-11.1;2.15;0.2;24.45;1013.0;10.1;0.1;6.1;14457.0;;330.0;3547.0;23.6;24.5;350896.0;5944.0;24772.0;2.5;3.1;14.3;38.7;-14.1;0.922
2010.0;15217.0;;14317.0;;5971.0;4160.0;1034.0;396491.0;516861.0;28345.0;489176.0;27117.0;-2890.0;-25254.0;28646.0;368.0;-3189.0;;;;;4918.0;4561.0;357.0;;;16577.0;8116.0;328.0;94.09;;;39.24;1713.0;27.34;3.84;3.84;1032.0;;45171.0;19543.0;64714.0;3243.0;;328534.0;2404.0;2993.0;578.0;3571.0;114395.0;;;120371.0;637232.0;7226.0;21119.0;;;;5829.0;667.0;436.0;;6932.0;467763.0;491.0;3901.0;5668.0;21524.0;-3976.0;;516293.0;568.0;516861.0;;4160.0;328.0;547.0;;-8792.0;;;;-8792.0;868.0;-298.0;;-27602.0;38786.0;-36140.0;-11.0;739.0;;-2183.0;30101.0;-133.0;3661.0;3293.0;;0.98;15.02;4.11;-3.15;2.16;0.29;26.77;1032.0;12.0;0.6;4.4;15505.0;;334.0;4239.0;28.7;27.3;375123.0;5939.0;27631.0;2.0;2.7;15.3;47.5;-45.3;0.981
2011.0;17293.0;;16443.0;;6680.0;5177.0;1074.0;445301.0;575429.0;23375.0;542019.0;32770.0;1063.0;-33788.0;33348.0;564.0;697.0;;;;;5830.0;5401.0;429.0;;;18718.0;9445.0;411.0;95.08;;;38.63;1410.0;29.93;4.62;4.62;1072.0;;54487.0;19038.0;73525.0;5061.0;;366715.0;2553.0;4378.0;3288.0;7666.0;119909.0;;;130128.0;705557.0;7920.0;15455.0;;;;5925.0;717.0;504.0;;7146.0;525790.0;;4385.0;8435.0;24669.0;-4719.0;;574788.0;640.0;575429.0;;5177.0;411.0;201.0;;-5340.0;-176.0;;-176.0;-5340.0;614.0;-366.0;;-23245.0;31930.0;-42473.0;;736.0;;-2417.0;35029.0;-59.0;4295.0;3731.0;;1.0;16.13;4.83;0.65;2.25;0.34;30.56;1072.0;11.5;0.7;4.0;17288.0;;411.0;5175.0;21.1;29.9;421799.0;5923.0;32760.0;2.3;2.8;15.8;53.3;241.0;1.0
2012.0;18417.0;;15421.0;;8044.0;6242.0;1160.0;531072.0;667910.0;27468.0;626540.0;39628.0;8067.0;-11332.0;4094.0;742.0;7633.0;;;;;6198.0;5748.0;450.0;;;17151.0;7150.0;450.0;83.73;;;43.68;1580.0;33.89;5.31;5.22;1133.0;;67178.0;27964.0;95142.0;5995.0;;429935.0;2260.0;5238.0;3452.0;8690.0;125889.0;;;136839.0;804749.0;8849.0;18618.0;887.0;;;10141.0;;538.0;;10679.0;609751.0;;4383.0;13136.0;21974.0;135.0;;666168.0;1743.0;667910.0;;6242.0;450.0;1580.0;38.0;861.0;;;;25033.0;-1103.0;-434.0;-458.0;-34849.0;31774.0;-7365.0;-20.0;4199.0;;-2712.0;2627.0;-88.0;5035.0;4293.0;;1.0;16.26;5.51;6.74;2.39;0.38;34.98;1133.0;9.7;0.7;4.5;18421.0;;450.0;6243.0;19.6;33.9;503705.0;10143.0;39636.0;1.9;2.2;15.8;56.5;-19.5;1.0
2013.0;19805.0;;15490.0;;8109.0;6155.0;1209.0;580745.0;712921.0;;668302.0;42800.0;9340.0;-3094.0;-6906.0;-563.0;9200.0;;;;;6535.0;6051.0;484.0;;;18041.0;7147.0;498.0;78.21;;;40.94;1690.0;31.08;4.97;4.94;1195.0;;59636.0;21531.0;81167.0;4612.0;;494966.0;2136.0;6582.0;3678.0;10260.0;119781.0;;;132176.0;845097.0;7724.0;;827.0;;;5599.0;;536.0;;6134.0;674436.0;;3915.0;13914.0;24264.0;707.0;;711102.0;1819.0;712921.0;;6155.0;498.0;1690.0;35.0;1814.0;;;;4683.0;-853.0;-140.0;-3296.0;-45906.0;50469.0;-4360.0;-4035.0;1204.0;-288.0;-2947.0;-840.0;98.0;5223.0;5786.0;;0.96;17.29;5.37;8.03;2.57;0.12;37.37;1195.0;10.8;0.6;4.4;20663.0;;520.0;6422.0;20.8;31.1;605889.0;5841.0;44653.0;1.7;2.1;14.4;52.1;22.1;0.959
2014.0;20569.0;;14940.0;;8254.0;6276.0;1222.0;578238.0;715029.0;;671354.0;42510.0;4388.0;-520.0;-3715.0;336.0;4142.0;;;;;6491.0;5984.0;507.0;;;17342.0;6421.0;467.0;72.64;;;40.13;1777.0;30.51;5.05;5.02;1214.0;;56814.0;14463.0;71277.0;4124.0;;502837.0;2016.0;6132.0;3528.0;9660.0;125114.0;;;136790.0;851819.0;6637.0;;895.0;;;4323.0;;403.0;;4726.0;676080.0;;2604.0;13518.0;25390.0;998.0;;713864.0;1164.0;715029.0;;6276.0;467.0;1777.0;27.0;-2712.0;;;;11043.0;-1446.0;-246.0;1815.0;-42004.0;39827.0;-159.0;-888.0;668.0;-1305.0;-2898.0;706.0;184.0;5172.0;4836.0;;0.89;19.09;5.82;3.84;2.69;0.23;39.46;1214.0;10.5;0.6;4.4;23176.0;;526.0;7071.0;21.5;30.5;651536.0;4871.0;47899.0;1.6;2.0;14.8;53.8;85.3;0.887
2015.0;18076.0;;12726.0;;6931.0;5362.0;1232.0;546154.0;654792.0;93329.0;613907.0;39769.0;10586.0;-10335.0;201.0;685.0;10370.0;;;;;5560.0;5108.0;453.0;;;15509.0;5501.0;446.0;70.4;;;38.34;1417.0;29.67;4.36;4.33;1210.0;;64583.0;17744.0;82327.0;3667.0;;460161.0;1748.0;5363.0;3390.0;8753.0;98137.0;;;108638.0;763430.0;5611.0;87719.0;446.0;;;90206.0;;458.0;;90664.0;611241.0;;2243.0;11575.0;23941.0;2009.0;;653676.0;1116.0;654792.0;;5362.0;446.0;1417.0;11.0;4076.0;;;;31624.0;-726.0;-216.0;-536.0;-34161.0;31841.0;-7479.0;-14.0;77.0;-730.0;-2604.0;3472.0;233.0;5140.0;4456.0;;0.76;19.54;5.8;11.21;2.81;0.23;42.99;1210.0;8.4;0.4;5.8;23644.0;;584.0;7014.0;20.4;29.7;592315.0;117993.0;52019.0;1.7;1.9;13.5;51.4;31.4;0.764
2016.0;19338.0;;13232.0;;7007.0;5306.0;1226.0;533123.0;668256.0;78380.0;625145.0;41941.0;3056.0;-2053.0;-892.0;98.0;2797.0;;;;;5698.0;5238.0;460.0;;;16558.0;5902.0;510.0;68.43;;;36.24;1514.0;27.44;4.32;4.3;1204.0;;40848.0;22138.0;62986.0;3921.0;;466216.0;1879.0;5506.0;3547.0;9052.0;124201.0;;;135133.0;803388.0;5956.0;72424.0;438.0;;;93160.0;;456.0;;93616.0;640381.0;;2680.0;11566.0;25911.0;1783.0;;667085.0;1171.0;668256.0;;5306.0;510.0;1514.0;5.0;-4576.0;;;;-3946.0;297.0;-259.0;-783.0;-70415.0;48515.0;20629.0;-772.0;292.0;-574.0;-2683.0;2845.0;-13.0;5111.0;5013.0;;0.75;21.54;5.91;3.12;2.99;0.29;46.72;1204.0;8.3;0.4;6.1;25936.0;;684.0;7117.0;21.6;27.4;609903.0;124947.0;56251.0;1.7;1.9;12.7;49.4;106.0;0.746
2017.0;20754.0;;15278.0;;7973.0;6211.0;1223.0;578641.0;710160.0;79514.0;662345.0;46580.0;12868.0;-9730.0;-2275.0;753.0;12868.0;;;;;6173.0;5722.0;451.0;;;18565.0;6899.0;590.0;73.62;;;38.42;1577.0;29.93;5.08;5.04;1203.0;;50728.0;35632.0;86361.0;4032.0;;488248.0;1847.0;5620.0;3773.0;9393.0;120279.0;;;131520.0;841680.0;6855.0;72659.0;317.0;;;95801.0;;541.0;;96342.0;679173.0;;3553.0;12138.0;29575.0;1314.0;;708925.0;1235.0;710160.0;;6211.0;590.0;1577.0;6.0;3621.0;;;;25997.0;861.0;;178.0;-50092.0;51348.0;-11164.0;-1164.0;243.0;-1229.0;-2946.0;2821.0;-110.0;6071.0;5319.0;;0.78;22.23;6.65;13.79;3.16;;49.9;1203.0;9.1;0.4;5.2;26748.0;;761.0;8005.0;19.8;29.9;643287.0;123471.0;60033.0;1.9;2.1;13.3;52.6;30.6;0.776
2018.0;21102.0;;17979.0;;8442.0;6497.0;1229.0;614848.0;758955.0;78106.0;707511.0;49580.0;13538.0;-10432.0;-2181.0;891.0;13222.0;;;;;6108.0;5667.0;442.0;;;21334.0;9027.0;645.0;85.2;;;40.0;1811.0;30.79;5.24;5.18;1213.0;;49756.0;36799.0;86556.0;5680.0;;522612.0;2040.0;7606.0;5862.0;13468.0;128598.0;;;144107.0;903061.0;7142.0;70964.0;331.0;;;108893.0;;916.0;;109809.0;739214.0;;3180.0;13860.0;31479.0;1061.0;;757091.0;1864.0;758955.0;;6497.0;645.0;1811.0;5.0;4377.0;;;;30937.0;204.0;-316.0;-2936.0;-69850.0;64104.0;-1751.0;-177.0;1391.0;-1009.0;-3171.0;784.0;-33.0;6839.0;5948.0;;0.76;22.89;7.05;14.34;3.44;0.34;53.77;1213.0;8.4;0.3;5.8;27762.0;;848.0;8548.0;21.4;30.8;706146.0;143262.0;65228.0;2.0;2.3;13.1;51.2;21.1;0.76
2019.0;22552.0;;20908.0;;8562.0;6374.0;1251.0;656681.0;825157.0;93230.0;771832.0;51296.0;-9135.0;11561.0;-978.0;1449.0;-9277.0;;;;;6889.0;6414.0;475.0;;;24906.0;11857.0;800.0;92.71;;;37.97;1878.0;28.26;5.11;5.07;1222.0;;38311.0;26395.0;64706.0;5913.0;;586062.0;2028.0;7317.0;5951.0;13268.0;153180.0;;;168476.0;993632.0;6992.0;86238.0;260.0;;;106539.0;;993.0;;107532.0;786134.0;;2951.0;13875.0;33760.0;710.0;;823128.0;2028.0;825157.0;;6374.0;800.0;1878.0;5.0;-18434.0;;;;19960.0;242.0;-141.0;15.0;-67627.0;66060.0;13254.0;-1345.0;194.0;-1045.0;-3375.0;4592.0;2.0;8284.0;6835.0;;0.76;24.29;6.87;-9.99;3.64;0.15;55.26;1222.0;7.9;0.3;6.7;29685.0;;1053.0;8390.0;21.9;28.3;741676.0;140238.0;67522.0;2.2;2.4;12.4;47.1;-45.5;0.76
2020.0;22815.0;;16710.0;;6303.0;5088.0;1243.0;668275.0;853145.0;49252.0;800218.0;51143.0;42538.0;-42384.0;107.0;164.0;41959.0;;;;;6808.0;6474.0;334.0;;;22305.0;9303.0;1161.0;73.24;;;27.63;1158.0;22.3;4.08;3.98;1212.0;;58285.0;30057.0;88342.0;6535.0;;573398.0;4427.0;6966.0;5807.0;12773.0;167670.0;;;184870.0;1038015.0;6238.0;43014.0;558.0;;;121182.0;;806.0;;121988.0;872954.0;2609.0;3985.0;13692.0;34791.0;-1325.0;;851361.0;1784.0;853145.0;;5088.0;1161.0;1158.0;4.0;32818.0;;;;32659.0;2308.0;-579.0;2956.0;-110825.0;89358.0;-23873.0;-266.0;44.0;-510.0;-3422.0;4261.0;-97.0;8350.0;8186.0;;0.75;25.08;5.59;46.12;3.76;0.64;56.21;1212.0;8.0;0.2;8.4;30391.0;;1546.0;6778.0;18.4;22.3;824595.0;161426.0;68127.0;1.6;1.8;9.9;32.7;9.3;0.751
2021.0;24418.0;;17779.0;;10351.0;7767.0;1243.0;763920.0;956169.0;74967.0;897345.0;57137.0;-10335.0;11860.0;-2241.0;-1154.0;-10708.0;;;;;7219.0;6893.0;326.0;;;20164.0;6476.0;1219.0;72.81;;;42.39;2317.0;31.81;6.41;6.25;1212.0;;70272.0;27220.0;97492.0;7324.0;;659104.0;4536.0;7140.0;6259.0;13399.0;174314.0;;;192249.0;1148418.0;7198.0;67769.0;1085.0;;;130477.0;;927.0;;131405.0;953783.0;2754.0;4884.0;14935.0;41443.0;-4125.0;;954482.0;1687.0;956169.0;;7767.0;1219.0;2317.0;6.0;-21130.0;;;;33407.0;-513.0;-373.0;-579.0;-58313.0;83738.0;-12986.0;-883.0;216.0;-1016.0;-3715.0;3157.0;-438.0;7822.0;8976.0;;0.81;24.97;7.94;-10.95;3.8;0.38;58.42;1212.0;7.9;0.3;6.1;30258.0;;1511.0;9624.0;22.4;31.8;853721.0;161682.0;70802.0;1.5;1.7;13.6;52.2;-42.2;0.807
