;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (TWD/USD)
2001.0;;;;;;;1155.0;;;;;;;;;;;;60.57;;;;;;;;;;;20.28;24.19;;25.43;;20.28;;;1155.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;1048.0;;;;;;;;;;;;67.6;;;;;;;;;;;54.32;31.05;;31.75;;24.59;;;1048.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;1153.0;;;;;;;;;;;;67.33;;;;;;;;;;;54.37;30.66;;31.58;;25.93;;;1153.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;1153.0;;;;;;;;;;;;67.46;;;;;;;;;;;55.56;32.34;;33.58;;27.5;;;1153.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;5631.0;3493.0;2658.0;1315.0;1404.0;1016.0;1153.0;2480.0;12049.0;1728.0;2053.0;9996.0;2627.0;-855.0;-1389.0;385.0;2627.0;2138.0;62.03;2178.0;96.0;;;;2082.0;4317.0;14.0;;1255.0;47.2;23.34;89.0;24.92;388.0;18.04;0.88;0.88;1153.0;;1278.0;432.0;1709.0;392.0;65.0;314.0;8950.0;;302.0;302.0;;80.0;237.0;9569.0;;315.0;6.0;;;1408.0;9.0;;;316.0;325.0;;;;2942.0;2252.0;-14703.0;19504.0;12049.0;;12049.0;;1016.0;1255.0;296.0;;-370.0;;-25.0;;;431.0;;-699.0;-147.0;;-9.0;;;;-1383.0;-6.0;;1278.0;893.0;;0.03;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;5720.0;3798.0;3008.0;1729.0;1761.0;1291.0;1135.0;3097.0;12240.0;2060.0;2414.0;9824.0;3074.0;-587.0;-1604.0;883.0;2220.0;1922.0;66.4;2070.0;87.0;;;;1983.0;3991.0;25.0;;1247.0;52.59;30.22;32.0;30.78;469.0;22.58;1.14;1.14;1135.0;;2170.0;213.0;2383.0;388.0;67.0;259.0;8516.0;2.0;282.0;284.0;;106.0;237.0;9143.0;;304.0;14.0;;256.0;1486.0;;;;354.0;354.0;;;;2968.0;1802.0;10.0;5044.0;12237.0;3.0;12240.0;;1291.0;1247.0;43.0;;450.0;;18.0;;14.0;42.0;-854.0;-8.0;-131.0;382.0;24.0;;;-350.0;-1247.0;-6.0;;2170.0;1286.0;;0.03;164.22;37.08;63.73;35.81;24.53;282.02;1135.0;0.6;0.0;167.0;186321.0;30.2;40633.0;42067.0;26.6;22.6;33791.0;;319984.0;12.7;14.4;13.1;3.4;72.0;0.031
2007.0;6188.0;2852.0;3183.0;1934.0;1981.0;1523.0;1026.0;3725.0;12513.0;2294.0;2640.0;9791.0;2687.0;-1214.0;-1320.0;172.0;1907.0;3336.0;46.09;918.0;80.0;;;;838.0;4254.0;45.0;;1213.0;51.44;31.25;47.0;32.01;448.0;24.62;1.48;1.48;1026.0;;2348.0;579.0;2928.0;353.0;133.0;312.0;8168.0;7.0;269.0;276.0;;92.0;253.0;8788.0;;;360.0;;279.0;1656.0;;;;346.0;346.0;;;;2978.0;2265.0;2.0;4546.0;12431.0;82.0;12513.0;;1523.0;1213.0;8.0;;-103.0;;-19.0;;5.0;46.0;-780.0;-24.0;-778.0;366.0;3.0;;1.0;-223.0;-1066.0;-32.0;18.0;2348.0;2177.0;;0.03;195.79;48.2;60.33;33.72;24.68;309.79;1026.0;0.4;0.0;156.9;200915.0;31.3;39372.0;49458.0;22.6;24.6;46442.0;;317896.0;15.0;15.9;15.6;30.0;67.5;0.031
2008.0;6151.0;2690.0;2986.0;1788.0;1820.0;1397.0;860.0;3605.0;14139.0;2133.0;2559.0;11485.0;2802.0;-1053.0;-1596.0;154.0;1877.0;3461.0;43.73;901.0;96.0;806.0;112.0;693.0;;4363.0;58.0;0.0;1166.0;48.55;29.07;32.0;29.59;424.0;22.71;1.61;1.6;860.0;;2479.0;464.0;2943.0;331.0;196.0;136.0;9853.0;7.0;245.0;252.0;272.0;47.0;110.0;10534.0;;346.0;8.0;173.0;;1778.0;1.0;63.0;;362.0;426.0;;;;2958.0;2953.0;109.0;5466.0;14044.0;96.0;14139.0;;1397.0;1166.0;-5.0;;175.0;;-25.0;;;70.0;-925.0;;-401.0;290.0;-23.0;-10.0;;;-1257.0;-329.0;1.0;2479.0;2325.0;;0.03;234.42;53.23;71.53;47.89;35.25;437.7;860.0;0.5;0.0;184.1;201670.0;29.1;38216.0;45792.0;23.3;22.7;48271.0;29.0;376556.0;11.7;13.0;12.2;10.0;67.0;0.03
2009.0;6209.0;2680.0;2906.0;1765.0;1792.0;1370.0;778.0;3584.0;14054.0;1869.0;2192.0;11744.0;2419.0;-922.0;-1767.0;-251.0;1613.0;3529.0;43.17;915.0;99.0;816.0;118.0;698.0;;4444.0;15.0;0.0;1137.0;46.81;28.43;26.0;28.86;399.0;22.06;2.27;2.26;776.0;;2293.0;585.0;2878.0;378.0;127.0;202.0;9798.0;9.0;230.0;238.0;284.0;15.0;134.0;10470.0;;318.0;28.0;135.0;;1523.0;7.0;78.0;;239.0;323.0;;;;3035.0;3237.0;167.0;5306.0;13936.0;117.0;14054.0;;1370.0;1137.0;34.0;;-175.0;;-5.0;;11.0;52.0;-806.0;;-378.0;255.0;-3.0;-10.0;;;-1184.0;-573.0;19.0;2293.0;2544.0;;0.03;255.7;56.41;66.43;48.77;33.2;483.68;776.0;0.4;0.0;200.7;198361.0;28.4;36336.0;43757.0;22.3;22.1;54792.0;221.0;375211.0;11.4;12.7;11.7;13.5;73.4;0.031
2010.0;6939.0;2986.0;3116.0;1967.0;1978.0;1632.0;778.0;4141.0;15574.0;2480.0;2938.0;12498.0;2906.0;-595.0;-1610.0;604.0;2052.0;3954.0;43.03;1019.0;111.0;908.0;138.0;770.0;;4973.0;16.0;4.0;1168.0;44.91;28.34;11.0;28.5;313.0;23.52;2.49;2.49;776.0;;3115.0;145.0;3260.0;499.0;156.0;225.0;10480.0;10.0;225.0;235.0;475.0;16.0;226.0;11433.0;;396.0;22.0;157.0;;2061.0;108.0;89.0;;262.0;458.0;;;;2659.0;3827.0;200.0;5811.0;15436.0;138.0;15574.0;;1632.0;1168.0;1.0;;49.0;;-17.0;;-6.0;56.0;-853.0;;-367.0;713.0;-98.0;-26.0;;;-1350.0;-234.0;-97.0;3115.0;2511.0;;0.03;260.95;61.37;77.18;50.75;32.09;469.97;776.0;0.4;0.0;194.8;202430.0;28.3;34064.0;47609.0;15.8;23.5;48450.0;3148.0;364579.0;12.7;12.6;13.1;17.3;65.8;0.034
