;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ARS/USD)
2001.0;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;91.32;;;14.78;;14.16;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;32.0;;;;;;;;;;;;;;;;;;;;;;;98.44;;;51.95;;51.63;;;32.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;61.0;;;;;;;;;;;;;;;;;;;;;;;247.18;;;112.27;;111.8;;;61.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;189.0;;111.0;;66.0;65.0;61.0;2175.0;2982.0;;2556.0;426.0;161.0;-439.0;514.0;237.0;161.0;;;;;49.0;45.0;4.0;;;145.0;45.0;;58.5;;;34.66;0.0;34.54;3.2;3.2;61.0;;465.0;;465.0;656.0;;1054.0;66.0;;;28.0;714.0;;;807.0;3790.0;38.0;;;;;6.0;;;;6.0;2562.0;;;206.0;218.0;2.0;;2982.0;0.0;2982.0;;65.0;;;;;;;;;96.0;;;;161.0;-600.0;;;;-21.0;535.0;;465.0;229.0;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;319.0;;198.0;;98.0;87.0;61.0;2045.0;3128.0;;2637.0;491.0;119.0;-326.0;147.0;-60.0;119.0;;;;;91.0;84.0;7.0;;;247.0;100.0;;61.96;;;30.65;11.0;27.13;1.42;1.42;61.0;;392.0;;392.0;413.0;;1240.0;74.0;;;23.0;986.0;;;1083.0;4211.0;;;;;;4.0;;;;4.0;2641.0;;;201.0;289.0;1.0;-0.0;3128.0;0.0;3128.0;;87.0;;;;;;;;;32.0;;;-233.0;;-93.0;;;;-10.0;157.0;;392.0;452.0;;0.33;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;442.0;;293.0;;164.0;139.0;68.0;3511.0;4735.0;;3954.0;756.0;305.0;-383.0;547.0;469.0;305.0;;;;;140.0;129.0;10.0;;;377.0;129.0;;66.19;;;37.02;25.0;31.34;2.09;2.09;66.0;;858.0;;858.0;252.0;;2401.0;110.0;;;62.0;1052.0;;;1224.0;5960.0;8.0;;;;;561.0;;;;561.0;4515.0;;;223.0;402.0;1.0;129.0;4710.0;26.0;4735.0;;139.0;;;;;;;;;166.0;;;;205.0;-588.0;-257.0;;;-22.0;827.0;;858.0;388.0;;0.33;20.4;6.39;5.44;0.46;;34.89;66.0;3.5;0.2;2.0;1352.0;;;424.0;15.4;31.3;10740.0;1717.0;2312.0;5.3;6.2;18.3;88.4;8.4;0.327
2007.0;613.0;;442.0;;187.0;157.0;69.0;4826.0;6283.0;;5419.0;860.0;-33.0;-26.0;205.0;156.0;-57.0;;;;;203.0;187.0;16.0;;;600.0;256.0;;72.13;;;30.43;29.0;25.64;2.29;2.29;69.0;;990.0;;990.0;470.0;;3366.0;119.0;;;84.0;1255.0;;;1457.0;7740.0;15.0;;;;;957.0;;;;957.0;6377.0;;;217.0;516.0;1.0;125.0;6279.0;4.0;6283.0;;157.0;;;;;;;;;-190.0;-25.0;;;;-26.0;-26.0;;;-33.0;263.0;10.0;990.0;834.0;;0.32;28.08;7.2;13.55;0.99;;39.38;69.0;4.3;0.2;3.2;1932.0;;;495.0;15.7;25.6;15201.0;3016.0;2709.0;5.9;7.0;18.3;83.9;7.3;0.318
2008.0;801.0;;680.0;;267.0;191.0;68.0;4923.0;6492.0;;5672.0;815.0;355.0;-13.0;-231.0;118.0;333.0;;;;;238.0;239.0;-1.0;;;877.0;389.0;24.0;84.82;;;33.28;76.0;23.85;10.85;10.85;68.0;;1020.0;;1020.0;498.0;;3405.0;125.0;;57.0;57.0;1387.0;;;1569.0;8061.0;0.0;;;;;151.0;;;;151.0;5823.0;;;198.0;502.0;;116.0;6488.0;5.0;6492.0;;191.0;;;;;;;;;163.0;-21.0;;-0.0;0.0;8.0;;;;-50.0;-182.0;;1020.0;902.0;;0.29;40.47;9.65;-2.64;1.5;1.14;41.18;68.0;1.9;0.1;8.1;2768.0;;85.0;660.0;28.4;23.8;17006.0;522.0;2817.0;7.2;10.1;23.4;79.3;-56.9;0.289
2009.0;894.0;;792.0;;371.0;198.0;59.0;5058.0;7067.0;;6178.0;884.0;580.0;-11.0;-125.0;493.0;571.0;;;;;293.0;264.0;29.0;;;1016.0;398.0;23.0;88.56;;;41.52;173.0;22.12;12.64;12.64;59.0;;1320.0;;1320.0;723.0;;3015.0;114.0;14.0;41.0;55.0;1839.0;;;2009.0;9076.0;13.0;;;;;309.0;;;;309.0;6486.0;;;156.0;621.0;-122.0;228.0;7061.0;5.0;7067.0;;198.0;;;;;;;;;383.0;-9.0;;;0.0;-2.0;-43.0;;;-39.0;-42.0;;1420.0;927.0;;0.26;57.18;12.65;19.38;2.88;1.22;56.5;59.0;1.4;0.0;16.0;3399.0;;87.0;752.0;46.7;22.1;19224.0;1173.0;3359.0;5.8;10.9;22.4;74.1;14.8;0.263
2010.0;980.0;;715.0;;348.0;255.0;59.0;6484.0;8445.0;11.0;7392.0;1046.0;290.0;-52.0;-126.0;150.0;276.0;;;;;362.0;326.0;36.0;;;939.0;335.0;34.0;72.99;;;35.55;92.0;25.97;4.28;4.28;59.0;;1310.0;;1310.0;213.0;;4961.0;112.0;25.0;49.0;75.0;1773.0;;;1960.0;10405.0;0.0;11.0;;;;307.0;;;;307.0;7687.0;;;150.0;;;896.0;8438.0;7.0;8445.0;;255.0;;;;;;;;;36.0;-14.0;;-23.0;;-14.0;-73.0;;;-52.0;-0.0;;1509.0;1359.0;;0.25;65.44;17.0;36.54;2.5;0.58;69.86;59.0;2.1;0.1;6.9;3890.0;;133.0;1010.0;26.4;26.0;25696.0;1219.0;4153.0;6.0;8.1;24.3;80.3;6.8;0.252
