;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
2001.0;2510.0;1622.0;548.0;531.0;322.0;244.0;956.0;391.0;5084.0;486.0;3340.0;1744.0;510.0;-1055.0;533.0;-12.0;-544.0;888.0;64.62;1091.0;;;;;1091.0;1979.0;;;226.0;21.83;21.16;-209.0;12.83;78.0;9.72;-0.16;-0.16;888.0;;1.0;;1.0;210.0;162.0;18.0;4485.0;;;;;741.0;-533.0;4693.0;;220.0;19.0;;;246.0;1955.0;;;899.0;2854.0;;;;349.0;1073.0;-1276.0;1599.0;5084.0;;5084.0;;244.0;226.0;76.0;;-12.0;;-41.0;;;-24.0;-1054.0;;;;-1.0;;9.0;;-75.0;599.0;;1.0;13.0;;0.63;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;3118.0;2292.0;1100.0;843.0;727.0;484.0;946.0;459.0;5520.0;506.0;3322.0;2198.0;926.0;-547.0;-369.0;9.0;368.0;826.0;73.52;1450.0;;;;;1450.0;2275.0;;;372.0;35.27;27.02;-115.0;23.33;243.0;15.53;0.52;0.51;896.0;;10.0;;10.0;256.0;169.0;24.0;4858.0;;;;;86.0;117.0;5061.0;;455.0;;;;51.0;1708.0;;964.0;144.0;2816.0;;;332.0;;1499.0;-1470.0;;5520.0;;5520.0;;484.0;372.0;196.0;;10.0;;-5.0;;;-137.0;-557.0;;;;10.0;;12.0;;-77.0;-304.0;;10.0;1.0;;0.64;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;4862.0;3700.0;1855.0;1327.0;1390.0;836.0;960.0;996.0;8039.0;829.0;4626.0;3413.0;1710.0;-1312.0;-108.0;287.0;1616.0;1162.0;76.1;2373.0;;;;;2373.0;3535.0;;;464.0;38.16;27.29;64.0;28.6;555.0;17.2;0.94;0.87;900.0;;299.0;;299.0;389.0;286.0;22.0;6727.0;;;;;95.0;220.0;7043.0;;750.0;24.0;;;56.0;1887.0;;1683.0;226.0;3797.0;;;367.0;;2593.0;-15.0;;8039.0;0.0;8039.0;;836.0;464.0;539.0;;105.0;;-15.0;;4.0;-234.0;-94.0;;;;-1218.0;;16.0;;-97.0;-27.0;-2.0;299.0;12.0;;0.77;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;7166.0;4737.0;1957.0;1817.0;1359.0;915.0;927.0;993.0;9811.0;1171.0;5741.0;4070.0;1830.0;-1516.0;-562.0;-249.0;296.0;2429.0;66.11;2920.0;;;;;2920.0;5349.0;;;596.0;27.31;25.36;-458.0;18.97;446.0;12.76;1.0;0.98;912.0;;73.0;;73.0;522.0;352.0;47.0;8552.0;;;;;;265.0;8818.0;;1085.0;25.0;;;61.0;1843.0;;2104.0;622.0;4570.0;;;;;3549.0;-19.0;;9811.0;0.0;9811.0;;915.0;596.0;;;150.0;;-43.0;;;170.0;-1534.0;;;;18.0;;34.0;-410.0;-88.0;-98.0;-3.0;73.0;322.0;;0.83;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;9535.0;5936.0;2329.0;2189.0;1709.0;1071.0;933.0;1648.0;13203.0;1664.0;7931.0;5272.0;2082.0;-2741.0;726.0;66.0;2082.0;3599.0;62.26;3748.0;;;;;3748.0;7347.0;;;619.0;24.42;22.95;-479.0;17.93;638.0;11.23;1.17;1.15;912.0;;142.0;;142.0;979.0;450.0;77.0;11152.0;;;;;;403.0;11555.0;;1574.0;42.0;;;48.0;2587.0;;2816.0;864.0;6266.0;;;;;4669.0;-27.0;;13203.0;;13203.0;;1071.0;619.0;;;-47.0;;-54.0;;;439.0;;;;;-2741.0;;59.0;;-88.0;755.0;-2.0;142.0;76.0;;0.86;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;13580.0;8548.0;3862.0;3326.0;3265.0;2549.0;940.0;1975.0;16113.0;1851.0;8433.0;7680.0;3916.0;-2993.0;-617.0;305.0;817.0;5032.0;62.95;5222.0;;;;;5222.0;10254.0;;;597.0;28.44;24.49;-61.0;24.04;717.0;18.77;2.78;2.71;918.0;;447.0;;447.0;900.0;506.0;122.0;13889.0;;;;;;249.0;14138.0;;1811.0;6.0;;;34.0;2046.0;;3493.0;1043.0;6582.0;;;;;6974.0;-61.0;;16113.0;;16113.0;;2549.0;597.0;700.0;;26.0;;-57.0;;;45.0;-3099.0;;;;106.0;;39.0;;-109.0;-547.0;;447.0;142.0;;0.86;17.24;3.24;1.04;0.14;3.93;9.75;918.0;11.9;0.7;0.4;15829.0;24.5;695.0;2971.0;21.9;18.8;144.0;2385.0;8952.0;17.9;20.3;33.2;95.7;8.6;0.858
2007.0;17966.0;8238.0;3357.0;3190.0;3357.0;2842.0;941.0;2828.0;24252.0;3108.0;12598.0;11654.0;3907.0;-5381.0;1569.0;48.0;3907.0;9728.0;45.85;5048.0;;;;;5048.0;14776.0;242.0;;;18.68;17.76;167.0;18.68;515.0;15.82;3.08;3.02;922.0;;571.0;;571.0;1516.0;610.0;130.0;21018.0;;;;;;405.0;21424.0;;2785.0;6.0;317.0;;317.0;3824.0;;4227.0;1439.0;9490.0;;;;;10829.0;-254.0;;24252.0;;24252.0;;2842.0;;;;88.0;-366.0;-19.0;;247.0;976.0;;;;;-5381.0;;62.0;;-163.0;1670.0;-47.0;571.0;523.0;;1.0;19.41;3.07;4.22;0.18;;12.59;922.0;14.3;0.8;0.4;17903.0;17.8;;2832.0;15.3;15.8;-279.0;3811.0;11613.0;13.4;13.8;24.4;94.3;2.6;1.004
2008.0;24704.0;8214.0;3327.0;3344.0;2574.0;1756.0;945.0;2660.0;26732.0;2900.0;14797.0;11935.0;3667.0;-6237.0;2576.0;75.0;3667.0;16490.0;33.25;4870.0;;;;;4870.0;21360.0;23.0;754.0;;13.47;13.54;-770.0;10.42;818.0;7.11;1.88;1.86;932.0;;542.0;;542.0;1354.0;747.0;17.0;23270.0;;;;;;801.0;24071.0;;2654.0;9.0;146.0;;238.0;6472.0;;3793.0;1632.0;11896.0;;;;;10704.0;159.0;;26732.0;;26732.0;;1756.0;;;;-1.0;-110.0;85.0;;-90.0;1912.0;;;;;-6237.0;-1.0;156.0;;-148.0;2569.0;69.0;542.0;468.0;;0.82;32.25;2.29;4.79;0.19;;15.58;932.0;20.1;0.9;0.4;30061.0;13.5;;2137.0;31.8;7.1;-292.0;7875.0;14523.0;9.5;12.4;14.7;91.6;-0.2;0.822
2009.0;24942.0;9360.0;3833.0;452.0;1225.0;1090.0;1206.0;7920.0;66308.0;7461.0;33878.0;32429.0;2448.0;-4441.0;1868.0;-147.0;-1589.0;15582.0;37.53;8908.0;48.0;;;;8860.0;24490.0;422.0;415.0;2192.0;15.37;1.81;774.0;4.91;136.0;4.37;0.91;0.9;1194.0;;480.0;;480.0;4300.0;2825.0;316.0;54651.0;3043.0;222.0;3265.0;141.0;183.0;147.0;58387.0;;6207.0;26.0;1211.0;;1228.0;13172.0;89.0;8433.0;4723.0;26417.0;;;;;13086.0;-222.0;;66308.0;;66308.0;;1090.0;2192.0;-689.0;249.0;-213.0;117.0;-556.0;;-42.0;-181.0;-4037.0;236.0;-29.0;;-4648.0;;39.0;;-381.0;2210.0;-23.0;480.0;627.0;;0.95;21.98;0.96;-1.4;0.34;3.56;28.57;1194.0;30.7;0.4;1.1;26235.0;1.8;2306.0;1146.0;11.1;4.4;483.0;13855.0;34111.0;2.5;2.5;3.4;65.0;-21.5;0.951
2010.0;36385.0;16229.0;9358.0;4198.0;4258.0;3581.0;1574.0;10541.0;70358.0;8549.0;33538.0;36820.0;5501.0;-3120.0;-1792.0;574.0;-348.0;20156.0;44.6;12030.0;77.0;;;;11953.0;32187.0;390.0;391.0;3823.0;25.72;11.54;60.0;11.7;1563.0;9.84;2.3;2.28;1562.0;;1080.0;;1080.0;6214.0;3149.0;98.0;55439.0;3210.0;;3210.0;;56.0;1112.0;59817.0;;6961.0;521.0;969.0;;1067.0;11701.0;;8638.0;4651.0;24989.0;;;;;16757.0;-686.0;;70358.0;;70358.0;;3581.0;3823.0;556.0;114.0;-1233.0;;;;;-1341.0;-5849.0;;;;-3120.0;-1260.0;81.0;;-613.0;;-15.0;1080.0;506.0;;1.0;23.23;2.29;-0.22;0.39;3.73;23.51;1562.0;14.3;0.7;1.2;36287.0;11.5;3813.0;3571.0;36.7;9.8;1987.0;11669.0;36721.0;5.7;7.9;9.7;82.9;-152.7;1.003
