;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (BRL/USD)
2008.0;18104.0;4704.0;3631.0;3458.0;2546.0;1702.0;1392.0;8975.0;25510.0;3661.0;14691.0;8712.0;1570.0;-2834.0;1123.0;0.0;386.0;13400.0;25.98;1246.0;;1285.0;987.0;297.0;-39.0;14646.0;209.0;700.0;819.0;20.06;19.1;-912.0;14.06;410.0;9.4;1.22;1.22;1392.0;;875.0;1463.0;2339.0;1591.0;4492.0;553.0;8664.0;4879.0;740.0;5619.0;810.0;988.0;454.0;16535.0;;1234.0;1699.0;223.0;;729.0;8338.0;;1322.0;1370.0;11030.0;;;;;2208.0;811.0;;23403.0;2107.0;25510.0;;1702.0;819.0;410.0;3.0;-1637.0;460.0;-1076.0;-957.0;35.0;273.0;-1184.0;-1761.0;-210.0;184.0;136.0;-2146.0;1246.0;-22.0;-713.0;2757.0;141.0;875.0;875.0;;0.43;30.1;2.83;0.64;1.18;1.97;14.48;1392.0;5.4;0.3;7.7;41908.0;19.1;1896.0;3941.0;16.1;9.4;12300.0;19301.0;20167.0;12.0;12.0;19.5;58.1;-132.5;0.432
2009.0;15226.0;2543.0;2398.0;548.0;592.0;644.0;1420.0;8126.0;25577.0;2764.0;12953.0;10618.0;3643.0;-601.0;-2830.0;37.0;2853.0;12683.0;16.7;1402.0;;1344.0;984.0;360.0;58.0;14085.0;250.0;738.0;1001.0;15.75;3.6;43.0;3.89;15.0;4.23;0.45;0.45;1420.0;;1200.0;1503.0;2703.0;1936.0;3300.0;188.0;9599.0;4833.0;570.0;5403.0;700.0;773.0;977.0;17451.0;;978.0;778.0;388.0;;1008.0;7552.0;;1304.0;1332.0;10189.0;;;;8138.0;3325.0;-779.0;-66.0;23571.0;2006.0;25577.0;;644.0;1001.0;15.0;13.0;2260.0;832.0;2161.0;-994.0;230.0;-290.0;-790.0;-41.0;-1486.0;1637.0;78.0;-4859.0;;-7.0;-189.0;2225.0;-174.0;1200.0;1163.0;;0.57;18.69;0.79;3.5;0.23;0.97;13.03;1420.0;13.5;0.2;2.2;26540.0;3.6;1745.0;1122.0;2.6;4.2;9346.0;13164.0;18507.0;6.5;5.9;6.1;70.7;6.9;0.574
2010.0;18914.0;3326.0;3395.0;2196.0;1783.0;1291.0;1425.0;7800.0;25842.0;3026.0;13703.0;11731.0;2494.0;-966.0;-2108.0;-621.0;1660.0;15589.0;17.58;1130.0;;1420.0;1088.0;332.0;-291.0;16719.0;178.0;661.0;1141.0;17.95;11.61;-413.0;9.43;302.0;6.82;0.9;0.9;1425.0;;639.0;672.0;1311.0;1900.0;4096.0;493.0;9743.0;4915.0;709.0;5624.0;789.0;951.0;934.0;18042.0;;1074.0;1020.0;316.0;;931.0;7819.0;;1368.0;1491.0;10677.0;;;;9430.0;3335.0;-7325.0;6292.0;25434.0;408.0;25842.0;;1291.0;1141.0;302.0;11.0;-1026.0;-398.0;-699.0;66.0;266.0;775.0;-833.0;-171.0;-827.0;853.0;-45.0;-2081.0;;-23.0;-614.0;610.0;-41.0;639.0;1260.0;;0.6;22.03;1.5;1.93;0.71;0.97;13.66;1425.0;9.5;0.5;5.0;31393.0;11.6;1893.0;2142.0;17.0;6.8;7924.0;12977.0;19470.0;8.4;8.9;11.0;52.5;38.4;0.603
2011.0;18999.0;2741.0;2684.0;1511.0;1261.0;1076.0;1645.0;9293.0;26820.0;3637.0;12590.0;13414.0;918.0;-1133.0;390.0;223.0;-211.0;16258.0;14.43;1335.0;;1289.0;965.0;324.0;46.0;17593.0;245.0;521.0;951.0;14.12;7.95;-250.0;6.64;136.0;5.66;0.65;0.65;1643.0;;792.0;1664.0;2457.0;2371.0;4325.0;141.0;9281.0;4913.0;683.0;5596.0;738.0;831.0;1081.0;17527.0;;1724.0;943.0;318.0;;970.0;6400.0;;997.0;1556.0;8953.0;;;;;3350.0;-158.0;;26003.0;817.0;26820.0;;1076.0;951.0;136.0;7.0;-1059.0;-109.0;-366.0;602.0;-895.0;-194.0;-1128.0;-40.0;-388.0;418.0;-70.0;-2043.0;;-42.0;-296.0;2770.0;48.0;792.0;569.0;;0.54;21.55;1.22;-0.24;0.34;1.28;15.22;1643.0;8.5;0.5;3.2;35407.0;8.0;1772.0;2006.0;10.8;5.7;10542.0;11927.0;24997.0;6.9;6.7;8.0;72.5;-160.0;0.537
2012.0;18531.0;2316.0;2014.0;1146.0;761.0;696.0;1700.0;8007.0;25904.0;3817.0;11854.0;13293.0;2119.0;-1677.0;-506.0;-19.0;517.0;16215.0;12.5;1175.0;;1206.0;919.0;287.0;-31.0;17390.0;79.0;396.0;892.0;10.87;6.18;-385.0;4.11;31.0;3.75;0.41;0.41;1700.0;;701.0;517.0;1218.0;2260.0;4402.0;127.0;9607.0;4895.0;666.0;5561.0;703.0;1078.0;948.0;17898.0;;1493.0;1260.0;258.0;;1064.0;5897.0;;1404.0;736.0;8037.0;;;;9392.0;4479.0;407.0;-985.0;25147.0;757.0;25904.0;;696.0;892.0;114.0;18.0;-780.0;82.0;-129.0;-255.0;;1180.0;-1602.0;-101.0;;;-51.0;-1036.0;;-22.0;-255.0;808.0;44.0;701.0;720.0;;0.49;22.34;0.84;0.62;0.31;1.93;16.02;1700.0;11.0;0.7;3.3;37982.0;6.2;1827.0;1426.0;4.1;3.8;8587.0;12086.0;27246.0;5.0;4.5;5.2;63.3;53.6;0.488
2013.0;16874.0;2173.0;1809.0;1166.0;615.0;670.0;1704.0;7694.0;24642.0;3063.0;11088.0;12843.0;1735.0;-1144.0;-341.0;280.0;568.0;14701.0;12.88;1030.0;;1106.0;827.0;279.0;-75.0;15731.0;49.0;382.0;859.0;10.72;6.91;-551.0;3.64;-102.0;3.97;0.39;0.39;1704.0;;889.0;899.0;1787.0;2186.0;3598.0;123.0;9067.0;4806.0;634.0;5440.0;673.0;870.0;898.0;16948.0;;1385.0;778.0;276.0;;900.0;6294.0;;1051.0;680.0;8025.0;;;;8148.0;4433.0;1096.0;-835.0;23931.0;712.0;24642.0;;670.0;859.0;-15.0;16.0;486.0;-10.0;431.0;-55.0;;-282.0;-1167.0;-78.0;;;33.0;-2211.0;;;-181.0;2051.0;30.0;889.0;608.0;;0.42;23.39;0.93;0.79;0.25;1.62;17.8;1704.0;8.1;0.5;3.3;39863.0;6.9;2030.0;1584.0;-16.6;4.0;10941.0;14868.0;30339.0;5.3;4.0;5.2;73.0;31.8;0.423
2014.0;16006.0;1934.0;1752.0;1091.0;503.0;528.0;1705.0;7781.0;23717.0;2924.0;11206.0;12114.0;967.0;-504.0;-197.0;358.0;61.0;14072.0;12.08;993.0;;1026.0;766.0;260.0;-33.0;15065.0;49.0;443.0;838.0;10.95;6.81;-587.0;3.14;-57.0;3.3;0.31;0.31;1705.0;;1147.0;1053.0;2200.0;2104.0;3336.0;140.0;8326.0;4724.0;582.0;5306.0;525.0;966.0;814.0;15936.0;;1218.0;767.0;299.0;;940.0;6577.0;;948.0;756.0;8282.0;;;;7242.0;4276.0;1336.0;-740.0;23320.0;396.0;23717.0;;528.0;838.0;49.0;15.0;-332.0;-14.0;-65.0;-95.0;;-131.0;-906.0;;;;348.0;-818.0;;;-171.0;792.0;92.0;1147.0;790.0;;0.38;24.96;0.82;0.1;0.27;1.41;18.89;1705.0;6.9;0.4;4.7;42546.0;6.8;2227.0;1403.0;-11.2;3.3;12910.0;17484.0;32201.0;5.0;3.9;4.4;67.6;280.6;0.376
2015.0;11000.0;1083.0;-497.0;-812.0;-1538.0;-1149.0;1687.0;5598.0;17692.0;1985.0;9623.0;7997.0;1808.0;-611.0;-717.0;656.0;1189.0;9917.0;9.85;627.0;;652.0;454.0;198.0;-24.0;10544.0;27.0;371.0;658.0;-4.52;-7.38;-727.0;-13.98;-378.0;-10.44;-0.69;-0.69;1687.0;;1426.0;321.0;1746.0;1511.0;2216.0;124.0;5870.0;3698.0;463.0;4162.0;352.0;1087.0;624.0;12094.0;;916.0;603.0;124.0;;466.0;6076.0;;712.0;850.0;7638.0;;;;4858.0;1744.0;2218.0;-823.0;17620.0;72.0;17692.0;;-1149.0;658.0;-297.0;12.0;416.0;308.0;499.0;-194.0;;2167.0;-619.0;-16.0;;;-9.0;-1269.0;;-48.0;-90.0;690.0;177.0;1426.0;770.0;;0.25;25.84;-2.7;2.79;0.21;1.45;18.79;1687.0;-0.9;-0.0;8.7;43581.0;-7.4;2608.0;-4551.0;24.6;-10.4;14314.0;24075.0;31686.0;-5.6;-6.6;-14.4;107.9;;0.252
2016.0;11563.0;1064.0;458.0;-503.0;-793.0;-888.0;1709.0;5465.0;16778.0;2648.0;9324.0;7379.0;1080.0;-328.0;-718.0;-180.0;657.0;10499.0;9.2;648.0;;688.0;469.0;218.0;-39.0;11147.0;33.0;473.0;779.0;3.96;-4.35;-290.0;-6.86;93.0;-7.68;-0.52;-0.52;1709.0;;1555.0;315.0;1870.0;1445.0;1945.0;206.0;5943.0;2908.0;405.0;3314.0;245.0;1046.0;765.0;11313.0;;843.0;1369.0;128.0;;436.0;4952.0;;809.0;915.0;6676.0;;;;5911.0;1156.0;1225.0;-913.0;16703.0;76.0;16778.0;;-888.0;779.0;200.0;14.0;125.0;20.0;244.0;34.0;;849.0;-423.0;;;;78.0;-1416.0;;-29.0;-26.0;754.0;-213.0;1555.0;1735.0;;0.31;22.03;-1.69;1.25;0.05;0.81;14.06;1709.0;-1.3;-0.1;2.2;37652.0;-4.3;2536.0;-2891.0;-11.8;-7.7;9175.0;16125.0;24028.0;-2.6;-1.9;-12.0;103.0;;0.307
2017.0;11145.0;1088.0;1012.0;332.0;-13.0;-108.0;1709.0;5429.0;15186.0;2329.0;7973.0;7138.0;627.0;-162.0;-1225.0;-757.0;352.0;10057.0;9.76;472.0;;500.0;341.0;158.0;-28.0;10529.0;43.0;400.0;632.0;9.08;2.98;-345.0;-0.12;89.0;-0.97;-0.06;-0.06;1709.0;;771.0;248.0;1019.0;1114.0;2023.0;1273.0;4964.0;2382.0;293.0;2676.0;387.0;922.0;808.0;9757.0;;960.0;605.0;107.0;;764.0;4379.0;;275.0;990.0;5644.0;;;;5811.0;1001.0;1216.0;-890.0;15111.0;75.0;15186.0;;-108.0;632.0;56.0;11.0;-288.0;-17.0;-383.0;242.0;;325.0;-275.0;-54.0;;;156.0;-2186.0;;;-26.0;988.0;2.0;771.0;1529.0;;0.3;21.6;-0.21;0.68;0.05;0.53;13.83;1709.0;-16.5;-0.7;1.5;36918.0;3.0;2093.0;-359.0;-682.6;-1.0;10268.0;14505.0;23645.0;23.3;2.5;-1.5;124.0;;0.302
2018.0;11891.0;1584.0;1341.0;1043.0;556.0;593.0;1696.0;4509.0;13210.0;2191.0;6528.0;6628.0;515.0;614.0;-1096.0;86.0;190.0;10307.0;13.32;435.0;;426.0;279.0;147.0;9.0;10741.0;35.0;303.0;487.0;11.27;8.77;-487.0;4.67;-44.0;4.99;0.35;0.35;1696.0;;745.0;118.0;863.0;1075.0;2362.0;209.0;4005.0;2347.0;215.0;2563.0;449.0;998.0;687.0;8701.0;;1061.0;470.0;192.0;;660.0;3370.0;;229.0;738.0;4338.0;;;;4959.0;1238.0;1243.0;-812.0;13156.0;54.0;13210.0;;593.0;487.0;-58.0;11.0;-705.0;18.0;-625.0;232.0;;186.0;-325.0;-97.0;;;1019.0;-1546.0;;-63.0;-154.0;666.0;54.0;745.0;658.0;;0.26;27.21;1.36;0.43;0.35;0.74;15.17;1696.0;3.2;0.1;8.2;46159.0;8.8;1892.0;2304.0;-7.8;5.0;8999.0;13083.0;25731.0;8.4;6.5;9.0;74.0;114.3;0.258
2019.0;9863.0;1046.0;1163.0;792.0;417.0;299.0;1699.0;4537.0;13436.0;1847.0;6675.0;6707.0;409.0;-473.0;-2.0;-62.0;-51.0;8818.0;10.6;244.0;;356.0;237.0;119.0;-112.0;9062.0;34.0;233.0;516.0;11.79;8.03;-375.0;4.22;114.0;3.04;0.18;0.18;1699.0;;657.0;909.0;1566.0;911.0;1906.0;155.0;4150.0;2356.0;168.0;2523.0;451.0;1013.0;762.0;8899.0;;936.0;439.0;159.0;;472.0;3754.0;;330.0;744.0;4828.0;;200.0;;4789.0;1404.0;1288.0;-775.0;13382.0;54.0;13436.0;;299.0;516.0;23.0;11.0;312.0;163.0;387.0;-160.0;;-753.0;-460.0;-18.0;;;-20.0;-1272.0;;;-120.0;1390.0;4.0;657.0;719.0;;0.25;23.33;0.71;-0.12;0.28;1.09;15.87;1699.0;5.3;0.2;7.6;39644.0;8.0;2074.0;1204.0;27.3;3.0;10811.0;15089.0;26956.0;4.1;4.8;4.5;59.8;-237.2;0.249
2020.0;8434.0;1142.0;1347.0;1062.0;673.0;455.0;1701.0;4506.0;12151.0;2210.0;6167.0;5941.0;1234.0;-429.0;-480.0;380.0;886.0;7293.0;13.54;79.0;;295.0;196.0;99.0;-215.0;7372.0;17.0;197.0;481.0;15.96;12.59;-389.0;7.98;213.0;5.4;0.27;0.27;1701.0;;889.0;585.0;1474.0;1153.0;1765.0;114.0;3478.0;2330.0;120.0;2450.0;437.0;653.0;626.0;7645.0;;1047.0;320.0;271.0;;843.0;3221.0;;238.0;499.0;3957.0;;165.0;;3705.0;1404.0;1428.0;-597.0;12108.0;43.0;12151.0;;455.0;481.0;44.0;;118.0;-102.0;-82.0;195.0;;136.0;-347.0;-93.0;;;-18.0;-1028.0;;;-53.0;601.0;56.0;889.0;509.0;;0.19;25.76;1.39;2.71;0.16;1.06;18.14;1701.0;2.5;0.1;4.6;43815.0;12.6;2499.0;2366.0;31.7;5.4;11927.0;16731.0;30860.0;6.0;7.1;7.7;88.4;6.0;0.193
2021.0;14063.0;3737.0;4373.0;3594.0;3639.0;2793.0;1701.0;5859.0;13250.0;2520.0;5564.0;7647.0;2247.0;-538.0;-1792.0;-82.0;1674.0;10326.0;26.57;143.0;;378.0;250.0;128.0;-235.0;10469.0;45.0;257.0;477.0;31.1;25.55;45.0;25.88;846.0;19.86;1.64;1.64;1701.0;;747.0;471.0;1218.0;1492.0;3027.0;122.0;3519.0;2231.0;92.0;2322.0;600.0;526.0;424.0;7391.0;;1439.0;366.0;253.0;;714.0;2323.0;;330.0;391.0;3045.0;;165.0;;3455.0;3202.0;1533.0;-543.0;13212.0;38.0;13250.0;;2793.0;477.0;656.0;;-1223.0;-290.0;-1383.0;455.0;;-457.0;-573.0;20.0;;;-15.0;-968.0;;;-958.0;134.0;1.0;747.0;829.0;;0.18;46.05;9.15;5.48;3.14;1.88;25.04;1701.0;0.6;0.0;59.4;78345.0;25.6;2659.0;15559.0;23.3;19.9;18604.0;12941.0;42604.0;28.0;29.5;36.5;65.7;57.3;0.179
