;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (BRL/USD)
1997.0;2311.0;1002.0;586.0;477.0;363.0;409.0;1832.0;;;;;;368.0;-1084.0;832.0;116.0;337.0;1309.0;43.35;524.0;;;;;524.0;1833.0;;;223.0;25.37;20.66;-114.0;15.73;-46.0;17.72;0.22;0.22;1832.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;409.0;223.0;;;-253.0;;;;;-11.0;-31.0;;-1029.0;3.0;-26.0;;;-82.0;-211.0;1125.0;;8.0;-107.0;;0.9;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;2212.0;985.0;616.0;400.0;361.0;362.0;1616.0;;;;;;-13.0;-123.0;572.0;435.0;-93.0;1227.0;44.52;585.0;;;;;585.0;1812.0;;;255.0;27.83;18.09;-39.0;16.32;-1.0;16.37;0.22;0.22;1616.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;362.0;255.0;;;128.0;;;;;-758.0;-80.0;;-48.0;15.0;-10.0;;;-15.0;-204.0;791.0;;13.0;-422.0;;0.83;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1625.0;831.0;148.0;442.0;-35.0;48.0;1723.0;;;;;;646.0;-310.0;-210.0;-170.0;389.0;794.0;51.13;389.0;;;;;389.0;1183.0;;;118.0;9.14;27.22;-477.0;-2.15;-17.0;2.94;0.03;0.03;1723.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0;118.0;-38.0;;24.0;;9.0;;;494.0;-257.0;;;;-53.0;;;;;-210.0;-296.0;812.0;982.0;;0.55;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1780.0;906.0;1492.0;440.0;940.0;911.0;1723.0;;;;;;613.0;-522.0;-148.0;-57.0;236.0;875.0;50.88;466.0;;;;;466.0;1341.0;116.0;262.0;290.0;83.78;24.71;500.0;52.78;28.0;51.18;0.16;0.16;1722.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;911.0;290.0;-6.0;;-1675.0;;-106.0;;;1092.0;-377.0;;-103.0;;-42.0;;;;;-148.0;;700.0;757.0;;0.51;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1724.0;762.0;597.0;496.0;460.0;530.0;1723.0;;;;;;211.0;796.0;-1257.0;-360.0;-221.0;963.0;44.17;265.0;;;;;265.0;1228.0;;;118.0;34.62;28.79;-36.0;26.69;-50.0;30.71;0.29;0.29;1722.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;530.0;118.0;-48.0;;-241.0;;12.0;;;-147.0;-432.0;-55.0;-7.0;1299.0;-9.0;;;;-1233.0;-24.0;-110.0;332.0;691.0;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;1842.0;848.0;-255.0;564.0;-377.0;-162.0;143459.0;1590.0;3655.0;1732.0;3148.0;507.0;806.0;-319.0;-348.0;26.0;542.0;994.0;46.04;284.0;;;;;284.0;1278.0;;;122.0;-13.84;30.62;-941.0;-20.47;-215.0;-8.79;-0.0;-0.0;143459.0;;356.0;;356.0;421.0;210.0;603.0;1527.0;;;;;166.0;372.0;2065.0;;158.0;1009.0;;;565.0;996.0;;;420.0;1416.0;;;;2447.0;-81.0;-1912.0;53.0;3655.0;;3655.0;;-162.0;122.0;-190.0;;-188.0;;11.0;;;1224.0;-264.0;-42.0;;;-13.0;;;;-60.0;-288.0;-113.0;356.0;330.0;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;2542.0;1088.0;992.0;684.0;561.0;533.0;1722.0;2305.0;5005.0;1225.0;4200.0;805.0;568.0;-247.0;494.0;893.0;358.0;1454.0;42.82;404.0;;;;;404.0;1858.0;;303.0;119.0;39.01;26.92;-124.0;22.06;37.0;20.96;0.31;0.31;1722.0;;1248.0;;1248.0;367.0;280.0;409.0;1870.0;;;;;294.0;537.0;2701.0;;152.0;456.0;;;618.0;2269.0;;;706.0;2975.0;;;;2441.0;195.0;-1884.0;53.0;5005.0;;5005.0;;533.0;119.0;-88.0;;36.0;;-24.0;;;-32.0;-210.0;-34.0;;;-4.0;;;;-277.0;771.0;79.0;1248.0;355.0;;0.35;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;3084.0;1677.0;1285.0;1362.0;1095.0;855.0;1701.0;2907.0;6157.0;1216.0;4831.0;1326.0;324.0;-335.0;-380.0;-281.0;146.0;1407.0;54.38;315.0;;;;;315.0;1722.0;;;139.0;41.67;44.16;-267.0;35.51;291.0;27.72;0.5;0.5;1701.0;;970.0;143.0;1113.0;382.0;819.0;593.0;2143.0;;45.0;45.0;;257.0;805.0;3250.0;;242.0;430.0;;;544.0;2357.0;;;1258.0;3615.0;;;;2447.0;797.0;-1971.0;53.0;6157.0;;6157.0;;855.0;139.0;2.0;;-705.0;;-493.0;;;33.0;-178.0;-156.0;;;-1.0;;;-153.0;-242.0;15.0;110.0;970.0;1251.0;;0.38;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;3800.0;1965.0;1899.0;1644.0;1280.0;901.0;1622.0;3326.0;7148.0;1396.0;6140.0;1008.0;1755.0;-592.0;-995.0;271.0;1465.0;1835.0;51.72;322.0;;;;;322.0;2156.0;153.0;406.0;166.0;49.99;43.26;-364.0;33.69;426.0;23.71;0.56;0.56;1622.0;;1239.0;187.0;1426.0;550.0;686.0;663.0;2544.0;82.0;;82.0;;328.0;869.0;3822.0;;429.0;354.0;;;613.0;2938.0;;;1806.0;4744.0;;;;2444.0;492.0;-1743.0;-186.0;7148.0;;7148.0;;901.0;166.0;-31.0;;35.0;;177.0;;;684.0;-290.0;-38.0;-265.0;;;;;-365.0;-960.0;330.0;103.0;1239.0;969.0;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;3839.0;1741.0;1678.0;1278.0;985.0;748.0;1545.0;3955.0;8533.0;1675.0;7488.0;1045.0;917.0;-838.0;-263.0;-281.0;213.0;2098.0;45.35;463.0;;;;;463.0;2561.0;129.0;430.0;205.0;43.71;33.28;-292.0;25.66;295.0;19.47;0.48;0.48;1545.0;;957.0;352.0;1310.0;777.0;1029.0;840.0;3205.0;100.0;;100.0;;291.0;981.0;4578.0;;760.0;350.0;;;565.0;3696.0;;;2116.0;5813.0;;;;;327.0;-1522.0;;8533.0;;8533.0;;748.0;205.0;98.0;;-649.0;;-325.0;;-226.0;516.0;-705.0;-28.0;-352.0;187.0;61.0;;;-17.0;-832.0;586.0;-99.0;957.0;1239.0;;0.47;5.31;1.03;0.29;1.15;0.97;1.45;1545.0;4.9;0.3;22.9;8202.0;33.3;437.0;1597.0;30.0;19.5;4871.0;7897.0;2233.0;15.0;17.3;71.5;-11.2;399.1;0.468
