;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
2005.0;6227.0;4732.0;2552.0;2257.0;2010.0;1338.0;1123.0;988.0;19084.0;1684.0;11129.0;7955.0;2327.0;-925.0;-1239.0;-73.0;1307.0;1495.0;75.99;3970.0;;;;;3970.0;5465.0;;;542.0;40.98;36.24;-247.0;32.28;672.0;21.49;1.21;1.19;1104.0;;53.0;;53.0;536.0;130.0;269.0;17269.0;;827.0;827.0;;;;18096.0;;1277.0;351.0;;;56.0;4023.0;;4143.0;1279.0;9445.0;;;;3939.0;4207.0;-191.0;;19084.0;;19084.0;;1338.0;542.0;470.0;;-27.0;123.0;-22.0;-135.0;-0.0;3.0;-1020.0;;;;95.0;-2464.0;99.0;-1220.0;-237.0;2583.0;;53.0;126.0;;0.86;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;6620.0;4963.0;2901.0;2599.0;2341.0;1790.0;1068.0;1146.0;20593.0;1814.0;12165.0;8428.0;2531.0;-1157.0;-1273.0;100.0;1417.0;1656.0;74.98;4020.0;;;;;4020.0;5676.0;;;560.0;43.83;39.27;-258.0;35.37;551.0;27.05;1.7;1.68;1051.0;;154.0;;154.0;594.0;162.0;237.0;18061.0;;1386.0;1386.0;;;;19447.0;;1562.0;187.0;;;64.0;4621.0;;4474.0;1257.0;10351.0;;;;3825.0;4640.0;-38.0;;20593.0;;20593.0;;1790.0;560.0;3.0;;173.0;-15.0;-31.0;169.0;50.0;4.0;-1114.0;-72.0;;;28.0;-2650.0;103.0;-1272.0;-292.0;2838.0;;154.0;53.0;;0.86;7.34;1.99;1.57;0.32;1.23;9.34;1051.0;11.2;0.6;1.5;7716.0;39.3;653.0;2087.0;23.5;27.0;-778.0;5386.0;9824.0;9.5;11.4;21.2;83.7;103.1;0.858
2007.0;7925.0;4163.0;3396.0;2886.0;2715.0;2166.0;1016.0;1052.0;23542.0;1596.0;13329.0;10213.0;2425.0;-898.0;-1348.0;131.0;1034.0;3762.0;52.53;5039.0;;;;;5039.0;8800.0;;;680.0;42.85;36.42;-171.0;34.27;550.0;27.33;2.16;2.13;1001.0;;311.0;;311.0;371.0;163.0;207.0;20484.0;;2006.0;2006.0;;;;22490.0;;1279.0;255.0;;;62.0;5382.0;;4925.0;1427.0;11734.0;;;;4298.0;5946.0;-31.0;;23542.0;;23542.0;;2166.0;680.0;-82.0;;-66.0;230.0;18.0;-350.0;39.0;-272.0;-1392.0;-25.0;;114.0;404.0;-3602.0;77.0;-1590.0;-419.0;4186.0;-48.0;311.0;180.0;;1.0;7.89;2.16;1.03;0.42;1.39;10.16;1001.0;11.6;0.7;1.7;7897.0;36.4;678.0;2158.0;20.3;27.3;-542.0;5363.0;10177.0;9.9;11.5;21.2;80.6;186.9;1.004
2008.0;6971.0;4668.0;2995.0;2378.0;2091.0;1557.0;960.0;1443.0;21958.0;1555.0;13281.0;8677.0;1669.0;-1151.0;-459.0;85.0;499.0;2303.0;66.97;2290.0;;1694.0;1694.0;;596.0;4592.0;;308.0;596.0;42.97;34.12;-287.0;30.0;534.0;22.34;1.64;1.62;949.0;;339.0;;339.0;750.0;164.0;189.0;19068.0;;;1447.0;;;;20515.0;;339.0;1555.0;;;-339.0;6085.0;;4529.0;1112.0;11726.0;;;;;5370.0;-127.0;;21958.0;;21958.0;;1557.0;596.0;189.0;;-448.0;-355.0;-19.0;-104.0;;-225.0;-1170.0;-41.0;;;61.0;-2949.0;44.0;-839.0;-358.0;3643.0;25.0;339.0;255.0;;0.82;8.93;2.0;0.64;0.46;1.5;11.12;949.0;12.0;0.6;1.9;8482.0;34.1;725.0;1895.0;25.5;22.3;-136.0;7405.0;10559.0;8.8;10.9;17.9;77.0;231.1;0.822
2009.0;7004.0;5026.0;3292.0;2287.0;2150.0;1763.0;947.0;1417.0;23935.0;1176.0;13256.0;10679.0;2167.0;-1366.0;-840.0;-58.0;834.0;1977.0;71.77;2739.0;;1988.0;1988.0;;751.0;4716.0;;392.0;751.0;47.01;32.66;-138.0;30.69;387.0;25.17;1.88;1.86;938.0;;335.0;;335.0;758.0;162.0;163.0;21514.0;;55.0;55.0;21.0;;928.0;22518.0;;294.0;84.0;71.0;;799.0;6076.0;371.0;4867.0;766.0;12080.0;;;;;7525.0;-901.0;;23935.0;;23935.0;;1763.0;751.0;131.0;;-53.0;37.0;30.0;-194.0;;-425.0;-1333.0;-355.0;;;321.0;-2005.0;69.0;;-451.0;1546.0;-18.0;335.0;393.0;;0.95;7.85;1.98;0.93;0.51;1.49;11.97;938.0;11.0;0.2;2.3;7367.0;32.7;790.0;1854.0;18.0;25.2;253.0;6391.0;11233.0;9.2;10.6;16.5;74.4;45.7;0.951
2010.0;8319.0;5986.0;4081.0;3032.0;2884.0;2110.0;940.0;1594.0;25274.0;1911.0;13960.0;11314.0;3007.0;-1387.0;-1489.0;138.0;1417.0;2333.0;71.95;2954.0;;2118.0;2118.0;;836.0;5287.0;;361.0;836.0;49.05;36.45;-148.0;34.66;774.0;25.36;2.26;2.25;933.0;;491.0;;491.0;777.0;211.0;115.0;22979.0;;701.0;701.0;;;;23680.0;;384.0;560.0;170.0;;968.0;5546.0;255.0;5166.0;1082.0;12048.0;;;;;8765.0;-1714.0;;25274.0;;25274.0;;2110.0;836.0;419.0;;-206.0;-3.0;-43.0;286.0;-458.0;-152.0;-1590.0;;;;204.0;-184.0;115.0;-915.0;-504.0;;7.0;491.0;353.0;;1.0;8.9;2.26;1.52;0.54;1.7;12.1;933.0;13.3;0.6;1.8;8297.0;36.4;834.0;2104.0;26.8;25.4;-316.0;5531.0;11284.0;10.2;12.8;18.6;76.1;92.1;1.003
2011.0;8854.0;6147.0;4493.0;3232.0;3291.0;2410.0;909.0;1812.0;25524.0;1682.0;15050.0;10474.0;2919.0;-1696.0;-1618.0;-381.0;1325.0;2707.0;69.43;2915.0;;2048.0;2048.0;;867.0;5621.0;;334.0;867.0;50.74;36.51;59.0;37.17;882.0;27.22;2.67;2.65;902.0;;99.0;;99.0;804.0;197.0;712.0;23455.0;;256.0;256.0;;;;23711.0;;436.0;132.0;127.0;;1113.0;6317.0;;5230.0;1821.0;13368.0;;;;;9197.0;-2784.0;;25524.0;;25524.0;;2410.0;867.0;521.0;;-8.0;-50.0;11.0;33.0;;-871.0;-1594.0;;;;-102.0;-1062.0;;-1393.0;-574.0;1410.0;14.0;99.0;481.0;;0.98;10.01;2.72;1.5;0.65;1.8;11.84;902.0;13.5;0.8;1.8;9028.0;36.5;884.0;2457.0;26.8;27.2;133.0;6441.0;10680.0;11.1;14.2;23.0;76.2;148.4;0.981
2012.0;9986.0;4050.0;4957.0;3710.0;3683.0;2698.0;875.0;1882.0;26838.0;2218.0;15746.0;11092.0;3081.0;-1431.0;-1593.0;54.0;1338.0;5937.0;40.55;;;;;;;5937.0;;344.0;930.0;49.64;37.15;-27.0;36.88;985.0;27.02;3.1;3.08;871.0;;156.0;;156.0;837.0;232.0;657.0;24705.0;;57.0;57.0;30.0;;163.0;24956.0;;389.0;581.0;296.0;;1248.0;6365.0;;5592.0;1570.0;13528.0;;;;4136.0;10235.0;-3279.0;;26838.0;;26838.0;;2698.0;930.0;454.0;;66.0;-20.0;-30.0;130.0;;-1068.0;-1743.0;;;;312.0;-2014.0;;-1409.0;-656.0;2488.0;-3.0;156.0;102.0;;1.01;11.39;3.08;1.53;0.75;1.99;12.65;871.0;13.7;0.9;1.8;9920.0;37.1;924.0;2680.0;26.7;27.0;-334.0;6323.0;11018.0;12.0;15.0;24.3;75.7;154.4;1.007
2013.0;9954.0;3923.0;4637.0;3646.0;3378.0;2459.0;846.0;1861.0;28392.0;2351.0;16200.0;12193.0;3340.0;-1743.0;-1559.0;56.0;1483.0;6031.0;39.41;;;;;;-9.0;6031.0;;336.0;922.0;46.58;36.62;-267.0;33.94;920.0;24.7;2.92;2.91;843.0;;201.0;;201.0;767.0;258.0;634.0;24687.0;;56.0;56.0;54.0;;1735.0;26531.0;;384.0;961.0;90.0;;1006.0;6419.0;;6153.0;1276.0;13848.0;;;;3779.0;10155.0;-1741.0;;28392.0;;28392.0;;2459.0;922.0;312.0;;-224.0;30.0;-36.0;-231.0;;-129.0;-1857.0;;;;114.0;-1330.0;;-1318.0;-682.0;1771.0;18.0;201.0;146.0;;0.94;12.54;3.1;1.87;0.86;2.34;15.36;843.0;16.3;1.0;1.7;10575.0;36.6;980.0;2612.0;27.2;24.7;-521.0;6819.0;12953.0;10.4;13.1;20.2;72.3;134.9;0.941
2014.0;10440.0;4295.0;4974.0;3978.0;3751.0;2725.0;824.0;1778.0;27354.0;1894.0;15764.0;11590.0;3769.0;-1872.0;-2039.0;-139.0;1793.0;6145.0;41.14;;;;;;-11.0;6145.0;;319.0;903.0;47.64;38.11;-227.0;35.93;1026.0;26.1;3.32;3.31;820.0;;45.0;;45.0;798.0;288.0;646.0;24533.0;;53.0;53.0;50.0;;940.0;25576.0;;399.0;468.0;179.0;;1026.0;6767.0;;5938.0;1165.0;13871.0;;;;3199.0;10101.0;-2088.0;378.0;27354.0;;27354.0;;2725.0;903.0;358.0;;-90.0;-51.0;-44.0;;;-126.0;-1976.0;;;;104.0;-707.0;;-1295.0;-704.0;667.0;3.0;45.0;184.0;;0.86;14.8;3.86;2.54;1.0;2.8;16.43;820.0;16.3;0.9;1.6;12134.0;38.1;1050.0;3167.0;27.4;26.1;-135.0;7865.0;13470.0;11.6;14.9;23.5;74.2;111.5;0.86
