;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (MXN/USD)
2005.0;134.0;99.0;55.0;46.0;49.0;35.0;49.0;182.0;779.0;14.0;68.0;541.0;64.0;-27.0;;37.0;39.0;35.0;73.71;53.0;;22.0;;22.0;31.0;88.0;;;21.0;40.84;34.17;3.0;36.53;-0.0;25.75;0.71;0.71;49.0;;155.0;;155.0;17.0;;10.0;138.0;;;386.0;;;73.0;597.0;;7.0;;2.0;2.0;6.0;;;;53.0;53.0;;;;407.0;134.0;;;608.0;171.0;779.0;;35.0;21.0;;;-9.0;;;;;18.0;-25.0;;;;-27.0;;;;;;;155.0;118.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;151.0;115.0;58.0;56.0;63.0;42.0;49.0;191.0;792.0;16.0;80.0;545.0;65.0;-39.0;-29.0;-3.0;26.0;35.0;76.44;59.0;;21.0;;21.0;38.0;95.0;;;26.0;38.44;37.11;7.0;41.91;-10.0;27.81;0.85;0.85;49.0;;149.0;;149.0;34.0;;8.0;163.0;;;368.0;;;70.0;601.0;;6.0;;5.0;1.0;9.0;;;;63.0;63.0;;;;411.0;134.0;;;625.0;167.0;792.0;;42.0;26.0;;;-10.0;;;;;8.0;-39.0;;;;-39.0;;11.0;;-40.0;0.0;;149.0;152.0;;0.09;32.92;9.16;5.64;8.72;8.59;119.13;49.0;2.4;0.1;40.1;1626.0;37.1;282.0;452.0;-15.9;27.8;1888.0;;5884.0;6.1;5.1;7.7;4.8;112.0;0.093
2007.0;174.0;67.0;17.0;67.0;75.0;3.0;50.0;191.0;837.0;37.0;152.0;685.0;98.0;-60.0;-30.0;8.0;38.0;107.0;38.37;;;24.0;;24.0;;107.0;;;31.0;9.49;38.37;8.0;43.04;-17.0;1.64;0.06;0.06;50.0;;161.0;;161.0;6.0;24.0;;210.0;;;366.0;;;69.0;646.0;;5.0;;8.0;0.0;32.0;;;100.0;15.0;115.0;;;;404.0;61.0;32.0;188.0;837.0;;837.0;;3.0;31.0;;;4.0;;;;;61.0;-60.0;;;;;;;-9.0;-21.0;;;161.0;153.0;;0.09;37.98;0.62;8.26;4.59;13.17;149.63;50.0;42.6;2.5;17.3;1897.0;38.4;336.0;31.0;-22.9;1.6;1677.0;;7474.0;-2.2;-1.7;0.4;-634.9;79.7;0.092
2008.0;145.0;111.0;53.0;50.0;57.0;39.0;50.0;68.0;717.0;84.0;170.0;547.0;53.0;-137.0;-26.0;-109.0;-47.0;33.0;76.93;61.0;;23.0;;23.0;38.0;95.0;;;27.0;36.61;34.57;7.0;39.26;-13.0;27.25;0.8;0.8;50.0;;19.0;;19.0;49.0;;;141.0;;;;506.0;;3.0;649.0;;29.0;10.0;15.0;0.0;45.0;;;83.0;3.0;86.0;;;;317.0;76.0;24.0;130.0;717.0;0.0;717.0;;39.0;27.0;;;-30.0;;;;-20.0;18.0;-100.0;;-41.0;;4.0;;;-4.0;-31.0;9.0;;19.0;128.0;;0.07;40.14;10.94;-12.92;8.64;27.77;151.96;50.0;1.5;0.1;51.3;1988.0;34.6;367.0;542.0;-23.1;27.2;-220.0;;7527.0;5.1;3.7;7.2;21.0;-75.2;0.073
2009.0;194.0;111.0;75.0;43.0;42.0;36.0;49.0;68.0;786.0;79.0;199.0;586.0;34.0;-46.0;12.0;1.0;18.0;83.0;57.1;68.0;;29.0;29.0;;39.0;151.0;;2.0;32.0;38.84;22.05;-1.0;21.57;6.0;18.51;5.51;5.51;49.0;;20.0;;20.0;46.0;;1.0;167.0;;548.0;548.0;;;3.0;719.0;;45.0;20.0;7.0;0.0;15.0;32.0;;85.0;3.0;120.0;;;;336.0;86.0;27.0;138.0;785.0;1.0;786.0;;36.0;32.0;;;-41.0;;;;-0.0;8.0;-17.0;;;;-29.0;;;;-31.0;44.0;;20.0;20.0;;0.08;51.4;9.51;4.7;8.34;4.39;155.29;49.0;1.1;0.0;79.9;2537.0;22.0;412.0;470.0;14.2;18.5;-153.0;412.0;7666.0;5.3;5.6;6.1;12.4;177.4;0.076
2010.0;214.0;119.0;76.0;38.0;32.0;45.0;50.0;68.0;845.0;60.0;211.0;634.0;49.0;-43.0;-3.0;4.0;41.0;95.0;55.47;81.0;;35.0;35.0;;46.0;176.0;;6.0;38.0;35.43;17.77;-6.0;15.08;-12.0;20.82;3.24;3.24;50.0;;25.0;;25.0;41.0;;1.0;187.0;;588.0;588.0;;;3.0;777.0;;31.0;12.0;9.0;0.0;17.0;78.0;;70.0;4.0;151.0;;;;356.0;99.0;33.0;146.0;845.0;1.0;845.0;;45.0;38.0;;;-27.0;;;;0.0;-7.0;-8.0;;;;-34.0;-16.0;;;-32.0;45.0;;25.0;22.0;;0.08;53.17;11.07;10.14;8.0;2.1;157.16;50.0;1.3;0.1;57.6;2651.0;17.8;470.0;552.0;-38.1;20.8;101.0;960.0;7838.0;6.7;4.5;7.0;27.7;78.9;0.081
2011.0;200.0;121.0;76.0;66.0;57.0;44.0;50.0;83.0;666.0;59.0;230.0;435.0;44.0;-22.0;-6.0;15.0;40.0;79.0;60.6;55.0;;31.0;31.0;;24.0;134.0;1.0;7.0;12.0;38.06;32.95;-9.0;28.61;13.0;22.08;0.88;0.88;50.0;;38.0;;38.0;46.0;;;152.0;;;;413.0;16.0;2.0;582.0;;26.0;14.0;;13.0;7.0;109.0;;24.0;37.0;171.0;;;;315.0;;28.0;92.0;665.0;1.0;666.0;;44.0;12.0;;;-46.0;;;;;34.0;-4.0;;-20.0;;1.0;;;;-29.0;23.0;;38.0;22.0;;0.07;55.93;12.35;11.11;8.0;1.06;121.83;50.0;1.2;0.1;52.7;2790.0;33.0;165.0;616.0;22.8;22.1;338.0;1529.0;6077.0;8.2;9.7;10.1;35.2;72.0;0.072
2012.0;244.0;130.0;108.0;90.0;86.0;63.0;50.0;132.0;779.0;95.0;280.0;499.0;98.0;-31.0;-19.0;49.0;94.0;115.0;53.16;40.0;;35.0;35.0;;4.0;154.0;2.0;8.0;15.0;44.22;36.93;-4.0;35.25;22.0;25.79;1.26;1.26;50.0;;90.0;;90.0;42.0;;;167.0;;462.0;462.0;;15.0;2.0;647.0;;12.0;45.0;14.0;;37.0;117.0;;27.0;41.0;185.0;;;;303.0;162.0;31.0;2.0;778.0;1.0;779.0;;63.0;15.0;22.0;;-19.0;5.0;;0.0;-2.0;17.0;-4.0;;;;-26.0;-26.0;;;-15.0;23.0;;90.0;41.0;;0.08;62.97;16.24;24.13;3.98;1.14;128.45;50.0;1.0;0.1;23.4;3141.0;36.9;187.0;810.0;26.0;25.8;480.0;1505.0;6407.0;10.1;12.0;12.6;75.5;16.5;0.078
2013.0;262.0;132.0;113.0;93.0;82.0;92.0;50.0;175.0;844.0;73.0;354.0;489.0;77.0;-21.0;-27.0;29.0;71.0;130.0;50.54;42.0;;38.0;38.0;;4.0;172.0;6.0;16.0;15.0;43.16;35.38;-11.0;31.2;-10.0;35.1;1.84;1.84;50.0;;118.0;;118.0;47.0;;10.0;166.0;;467.0;467.0;;35.0;2.0;670.0;;17.0;10.0;4.0;;46.0;228.0;;16.0;37.0;280.0;;;;207.0;252.0;28.0;2.0;843.0;1.0;844.0;;92.0;15.0;-21.0;;-27.0;-1.0;;3.0;-7.0;18.0;-6.0;;;;-15.0;-114.0;;-2.0;;89.0;;118.0;88.0;;0.08;68.52;24.05;18.56;;1.6;127.91;50.0;1.2;0.1;;3418.0;35.4;201.0;1200.0;-12.6;35.1;1320.0;2971.0;6380.0;14.3;11.6;18.8;100.0;2.7;0.077
2014.0;253.0;141.0;118.0;100.0;85.0;69.0;50.0;231.0;842.0;56.0;427.0;411.0;109.0;-25.0;2.0;86.0;78.0;112.0;55.6;41.0;;36.0;36.0;;5.0;153.0;5.0;18.0;15.0;46.8;39.39;-14.0;33.76;16.0;27.47;1.4;1.4;50.0;;190.0;;190.0;32.0;;8.0;155.0;;419.0;419.0;;34.0;3.0;611.0;;17.0;3.0;6.0;;36.0;317.0;;13.0;41.0;371.0;;;;101.0;292.0;16.0;2.0;838.0;3.0;842.0;;69.0;15.0;-11.0;;8.0;-1.0;;1.0;2.0;28.0;-31.0;;;;-14.0;-159.0;;-91.0;;253.0;;190.0;104.0;;0.07;75.25;20.68;23.17;;9.33;122.38;50.0;1.5;0.1;;3730.0;39.4;224.0;1025.0;18.5;27.5;2574.0;4677.0;6065.0;10.8;12.3;16.9;100.0;117.0;0.068
