;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (JPY/USD)
2000.0;;;;;;;2487.0;;;;;;;;;;;;;;;;;;;;;;;63.07;;;8.94;;4.43;;;2487.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;2657.0;;;;;;;;;;;;;;;;;;;;;;;42.28;;;9.89;;3.66;;;2654.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;2757.0;;;;;;;;;;;;;;;;;;;;;;;44.72;;;19.61;;15.05;;;2757.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;2759.0;;;;;;;;;;;;;;;;;;;;;;;33.6;;;19.06;;15.01;;;2759.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;3158.0;;;;;;;;;;;;;;;;;;;;;;;20.05;;;12.05;;9.84;;;3158.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;2638.0;;;;;;;;;;;;;;;;;;;;;;;5.89;;;-3.35;;-7.23;;;2638.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;3709.0;;;;;;;;;;;;;;;;;;;;;;;66.67;;;36.41;;23.97;;;3709.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;772.55;185.19;481.11;11.96;114.31;1200.99;3709.0;0.1;0.0;54.8;2865349.0;;425812.0;686843.0;28.4;24.0;66877328.0;6759023.0;4454398.0;1.1;1.4;15.4;93.5;-30.4;
2007.0;;;;;;;3783.0;;;;;;;;;;;;;;;;;;;;;;;70.53;;;28.77;;15.74;;;3783.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;741.3;116.68;-1955.15;12.67;167.78;1037.14;3783.0;0.2;0.0;71.9;2803986.0;;419126.0;441352.0;38.0;15.7;72285030.0;7747262.0;3923001.0;1.0;1.6;11.3;89.1;-20.4;
2008.0;;;;;;;3867.0;;;;;;;;;;;;;;;;;;;;;;;73.51;;;29.94;;14.88;;;3867.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;802.38;119.36;1342.0;28.47;153.43;925.4;3867.0;0.1;0.0;218.5;3102676.0;;497641.0;461537.0;41.6;14.9;75141523.0;9017442.0;3578369.0;1.0;1.6;12.9;76.1;2.1;
2009.0;;;;;;;3862.0;;;;;;;;;;;;;;;;;;;;;;;34.66;;;1.21;;-15.38;;;3862.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;628.62;-96.71;1843.19;30.75;64.77;639.57;3862.0;-0.1;-0.0;413.3;2427583.0;;131413.0;-373456.0;1134.6;-15.4;77532051.0;9354116.0;2469856.0;-6.8;0.6;-15.1;131.8;;
2010.0;2861654.0;;1609557.0;;1214165.0;565700.0;5215.0;98971824.0;131602434.0;9785545.0;123511447.0;5900165.0;-473141.0;48367.0;1530733.0;1046871.0;-746671.0;;;;;1013111.0;975324.0;37787.0;;;1889670.0;371087.0;150566.0;56.25;;;42.43;522204.0;19.77;109.46;103.06;5085.0;;6676156.0;21271788.0;27947944.0;936989.0;;70086891.0;1062693.0;387877.0;372074.0;759951.0;30807965.0;;;32630610.0;164233044.0;1477847.0;8307698.0;63106.0;;;7489994.0;181186.0;26512.0;;7697692.0;121423595.0;64390.0;;2501549.0;1780071.0;594159.0;1024386.0;129411612.0;2190822.0;131602434.0;;565700.0;150566.0;;;-2039640.0;;;;1313037.0;850233.0;-273529.0;-239614.0;-48547129.0;49059764.0;-39107.0;-778826.0;1952639.0;-531123.0;-76037.0;964082.0;-59089.0;6004372.0;4957502.0;;1.07;525.91;103.96;-137.22;13.97;50.27;1084.33;5085.0;0.1;0.0;226.9;2674443.0;;140716.0;528692.0;43.0;19.8;83351663.0;6999994.0;5514173.0;0.7;1.1;9.6;86.6;180.2;1.07
