;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CHF/USD)
2010.0;31252.0;;28683.0;;8012.0;5455.0;1312.0;765143.0;1104349.0;96552.0;1058318.0;35615.0;8805.0;-22953.0;35343.0;14564.0;6997.0;;;;;21448.0;19149.0;2299.0;;;27323.0;20323.0;1248.0;91.78;;;25.64;1657.0;17.46;3.83;3.81;1305.0;;71687.0;1976.0;73664.0;47006.0;;644473.0;7196.0;9187.0;334.0;9521.0;322489.0;;;339206.0;1443554.0;73349.0;23203.0;1217.0;;;185932.0;;441.0;;186373.0;1148139.0;;;50.0;27091.0;-15575.0;24049.0;1093933.0;10415.0;1104349.0;;5455.0;1248.0;1310.0;;9003.0;;;;;-8211.0;-1807.0;-1791.0;-2945.0;7708.0;-24117.0;-54992.0;26494.0;-28728.0;-2996.0;95566.0;-6586.0;70056.0;55492.0;;1.07;22.38;3.91;5.01;2.15;1.29;25.5;1305.0;11.0;0.5;5.0;29205.0;;1166.0;5098.0;20.7;17.5;624793.0;173752.0;33282.0;2.2;2.5;15.3;45.1;74.8;1.07
2011.0;25715.0;;21727.0;;3688.0;2081.0;1318.0;840210.0;1117990.0;107937.0;1074210.0;35883.0;41164.0;-27676.0;35224.0;48065.0;39311.0;;;;;19860.0;17737.0;2123.0;;;24511.0;17656.0;1274.0;84.49;;;14.34;715.0;8.09;1.34;1.33;1309.0;;120248.0;2078.0;122326.0;52786.0;;665099.0;7665.0;9155.0;307.0;9461.0;260654.0;;;277781.0;1395771.0;80108.0;27829.0;817.0;;;173325.0;;457.0;;173782.0;1140056.0;;;52.0;28828.0;-16127.0;23130.0;1110093.0;7897.0;1117990.0;;2081.0;1274.0;209.0;;-2013.0;;;;;39613.0;-1853.0;-1899.0;-1643.0;12109.0;-34390.0;-39563.0;13831.0;-12563.0;-2076.0;75595.0;-675.0;117827.0;69762.0;;1.07;18.43;1.49;28.18;1.49;1.33;25.72;1309.0;23.4;1.4;4.3;24132.0;;1196.0;1953.0;19.4;8.1;687193.0;162655.0;33674.0;1.6;1.8;5.8;0.3;2.1;1.066
2012.0;23575.0;;19764.0;;2382.0;1474.0;1405.0;734032.0;1009591.0;98382.0;963404.0;38774.0;-13844.0;46920.0;-85046.0;-53315.0;-15200.0;;;;;17420.0;17420.0;;;;24145.0;16335.0;1413.0;83.83;;;10.11;542.0;6.25;0.91;0.9;1398.0;;69588.0;1328.0;70916.0;56394.0;;606721.0;6137.0;9163.0;265.0;9429.0;259994.0;;;275559.0;1285150.0;78021.0;20362.0;943.0;;;161807.0;;142.0;;161949.0;1026971.0;;;58.0;30771.0;-17371.0;25316.0;1002179.0;7412.0;1009591.0;;1474.0;1413.0;-247.0;;-6459.0;;;;;-10025.0;-1357.0;-2227.0;-524.0;6189.0;43482.0;-61099.0;11234.0;-9677.0;-1416.0;-24090.0;-1345.0;67464.0;120779.0;;1.09;15.44;0.97;-9.96;0.93;0.89;25.4;1398.0;22.9;1.5;4.2;21583.0;;1294.0;1349.0;22.7;6.3;581937.0;148134.0;35498.0;1.6;1.8;3.8;3.9;0.9;1.092
2013.0;26683.0;;18345.0;;4585.0;2604.0;1638.0;726468.0;977019.0;110807.0;924221.0;47198.0;24710.0;12894.0;-27337.0;7756.0;23699.0;;;;;16281.0;16281.0;;;;21891.0;12807.0;1506.0;68.75;;;17.18;1428.0;9.76;1.73;1.73;1635.0;;78590.0;725.0;79315.0;63698.0;;583455.0;5699.0;8954.0;235.0;9189.0;235663.0;;;250551.0;1227570.0;88203.0;22604.0;967.0;;;145569.0;;441.0;;146010.0;959424.0;;;72.0;33874.0;-17770.0;31023.0;971420.0;5599.0;977019.0;;2604.0;1506.0;778.0;;3459.0;;;;;16363.0;-1011.0;-2006.0;-758.0;5312.0;10347.0;-61718.0;12022.0;-11420.0;-631.0;34410.0;-1361.0;76894.0;69138.0;;1.12;14.58;1.42;12.95;0.35;0.55;25.8;1635.0;20.2;1.2;1.2;23837.0;;1345.0;2326.0;31.2;9.8;549992.0;130042.0;42164.0;1.3;1.7;5.5;75.8;0.1;1.119
2014.0;24172.0;;14674.0;;3647.0;1886.0;1737.0;697838.0;926622.0;89930.0;881369.0;44205.0;-17719.0;-10397.0;33472.0;10717.0;-18781.0;;;;;14584.0;14584.0;;;;19168.0;10083.0;1292.0;60.71;;;15.09;1413.0;7.8;1.14;1.13;1724.0;;81044.0;998.0;82042.0;48134.0;;567662.0;4667.0;8692.0;250.0;8943.0;215174.0;;;228784.0;1155406.0;63864.0;26066.0;826.0;;;178894.0;;47.0;;178941.0;970381.0;;;64.0;32263.0;-15087.0;26965.0;925574.0;1048.0;926622.0;;1886.0;1292.0;688.0;;-17914.0;;;;;-3670.0;-1062.0;-1271.0;-1066.0;2839.0;-10899.0;-36675.0;9745.0;-10254.0;-1259.0;71915.0;5822.0;79793.0;69077.0;;1.01;13.95;1.09;-10.84;0.73;0.61;25.5;1724.0;26.7;1.5;2.5;24037.0;;1285.0;1875.0;38.7;7.8;604523.0;177898.0;43959.0;1.0;1.4;4.3;33.2;-9.4;1.006
2015.0;21716.0;;12481.0;;-2416.0;-2937.0;1768.0;637616.0;818917.0;53996.0;774003.0;44280.0;15033.0;34581.0;-36085.0;12949.0;13934.0;;;;;14646.0;14646.0;;;;19297.0;10019.0;4878.0;57.47;;;-11.13;522.0;-13.53;-1.67;-1.67;1768.0;;92981.0;451.0;93432.0;40108.0;;504077.0;4633.0;4797.0;196.0;4992.0;171675.0;;;181301.0;1000218.0;45358.0;8637.0;607.0;;;197154.0;;54.0;;197207.0;917215.0;;;78.0;29072.0;-16597.0;31727.0;818283.0;635.0;818917.0;;-2937.0;4878.0;32.0;;-11384.0;;;;;24445.0;-1099.0;-593.0;-375.0;2858.0;32691.0;-49251.0;24730.0;-19716.0;-426.0;8578.0;-581.0;92116.0;79166.0;;1.0;12.31;-1.66;7.9;0.24;0.62;25.1;1768.0;-15.2;-0.8;1.0;21766.0;;4889.0;-2944.0;-21.6;-13.5;584966.0;197608.0;44382.0;1.2;0.9;-6.6;114.5;;0.998
2016.0;17411.0;;8322.0;;-2224.0;-2660.0;2123.0;650333.0;804612.0;60136.0;763088.0;41118.0;26277.0;-7805.0;8604.0;28297.0;25135.0;;;;;13089.0;13089.0;;;;17051.0;9629.0;920.0;47.8;;;-12.77;433.0;-15.28;-1.13;-1.13;2123.0;;119665.0;574.0;120239.0;37507.0;;492586.0;4623.0;4822.0;209.0;5031.0;144625.0;;;154279.0;958891.0;45037.0;15099.0;624.0;;;189719.0;;127.0;;189846.0;892797.0;;;82.0;25471.0;-15969.0;31533.0;804205.0;406.0;804612.0;;-2660.0;920.0;-189.0;;8201.0;;;;;20006.0;-1142.0;-1377.0;-86.0;2075.0;-8416.0;-46255.0;16578.0;-15896.0;-484.0;54661.0;1221.0;118907.0;90611.0;;0.98;8.36;-1.28;12.06;0.23;0.55;19.74;2123.0;-10.9;-0.5;1.7;17741.0;;937.0;-2710.0;-19.5;-15.3;601382.0;193315.0;41897.0;1.2;0.9;-6.5;118.2;;0.981
2017.0;19748.0;;13498.0;;1840.0;-1009.0;2414.0;658887.0;817231.0;76750.0;773933.0;43004.0;-8767.0;11098.0;-13127.0;-11644.0;-9863.0;;;;;13197.0;13197.0;;;;17506.0;10776.0;918.0;68.35;;;9.32;2813.0;-5.11;-0.42;-0.42;2414.0;;113448.0;890.0;114338.0;52995.0;;491554.0;4809.0;4867.0;229.0;5096.0;148440.0;;;158345.0;975576.0;50180.0;26570.0;718.0;;;177583.0;;404.0;;177987.0;875170.0;;;105.0;25630.0;-19231.0;36500.0;816937.0;295.0;817231.0;;-1009.0;918.0;2297.0;;-17989.0;;;;;7017.0;-1096.0;-1123.0;-88.0;2469.0;9840.0;-64199.0;16715.0;-13093.0;-606.0;48054.0;-849.0;112703.0;124348.0;;1.03;7.97;-0.41;-3.98;0.24;0.44;17.36;2414.0;-37.8;-1.6;1.6;19242.0;;894.0;-983.0;152.9;-5.1;567219.0;173032.0;41902.0;-0.9;1.5;-2.3;160.0;;1.026
2018.0;19654.0;;17238.0;;3434.0;2061.0;2551.0;649273.0;783141.0;59081.0;738308.0;44735.0;12996.0;-7529.0;-15426.0;-9949.0;11881.0;;;;;12443.0;12443.0;;;;19976.0;12837.0;953.0;87.71;;;17.47;1386.0;10.49;0.7;0.7;2551.0;;103061.0;873.0;103934.0;44775.0;;500564.0;4928.0;4854.0;223.0;5077.0;123863.0;;;133868.0;917009.0;36750.0;22332.0;944.0;;;157163.0;;446.0;;157609.0;836835.0;;;104.0;27472.0;-18314.0;35472.0;783042.0;99.0;783141.0;;2061.0;953.0;815.0;;-11042.0;;;;;20208.0;-1115.0;-557.0;-696.0;2933.0;-9209.0;-44662.0;11909.0;-12671.0;-678.0;30676.0;10.0;101898.0;111847.0;;1.02;7.57;0.79;4.57;0.26;0.43;17.22;2551.0;19.6;0.8;1.7;19297.0;;936.0;2024.0;40.4;10.5;579472.0;154308.0;43922.0;1.3;2.1;4.6;67.1;12.1;1.018
2019.0;21142.0;;19784.0;;4875.0;3531.0;2587.0;652595.0;813118.0;61110.0;767970.0;45076.0;-19028.0;-1369.0;22917.0;1892.0;-20364.0;;;;;13129.0;13129.0;;;;20846.0;13599.0;1317.0;93.58;;;23.06;1337.0;16.7;1.39;1.36;2524.0;;105986.0;174.0;106159.0;41659.0;;504777.0;8089.0;4816.0;301.0;5116.0;147318.0;;;160523.0;973641.0;31794.0;29316.0;700.0;;;160309.0;;540.0;;160849.0;867710.0;3318.0;;105.0;31639.0;-20934.0;34265.0;813046.0;72.0;813118.0;;3531.0;1317.0;608.0;;-3932.0;;;;;-20553.0;-1335.0;-294.0;-575.0;2242.0;-2742.0;-47808.0;9940.0;-11914.0;-719.0;73419.0;-627.0;105221.0;103329.0;;1.03;8.11;1.35;-7.81;0.28;0.51;17.29;2524.0;9.0;0.4;2.3;20471.0;;1275.0;3419.0;27.4;16.7;572701.0;155218.0;43644.0;1.8;2.3;7.8;79.6;-13.2;1.033
2020.0;23303.0;;14452.0;;3915.0;3014.0;2526.0;740865.0;910015.0;52872.0;861522.0;48195.0;-7356.0;18830.0;33585.0;42047.0;-8698.0;;;;;14247.0;14247.0;;;;15719.0;9002.0;1531.0;62.02;;;16.8;905.0;12.93;1.23;1.2;2457.0;;158565.0;168.0;158733.0;45393.0;;536738.0;8330.0;4998.0;268.0;5266.0;155554.0;;;169150.0;1079165.0;29305.0;23566.0;627.0;;;185031.0;;599.0;;185630.0;994280.0;3116.0;;111.0;37079.0;-26143.0;37148.0;909717.0;298.0;910015.0;;3014.0;1531.0;490.0;;-7929.0;;;;;-4463.0;-1342.0;-237.0;-454.0;1684.0;17837.0;-48298.0;13963.0;-14967.0;-809.0;83696.0;-3012.0;157099.0;115052.0;;1.13;8.4;1.09;-3.13;0.29;0.48;17.37;2457.0;9.8;0.3;2.7;20635.0;;1356.0;2669.0;23.1;12.9;609221.0;163846.0;42677.0;1.2;1.4;6.3;73.2;-20.8;1.129
2021.0;22572.0;;6950.0;;-572.0;-1723.0;2461.0;;812844.0;35562.0;764291.0;48250.0;40477.0;-11048.0;-52.0;28169.0;38922.0;;;;;17581.0;17581.0;;;;10583.0;4216.0;3332.0;30.79;;;-2.53;1124.0;-7.63;-0.73;-0.73;2461.0;;182057.0;;182057.0;18286.0;;;;3196.0;302.0;3499.0;129274.0;;;;812844.0;14311.0;21251.0;;;;182885.0;;;;182885.0;911614.0;;;116.0;34125.0;-23369.0;37378.0;812541.0;302.0;812844.0;;-1723.0;3332.0;247.0;1010.0;2286.0;;;;;35324.0;-1555.0;-2245.0;-690.0;877.0;-8989.0;-58039.0;22856.0;-24014.0;-282.0;59427.0;-1209.0;180608.0;152439.0;;1.1;8.37;-0.64;14.44;0.1;0.58;17.9;2461.0;-17.2;-0.6;0.9;20599.0;;3041.0;-1572.0;-196.6;-7.6;-32453.0;166896.0;44032.0;1.4;0.4;-3.6;116.3;;1.096
