;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (MXN/USD)
2010.0;2648.0;;2542.0;;1307.0;1018.0;1357.0;27705.0;53511.0;;46585.0;6926.0;792.0;-56.0;-642.0;-3.0;681.0;;;1352.0;;1080.0;1080.0;;273.0;;3173.0;1051.0;113.0;95.98;;458.0;49.35;360.0;38.44;0.75;0.75;1357.0;;3570.0;;3570.0;;;24135.0;444.0;;152.0;152.0;25210.0;;;25806.0;79317.0;;;;;;;;10.0;;;46585.0;;;2075.0;1018.0;2752.0;1081.0;53511.0;1.0;53511.0;;1018.0;113.0;360.0;;-407.0;;;;2019.0;-291.0;-111.0;31.0;;15.0;-63.0;-318.0;;;-324.0;;-98.0;3570.0;3572.0;;0.08;24.12;9.27;6.21;2.95;1.01;63.09;1357.0;;;;32739.0;;1398.0;12586.0;27.5;38.4;342547.0;;85631.0;3.3;4.5;14.7;68.2;47.5;0.081
2011.0;2936.0;;2905.0;;1174.0;1338.0;1357.0;;52940.0;;46603.0;6336.0;248.0;-1291.0;-453.0;-1238.0;132.0;;;;;1297.0;1297.0;;;;3343.0;1280.0;105.0;98.93;;;40.0;182.0;45.57;0.73;0.73;1357.0;;6078.0;;6078.0;1227.0;;;400.0;;;;15971.0;;;;52940.0;2047.0;;36.0;;;;;76.0;;;46603.0;;;2604.0;1453.0;8.0;2271.0;52939.0;1.0;52940.0;;1338.0;105.0;182.0;;-506.0;485.0;;;3065.0;-870.0;-116.0;-1636.0;-0.0;;399.0;;;;-458.0;5.0;;6078.0;7315.0;;0.07;30.2;13.76;1.36;4.72;1.19;65.18;1357.0;;;;40993.0;;1464.0;18682.0;15.5;45.6;;;88466.0;4.5;5.3;21.1;65.7;347.3;0.072
2012.0;3016.0;;3464.0;;1659.0;1355.0;1357.0;37056.0;61701.0;5031.0;53872.0;7829.0;1816.0;117.0;-1484.0;331.0;1677.0;;;1517.0;;1308.0;1308.0;;210.0;;4321.0;1685.0;121.0;114.85;;-20.0;55.0;303.0;44.93;1.02;1.02;1357.0;;3766.0;3698.0;7464.0;314.0;;29277.0;320.0;124.0;160.0;284.0;24041.0;;;24645.0;86346.0;3004.0;1946.0;53.0;81.0;;4257.0;81.0;6.0;;4344.0;53184.0;;;1997.0;1355.0;3588.0;888.0;61700.0;1.0;61701.0;;1355.0;121.0;303.0;3.0;438.0;;;;5000.0;-404.0;-139.0;;;;169.0;;;-33.0;-1451.0;;-118.0;3766.0;3435.0;;0.08;28.55;12.83;15.88;13.74;1.31;74.12;1357.0;1.1;0.1;97.2;38755.0;;1550.0;17414.0;18.3;44.9;411519.0;54703.0;100598.0;4.8;5.4;17.3;-7.1;88.5;0.078
2013.0;2883.0;;2922.0;;1151.0;1095.0;1357.0;40219.0;65777.0;4005.0;58683.0;7094.0;418.0;-34.0;-300.0;98.0;247.0;;;1750.0;;1319.0;1265.0;54.0;431.0;;4247.0;1498.0;124.0;101.37;;-515.0;39.93;205.0;37.98;1.18;1.18;1357.0;;3810.0;4718.0;8527.0;667.0;;31025.0;366.0;133.0;155.0;288.0;24905.0;;;25558.0;91336.0;2200.0;1746.0;61.0;59.0;;5363.0;59.0;5.0;;5427.0;60105.0;;;1967.0;1095.0;3156.0;875.0;65777.0;1.0;65777.0;;1095.0;124.0;205.0;18.0;-73.0;;;;1858.0;-950.0;-171.0;135.0;;;-69.0;;9.0;9.0;-1599.0;1281.0;17.0;3810.0;3711.0;;0.08;27.7;10.52;2.37;15.36;1.64;68.16;1357.0;1.4;0.1;103.7;37594.0;;1620.0;14279.0;17.8;38.0;472274.0;69942.0;92509.0;3.7;4.3;15.4;-46.0;640.6;0.077
2014.0;2756.0;;2631.0;;1141.0;901.0;1355.0;41839.0;64390.0;3731.0;57457.0;6932.0;372.0;-169.0;-252.0;145.0;202.0;;;1622.0;;1253.0;1209.0;44.0;369.0;;3240.0;1376.0;114.0;95.46;;-30.0;41.39;240.0;32.68;0.7;0.7;1355.0;;3513.0;5634.0;9147.0;477.0;;32215.0;357.0;118.0;159.0;276.0;21918.0;;;22551.0;86941.0;1662.0;2070.0;2.0;;;4963.0;34.0;4.0;;5000.0;58726.0;;;1739.0;901.0;3519.0;774.0;64389.0;1.0;64390.0;;901.0;114.0;240.0;19.0;-443.0;;;;5521.0;-459.0;-170.0;;;;-82.0;;;-16.0;-235.0;;197.0;3513.0;3367.0;;0.07;30.01;9.81;2.2;2.56;1.85;75.49;1355.0;1.3;0.1;20.5;40662.0;;1682.0;13288.0;21.0;32.7;562220.0;73217.0;102277.0;3.3;3.9;13.0;73.9;124.9;0.068
2015.0;2546.0;;2405.0;;1064.0;815.0;1357.0;40516.0;68410.0;4526.0;62031.0;6378.0;696.0;-171.0;-395.0;463.0;525.0;;;1494.0;;1151.0;1109.0;42.0;343.0;;3135.0;1232.0;108.0;94.46;;8.0;41.81;250.0;32.0;0.61;0.6;1356.0;;3478.0;6609.0;10087.0;135.0;;30294.0;323.0;101.0;183.0;284.0;27287.0;;;27894.0;96304.0;2418.0;2108.0;37.0;;;5678.0;20.0;2.0;;5700.0;63205.0;;;1493.0;815.0;3407.0;664.0;68409.0;1.0;68410.0;;815.0;108.0;250.0;13.0;-87.0;;;;3601.0;-402.0;-172.0;;;;-102.0;;;-2.0;-393.0;;333.0;3478.0;3015.0;;0.06;32.28;10.33;6.65;4.99;2.18;80.89;1356.0;0.9;0.0;52.8;43763.0;;1864.0;14003.0;23.5;32.0;618704.0;97614.0;109649.0;2.8;3.4;12.8;51.7;75.3;0.058
2016.0;2461.0;;2516.0;;1055.0;796.0;1357.0;38586.0;65144.0;5604.0;59971.0;5173.0;1390.0;-149.0;-346.0;910.0;1241.0;;;1411.0;;1040.0;996.0;43.0;371.0;;3168.0;1362.0;99.0;102.22;;60.0;42.85;259.0;32.33;0.56;0.56;1356.0;;3793.0;7447.0;11240.0;301.0;;27044.0;275.0;84.0;195.0;278.0;26006.0;;;26558.0;91702.0;3564.0;2040.0;2.0;;;5555.0;30.0;3.0;;5587.0;59954.0;;;1237.0;796.0;2589.0;550.0;65143.0;1.0;65144.0;;796.0;99.0;259.0;6.0;674.0;;;;3399.0;-444.0;-149.0;;;;-96.0;;2.0;;-842.0;494.0;392.0;3793.0;2883.0;;0.05;37.65;12.17;18.98;12.88;2.28;79.12;1356.0;0.7;0.0;150.5;51041.0;;2058.0;16504.0;24.5;32.3;683973.0;115193.0;107275.0;3.1;3.7;15.4;-5.8;67.7;0.048
2017.0;2843.0;;3503.0;;1230.0;950.0;1357.0;39817.0;67616.0;;61745.0;5869.0;-365.0;-230.0;-486.0;-1067.0;-595.0;;;1617.0;;1208.0;1159.0;49.0;409.0;;4985.0;2145.0;129.0;123.24;;;43.26;280.0;33.43;0.7;0.7;1355.0;;2935.0;8431.0;11366.0;237.0;;28214.0;331.0;88.0;266.0;354.0;27115.0;;;27799.0;95415.0;;;1.0;;;6190.0;;3.0;;6192.0;67937.0;;;411.0;950.0;3645.0;863.0;67614.0;1.0;67616.0;;950.0;129.0;280.0;14.0;-1494.0;;;;-1007.0;-243.0;-230.0;;;;-138.0;;;;-453.0;-32.0;;2935.0;4002.0;;0.05;41.22;13.78;-8.63;6.57;3.34;85.12;1355.0;0.6;0.0;74.0;55879.0;;2533.0;18678.0;22.7;33.4;782716.0;121677.0;115381.0;3.9;5.0;16.2;52.3;-76.2;0.051
2018.0;4079.0;;4038.0;;1263.0;985.0;1357.0;41191.0;71676.0;;65403.0;6271.0;791.0;-272.0;-673.0;-121.0;472.0;;;1861.0;;1365.0;1320.0;45.0;496.0;;5779.0;2625.0;151.0;99.02;;;30.96;278.0;24.14;0.73;0.73;1355.0;;2813.0;7887.0;10700.0;281.0;;30210.0;443.0;88.0;321.0;409.0;29632.0;;;30484.0;102160.0;;;5.0;;;6896.0;;4.0;;6901.0;72304.0;;;1306.0;985.0;3981.0;;71674.0;2.0;71676.0;;985.0;151.0;278.0;20.0;-262.0;;;;-159.0;-380.0;-319.0;47.0;;;-151.0;-1232.0;;-22.0;-562.0;1144.0;;2814.0;2935.0;;0.05;59.15;14.28;6.85;8.15;4.63;90.95;1355.0;0.5;0.0;113.1;80161.0;;2973.0;19353.0;22.0;24.1;809580.0;135540.0;123255.0;4.2;5.4;15.7;42.9;123.7;0.051
2019.0;3591.0;;4783.0;;1441.0;1076.0;1357.0;49055.0;77487.0;;70369.0;7115.0;1820.0;-634.0;-655.0;523.0;1186.0;;;2133.0;;1429.0;1378.0;51.0;704.0;;6559.0;3066.0;276.0;133.21;;;40.13;365.0;29.97;0.79;0.79;1355.0;;3441.0;12361.0;15802.0;372.0;;32881.0;853.0;92.0;375.0;466.0;27112.0;;;28431.0;105918.0;;;11.0;;;7994.0;;6.0;;7999.0;78369.0;313.0;;1355.0;1076.0;4684.0;;77484.0;2.0;77487.0;;1076.0;276.0;365.0;13.0;468.0;;;;-628.0;-377.0;-634.0;;;;-171.0;-96.0;;-12.0;-543.0;-4.0;;3443.0;2920.0;;0.05;50.18;15.04;16.58;7.6;8.86;99.45;1355.0;0.5;0.0;108.4;68002.0;;5222.0;20381.0;25.3;30.0;929074.0;151397.0;134758.0;4.3;5.8;15.1;49.5;46.8;0.053
