;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (EUR/USD)
1990.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;13.0;;;;;;;;;;;;50.0;0.0;0.0;;;;0.0;0.0;;;;-50.0;-50.0;;-50.0;;-50.0;-0.01;-0.01;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;0.0;0.0;-0.0;-0.0;-0.0;-0.0;13.0;;;;;;;;;;;0.0;50.0;1.0;0.0;0.0;0.0;;;1.0;;;;-150.0;-150.0;;-150.0;-0.0;-100.0;-0.02;-0.02;13.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;2.0;1.0;-0.0;-0.0;-0.0;-0.0;0.0;;;;;;-1.0;-0.0;2.0;0.0;-2.0;1.0;38.46;1.0;1.0;0.0;0.0;;-0.0;2.0;;;0.0;-14.62;-15.38;;-15.38;;-15.38;-1.2;-1.2;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.0;0.0;-0.0;;-1.0;;;;;0.0;-0.0;;;;;;;0.0;;1.0;;45.0;44.0;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;7.0;2.0;-0.0;;;-1.0;0.0;8.0;9.0;3.0;8.0;1.0;-4.0;-1.0;6.0;-0.0;-4.0;5.0;28.81;2.0;1.0;1.0;1.0;;0.0;7.0;;;0.0;-6.27;;;;0.0;-8.47;-1.39;-1.39;0.0;;0.0;;0.0;4.0;2.0;2.0;0.0;;;;;;1.0;1.0;;1.0;1.0;;;1.0;5.0;;;0.0;5.0;;;;1.0;-2.0;;2.0;9.0;;9.0;;-1.0;0.0;0.0;;-2.0;;;;;-1.0;-0.0;;;;-1.0;;;3.0;;3.0;;-0.0;;;1.11;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;10.0;3.0;-0.0;1.0;1.0;-0.0;0.0;6.0;7.0;2.0;6.0;1.0;3.0;-2.0;-1.0;0.0;3.0;7.0;30.59;2.0;0.0;2.0;2.0;;-0.0;9.0;;;0.0;-1.18;9.41;-0.0;8.24;;-2.35;-0.61;-0.61;0.0;;0.0;;0.0;4.0;1.0;1.0;0.0;;;;0.0;;0.0;1.0;;1.0;;;;1.0;4.0;;;0.0;4.0;;;;1.0;-2.0;-0.0;2.0;7.0;-0.0;7.0;;-0.0;0.0;0.0;;1.0;1.0;1.0;;;3.0;-0.0;;;;-2.0;;;;;-1.0;-0.0;1.0;0.0;;1.23;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;14.0;5.0;1.0;1.0;0.0;0.0;0.0;15.0;17.0;4.0;5.0;12.0;-2.0;-2.0;7.0;7.0;-2.0;9.0;34.78;3.0;;;;;3.0;12.0;;;0.0;5.07;10.14;-1.0;2.17;0.0;0.72;0.1;0.1;0.0;;4.0;;4.0;9.0;1.0;1.0;0.0;;1.0;1.0;;;1.0;2.0;;3.0;0.0;;;1.0;1.0;;;;1.0;;;;;-2.0;-0.0;14.0;17.0;;17.0;;0.0;0.0;0.0;;-3.0;;0.0;;;1.0;-0.0;;;0.0;-2.0;;7.0;;;0.0;;;0.0;;1.28;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;17.0;4.0;-9.0;-6.0;-10.0;-10.0;1.0;10.0;12.0;10.0;10.0;2.0;-4.0;1.0;1.0;1.0;-4.0;13.0;21.08;9.0;2.0;;;;8.0;23.0;;;0.0;-56.02;-34.94;-4.0;-58.43;0.0;-60.84;-14.81;-14.81;1.0;;2.0;;2.0;6.0;3.0;;1.0;;1.0;1.0;;;1.0;2.0;;4.0;2.0;;;3.0;0.0;;;0.0;1.0;;;;;-12.0;-0.0;14.0;12.0;;12.0;;-10.0;0.0;0.0;;5.0;;-2.0;;;1.0;-0.0;;;0.0;0.0;;;;;1.0;;;4.0;;1.25;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;22.0;11.0;1.0;1.0;1.0;0.0;1.0;11.0;14.0;6.0;8.0;6.0;-2.0;-1.0;3.0;3.0;-4.0;11.0;51.82;10.0;2.0;;;;9.0;21.0;;;1.0;5.91;4.09;-0.0;2.73;0.0;2.27;0.7;0.7;1.0;;1.0;;1.0;8.0;2.0;;2.0;;0.0;0.0;;;1.0;3.0;;3.0;1.0;;;2.0;1.0;;;0.0;1.0;;;;;-11.0;-1.0;18.0;14.0;;14.0;;0.0;1.0;;;-3.0;;0.0;;;0.0;-1.0;;;;0.0;;3.0;;;-0.0;;;2.0;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;36.0;18.0;3.0;2.0;2.0;1.0;1.0;18.0;22.0;12.0;14.0;7.0;3.0;-4.0;2.0;2.0;0.0;18.0;50.55;16.0;4.0;;;;12.0;34.0;;;1.0;7.42;6.59;-1.0;4.95;0.0;4.12;1.3;1.3;1.0;;2.0;;2.0;12.0;4.0;0.0;3.0;;0.0;0.0;;;1.0;4.0;;6.0;3.0;;;3.0;1.0;;;1.0;2.0;;;;;-10.0;-1.0;18.0;22.0;;22.0;;1.0;1.0;;;-1.0;;-1.0;;;2.0;-2.0;;;;-1.0;;;;;2.0;;;1.0;;1.17;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;61.0;30.0;9.0;8.0;8.0;7.0;1.0;35.0;40.0;19.0;22.0;18.0;4.0;-1.0;4.0;7.0;2.0;31.0;49.46;22.0;5.0;;;;17.0;52.0;;;1.0;14.94;13.78;-0.0;13.13;1.0;11.82;6.41;5.61;1.0;;9.0;;9.0;15.0;11.0;;3.0;;0.0;0.0;;;2.0;4.0;;8.0;4.0;;;7.0;2.0;;;1.0;3.0;;;;3.0;-3.0;-1.0;19.0;40.0;;40.0;;7.0;1.0;-1.0;;-4.0;;-7.0;;;-0.0;-1.0;;;;0.0;;3.0;;;1.0;-0.0;9.0;2.0;;1.01;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;122.0;61.0;13.0;8.0;10.0;9.0;1.0;93.0;120.0;37.0;72.0;48.0;-10.0;-22.0;42.0;10.0;-14.0;61.0;50.01;50.0;15.0;;;;35.0;111.0;;;3.0;10.62;6.92;2.0;8.36;1.0;6.97;6.52;5.72;1.0;;19.0;;19.0;50.0;24.0;;7.0;;;;;21.0;0.0;28.0;;20.0;2.0;;;15.0;34.0;;;1.0;35.0;;;;4.0;6.0;-3.0;42.0;120.0;;120.0;;9.0;3.0;0.0;;-27.0;;-9.0;;;5.0;-3.0;-19.0;;;0.0;;12.0;;;30.0;-0.0;19.0;9.0;;0.94;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;121.0;45.0;-2.0;-4.0;-7.0;-7.0;1.0;81.0;112.0;38.0;71.0;41.0;-1.0;-8.0;2.0;-7.0;-10.0;76.0;36.93;45.0;10.0;;;;35.0;121.0;;;5.0;-1.72;-3.44;-3.0;-6.15;-0.0;-5.99;-4.91;-4.91;1.0;;13.0;;13.0;43.0;25.0;;13.0;;;;;;18.0;31.0;;20.0;7.0;;;11.0;32.0;;;1.0;33.0;66.0;;;4.0;-1.0;-6.0;45.0;112.0;;112.0;;-7.0;5.0;-1.0;;1.0;;-1.0;;;1.0;-9.0;0.0;;0.0;1.0;;0.0;;;2.0;-1.0;13.0;19.0;;0.89;;;;;;;;;;;;;;;;;;;;;;;;;
