;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno
1985.0;;;;;;4.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0.44;0.44;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;;;;;;2.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0.19;0.19;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;;;;;;7.0;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0.68;0.68;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;;;;;;10.0;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;0.67;0.67;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;53.0;;76.0;;16.0;12.0;16.0;;1099.0;;1004.0;95.0;11.0;-62.0;29.0;29.0;9.0;;;;;17.0;17.0;;;;104.0;58.0;2.0;142.21;;;29.64;4.0;21.58;0.74;0.74;16.0;;66.0;;66.0;11.0;;;20.0;;;;;;;;1099.0;;;;;;;;;;;1004.0;;;;63.0;;32.0;1099.0;;1099.0;;12.0;2.0;-0.0;;-6.0;;;;;3.0;-1.0;;-135.0;128.0;-55.0;;;;-5.0;34.0;;;86.0;;
1990.0;58.0;;79.0;;15.0;11.0;17.0;;1194.0;;1087.0;107.0;18.0;-32.0;13.0;13.0;17.0;;;;;17.0;17.0;;;;112.0;62.0;2.0;135.28;;;25.65;4.0;18.42;0.62;0.62;17.0;;71.0;;71.0;12.0;;;21.0;;;;;;;;1194.0;;;;;;;;;;;1087.0;;;;70.0;;37.0;1194.0;;1194.0;;11.0;2.0;-2.0;;-1.0;;;;;7.0;-1.0;;-108.0;123.0;-47.0;;;;-5.0;18.0;;;67.0;;
1991.0;61.0;;73.0;;18.0;13.0;17.0;;1189.0;;1077.0;113.0;20.0;9.0;-17.0;-17.0;18.0;;;;;18.0;18.0;;;;106.0;53.0;2.0;120.63;;;30.36;5.0;21.62;0.75;0.75;17.0;;78.0;;78.0;10.0;;;21.0;;;;;;;;1189.0;;;;;;;;;;;1077.0;;;;76.0;;37.0;1189.0;;1189.0;;13.0;2.0;-0.0;;1.0;;;;;5.0;-2.0;;-117.0;146.0;-20.0;;;;-7.0;-10.0;;;66.0;;
1992.0;67.0;;70.0;;23.0;16.0;20.0;;1548.0;;1398.0;150.0;20.0;-30.0;48.0;48.0;19.0;;;;;19.0;19.0;;;;102.0;45.0;3.0;104.02;;;33.83;7.0;23.55;0.8;0.8;20.0;;123.0;;123.0;11.0;;;26.0;;;;;;;;1548.0;;;;;;28.0;;;;28.0;1426.0;;;;92.0;;59.0;1548.0;;1548.0;;16.0;3.0;-1.0;;-1.0;;;;;3.0;-1.0;;-183.0;206.0;-52.0;;;;-10.0;58.0;;;85.0;;
1993.0;84.0;;81.0;;30.0;22.0;24.0;;1720.0;;1549.0;171.0;31.0;-51.0;-49.0;-49.0;29.0;;;;;22.0;22.0;;;;117.0;45.0;5.0;96.44;;;35.87;10.0;25.77;0.92;0.92;24.0;;61.0;;61.0;11.0;;;31.0;;;;;;;;1720.0;;;;;;32.0;;;;32.0;1581.0;;;;109.0;;62.0;1720.0;;1720.0;;22.0;5.0;-2.0;;5.0;;;;;2.0;-2.0;;-272.0;254.0;-33.0;;;;-11.0;-38.0;;;130.0;;
1994.0;89.0;;88.0;;38.0;25.0;24.0;;1788.0;1524.0;1608.0;180.0;35.0;-52.0;40.0;40.0;32.0;;;;;22.0;22.0;;;;121.0;44.0;6.0;98.87;;;42.94;13.0;28.14;1.04;1.04;24.0;;83.0;;83.0;11.0;;;31.0;;;;;;;;1788.0;;;;;1524.0;84.0;;;;84.0;;;;;121.0;;58.0;1788.0;;1788.0;;25.0;6.0;-1.0;;3.0;;;;;2.0;-2.0;;-124.0;191.0;-119.0;;;;-13.0;52.0;;;61.0;;
1995.0;94.0;;101.0;;43.0;28.0;24.0;;1815.0;;1614.0;201.0;36.0;23.0;-63.0;-63.0;34.0;;;;;22.0;22.0;;;;137.0;55.0;3.0;107.21;;;46.02;15.0;29.8;1.18;1.18;24.0;;79.0;;79.0;12.0;;;31.0;;;;;;;;1815.0;;;;;;34.0;;;;34.0;1648.0;;;;136.0;;66.0;1815.0;;1815.0;;28.0;3.0;-0.0;;3.0;;;;;2.0;-2.0;;-73.0;136.0;-39.0;-50.0;;;-10.0;-2.0;;;83.0;;
