;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (GBP/USD)
1985.0;;;;;1209.0;;1730.0;;93685.0;;88973.0;4711.0;;;;;;;;;;;;;;;;;;;;;inf;;;0.66;0.66;1730.0;;16114.0;;16114.0;;;;1790.0;;;;532.0;;;;93685.0;;;;;;;;;;;88973.0;;;;;;4711.0;93685.0;;93685.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;;;;;1363.0;;1730.0;;117073.0;;111329.0;5744.0;;;;;;;;;;;;;;;;;;;;;inf;;;0.87;0.87;1730.0;;21311.0;;21311.0;;;;2207.0;;;;437.0;;;;117073.0;;;;;;;;;;;111329.0;;;;;;5744.0;117073.0;;117073.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;;;;;696.0;;1730.0;;165756.0;;157647.0;8109.0;;;;;;;;;;;;;;;;;;;;;inf;;;0.32;0.32;1730.0;;30544.0;;30544.0;;;;3266.0;;;;581.0;;;;165756.0;;;;;;;;;;;157647.0;;;;;;8109.0;165756.0;;165756.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;;;;;2516.0;;1523.0;;189292.0;;178752.0;10540.0;;;;;;;;;;;;;;;;;;;;;inf;;;1.06;1.06;1523.0;;32399.0;;32399.0;;;;3243.0;;;;1140.0;;;;189292.0;;;;;;;;;;;178752.0;;;;;;10540.0;189292.0;;189292.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;;;;;1115.0;1115.0;2590.0;;205653.0;;194900.0;10754.0;;;;;;;;;;;;;;;;;;;;;inf;;inf;0.43;0.43;2590.0;;33680.0;;33680.0;;;;3645.0;;;;1236.0;;;;205653.0;;;;;;;;;;;194900.0;;;;;;10754.0;205653.0;;205653.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;;;;;1469.0;1469.0;2441.0;;260804.0;;248082.0;12722.0;;;;;;;;385.0;;;;;385.0;;;;385.0;;;;inf;;inf;0.6;0.6;2441.0;;45863.0;;45863.0;;;;4847.0;;;;1518.0;;;;260804.0;;;;;;;;;;;248082.0;;;;;;12722.0;260804.0;;260804.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;11878.0;;20608.0;;894.0;452.0;1708.0;;257684.0;;245920.0;11764.0;3416.0;-2151.0;-858.0;-858.0;2765.0;;;7997.0;;;;;7997.0;;26051.0;19296.0;418.0;173.5;;;7.52;442.0;3.8;0.07;0.07;1708.0;;44858.0;;44858.0;17212.0;;;4234.0;;;;;;;;257684.0;10213.0;;;;;;;;;;245920.0;;;;7726.0;;4038.0;257684.0;;257684.0;;452.0;418.0;;;-4599.0;;;;;7146.0;-651.0;;-2862.0;1478.0;-767.0;-24.0;;;-703.0;-131.0;;;42042.0;;1.87;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;10006.0;;12641.0;;-453.0;-517.0;1738.0;;224917.0;;210246.0;14671.0;-3902.0;-115.0;-1068.0;-1068.0;-4367.0;;;6549.0;;;;;6549.0;;18365.0;12735.0;359.0;126.33;;;-4.52;65.0;-5.17;-0.07;-0.07;1738.0;;35177.0;;35177.0;2089.0;;;3333.0;;;;;;;;224917.0;911.0;;;;;;;;;;210246.0;;;;5534.0;;9137.0;224917.0;;224917.0;;-517.0;359.0;;;-2780.0;;;;;-964.0;-465.0;;-2039.0;2029.0;-104.0;-9.0;;;-602.0;-457.0;1528.0;;20923.0;;1.51;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;11273.0;;11926.0;;879.0;462.0;1748.0;;245243.0;;236396.0;8848.0;9964.0;-3850.0;-454.0;-454.0;9579.0;;;7459.0;;164.0;;164.0;7295.0;;16376.0;10597.0;451.0;105.79;;;7.8;417.0;4.1;0.07;0.07;1748.0;;29575.0;;29575.0;2101.0;;;3009.0;;;;;;;;245243.0;1253.0;;;;;;;;;;236396.0;;;;3803.0;;5045.0;245243.0;;245243.0;;462.0;451.0;;;-103.0;;;;;9155.0;-386.0;;-6509.0;2959.0;-300.0;-761.0;;;-389.0;696.0;31.0;;19712.0;;1.48;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;11129.0;;13034.0;;2802.0;1849.0;1756.0;;254664.0;;244487.0;10177.0;14576.0;-508.0;-1414.0;-1414.0;14000.0;;;7270.0;;224.0;;224.0;7046.0;;15648.0;9868.0;364.0;117.12;;;25.18;953.0;16.61;0.26;0.26;1756.0;;43819.0;;43819.0;2128.0;;;3335.0;;;;;;;;254664.0;;;;;;;;;;;244487.0;;;;4775.0;;5402.0;254664.0;;254664.0;;1849.0;364.0;;;3930.0;;;;;8433.0;-576.0;;-7687.0;7009.0;169.0;-958.0;;;;-456.0;44.0;;26965.0;;1.57;;;;;;;;;;;;;;;;;;;;;;;;;
