;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (GBP/USD)
1985.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1986.0;2189.0;;1008.0;;938.0;613.0;740.0;1870.0;2762.0;856.0;1077.0;1685.0;;;;;;;;2189.0;173.0;;;;2016.0;2189.0;;11.0;64.0;46.05;;;42.83;320.0;27.99;0.83;0.83;740.0;;54.0;853.0;907.0;;423.0;541.0;821.0;;;;70.0;54.0;-54.0;892.0;;87.0;162.0;;;607.0;15.0;;8.0;198.0;221.0;;;;567.0;;;1118.0;2762.0;;2762.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987.0;2777.0;;1310.0;;1190.0;814.0;740.0;2643.0;3762.0;1134.0;1426.0;2336.0;;;;;;;;2777.0;238.0;;;;2540.0;2777.0;;18.0;88.0;47.16;;;42.85;391.0;29.29;1.1;1.1;740.0;;37.0;1455.0;1492.0;;459.0;692.0;1037.0;;;;81.0;37.0;-37.0;1118.0;;121.0;314.0;;;699.0;21.0;;45.0;227.0;292.0;;;;590.0;;;1745.0;3762.0;;3762.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1988.0;3523.0;;1593.0;;1423.0;994.0;740.0;3396.0;4905.0;1487.0;1820.0;3085.0;;;;;;;;3523.0;394.0;;;;3129.0;3523.0;;36.0;125.0;45.22;;;40.41;438.0;28.22;1.34;1.34;740.0;;68.0;1937.0;2005.0;;530.0;861.0;1418.0;;;;91.0;68.0;-68.0;1509.0;;163.0;431.0;;;893.0;21.0;;56.0;257.0;334.0;;;;633.0;;;2452.0;4905.0;;4905.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1989.0;3988.0;;1743.0;;1561.0;1068.0;745.0;3541.0;5384.0;1339.0;1794.0;3590.0;;;;;;;;3988.0;501.0;;;;3487.0;3988.0;;40.0;144.0;43.7;;;39.14;490.0;26.77;1.43;1.43;745.0;;892.0;1116.0;2008.0;;545.0;989.0;1744.0;;;;98.0;892.0;-892.0;1842.0;;175.0;220.0;;;944.0;50.0;;82.0;323.0;455.0;;;;577.0;;;3012.0;5384.0;;5384.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1990.0;5560.0;;2326.0;;2067.0;1411.0;1500.0;5009.0;7857.0;2459.0;2951.0;4906.0;;;;;;;;5560.0;735.0;;;;4825.0;5560.0;325.0;77.0;213.0;41.84;;;37.18;624.0;25.39;0.94;0.94;1500.0;;465.0;2319.0;2784.0;;729.0;1495.0;2818.0;;;;30.0;465.0;-465.0;2847.0;;234.0;743.0;;;1481.0;77.0;;145.0;269.0;491.0;;;;1307.0;;;3599.0;7857.0;;7857.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1991.0;5508.0;;2377.0;;2080.0;1429.0;1500.0;5894.0;9314.0;3287.0;3992.0;5322.0;997.0;-1380.0;767.0;370.0;15.0;;;5508.0;770.0;;;;4738.0;5508.0;392.0;122.0;245.0;43.16;;;37.77;582.0;25.93;0.95;0.95;1500.0;;55.0;3397.0;3452.0;;801.0;1641.0;3374.0;;;;28.0;55.0;-37.0;3420.0;;237.0;1412.0;;;1638.0;227.0;;229.0;250.0;705.0;;;;1216.0;;;4106.0;9314.0;;9314.0;;1429.0;245.0;;;-188.0;;-92.0;;;-488.0;-983.0;;;;-397.0;-3014.0;32.0;;;3749.0;-15.0;676.0;306.0;;1.62;;;;;;;;;;;;;;;;;;;;;;;;;
1992.0;7798.0;;3185.0;2450.0;2717.0;1967.0;1505.0;6300.0;10817.0;2985.0;3889.0;6928.0;1251.0;-708.0;-887.0;-208.0;120.0;;;5336.0;1133.0;;;;4204.0;5336.0;343.0;120.0;364.0;40.84;31.42;267.0;34.84;735.0;25.22;1.31;1.31;1505.0;;46.0;3284.0;3330.0;;904.0;2066.0;4457.0;;;;23.0;46.0;-8.0;4518.0;;308.0;697.0;;;1980.0;261.0;;341.0;303.0;904.0;;;;1434.0;;;5494.0;10817.0;;10817.0;;1967.0;364.0;;;-139.0;;-89.0;;;-940.0;-1131.0;;-11.0;;434.0;-2972.0;46.0;;;2039.0;137.0;586.0;794.0;;1.9;;;;;;;;;;;;;;;;;;;;;;;;;
1993.0;7342.0;;2903.0;2271.0;2495.0;1798.0;1511.0;6610.0;11107.0;3276.0;4172.0;6936.0;1381.0;-1278.0;143.0;198.0;475.0;;;5079.0;1101.0;;;;3978.0;5079.0;277.0;83.0;335.0;39.53;30.93;223.0;33.98;687.0;24.48;1.19;1.19;1511.0;;94.0;3625.0;3719.0;;886.0;2005.0;4407.0;;;;12.0;94.0;-15.0;4498.0;;265.0;889.0;;;2122.0;316.0;;287.0;292.0;895.0;;;;1129.0;;;5807.0;11107.0;;11107.0;;1798.0;335.0;;;6.0;;43.0;;;-758.0;-905.0;-4.0;-37.0;;-331.0;-2792.0;103.0;;;2833.0;-48.0;657.0;459.0;;1.49;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;8735.0;;3319.0;2806.0;2834.0;2006.0;1520.0;7178.0;12181.0;3290.0;4229.0;7952.0;1626.0;-2105.0;60.0;-391.0;738.0;;;5935.0;1325.0;;;;4610.0;5935.0;100.0;68.0;436.0;38.0;32.13;28.0;32.44;809.0;22.97;1.32;1.32;1520.0;;85.0;4182.0;4267.0;;888.0;2023.0;4917.0;;;;5.0;85.0;-5.0;5002.0;;290.0;618.0;;;2381.0;420.0;;201.0;318.0;939.0;;;;1177.0;;;6775.0;12181.0;;12181.0;;2006.0;436.0;;;77.0;;8.0;;;-893.0;-888.0;-3.0;-6.0;;-1208.0;-2548.0;79.0;;;2530.0;28.0;290.0;681.0;;1.54;;;;;;;;;;;;;;;;;;;;;;;;;
