;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (BRL/USD)
2006.0;10291.0;8259.0;3397.0;2988.0;715.0;480.0;1130.0;7216.0;57148.0;4772.0;20484.0;36320.0;4102.0;-1763.0;-1724.0;615.0;2663.0;2032.0;80.26;5825.0;;3064.0;3064.0;;2761.0;7857.0;886.0;1077.0;1575.0;33.01;29.03;-2273.0;6.95;266.0;4.67;0.38;0.38;1130.0;;2555.0;;2555.0;1870.0;243.0;2547.0;36369.0;;193.0;193.0;2799.0;917.0;9654.0;49932.0;;925.0;984.0;678.0;;2863.0;8353.0;;;7359.0;15712.0;;;;11345.0;;23495.0;1481.0;56805.0;343.0;57148.0;;480.0;1575.0;-287.0;;1330.0;-25.0;-37.0;438.0;945.0;1004.0;-1439.0;;-324.0;;;-1229.0;;;-191.0;-304.0;;2442.0;1827.0;;0.47;19.45;0.91;5.03;0.36;2.72;68.65;1130.0;;;;21984.0;29.0;3364.0;1026.0;37.2;4.7;5220.0;17844.0;77591.0;2.2;3.2;1.3;60.1;7.2;0.468
2007.0;13095.0;6417.0;2337.0;1832.0;1291.0;962.0;1130.0;10455.0;67741.0;6181.0;22384.0;44707.0;3711.0;-1288.0;-942.0;1481.0;1916.0;6678.0;49.0;4585.0;;;;;4585.0;11263.0;;;1143.0;17.84;13.99;-541.0;9.86;232.0;7.35;0.77;0.77;1130.0;;4548.0;;4548.0;2035.0;339.0;3533.0;41662.0;;264.0;264.0;3752.0;1413.0;10195.0;57286.0;;1288.0;857.0;1025.0;;4036.0;7407.0;;;8797.0;16203.0;;;;13616.0;;29166.0;1925.0;67091.0;650.0;67741.0;;962.0;1143.0;;;317.0;;;;;1290.0;-1794.0;;;;506.0;-728.0;;;;-214.0;;4548.0;3067.0;;0.56;20.62;1.51;3.02;;2.83;70.41;1130.0;;;;23308.0;14.0;2034.0;1712.0;18.0;7.3;7607.0;13184.0;79578.0;1.6;1.8;2.2;100.0;;0.562
2008.0;13060.0;9510.0;6791.0;2688.0;5186.0;3701.0;1133.0;11256.0;64961.0;10438.0;34484.0;30326.0;6596.0;;;2327.0;4370.0;3550.0;72.82;5885.0;;3357.0;3357.0;;2529.0;9435.0;897.0;;1611.0;52.0;20.58;2497.0;39.71;1479.0;28.34;3.96;3.96;1133.0;;5630.0;;5630.0;3541.0;331.0;1753.0;33971.0;;;;2873.0;;16861.0;53705.0;;832.0;1219.0;897.0;128.0;8259.0;14203.0;17.0;;9826.0;24046.0;;;;11300.0;6947.0;-703.0;12782.0;64810.0;151.0;64961.0;;3701.0;1611.0;-284.0;;1579.0;257.0;-52.0;1018.0;-579.0;-10.0;-2227.0;;-367.0;41.0;;-1060.0;;;-320.0;-336.0;;5630.0;3303.0;;0.43;26.68;7.56;8.93;0.65;4.55;61.96;1133.0;1.5;0.1;5.7;30231.0;20.6;3729.0;8567.0;28.5;28.3;1894.0;32877.0;70199.0;6.8;8.0;12.2;91.3;7.3;0.432
2009.0;14246.0;11549.0;1266.0;2667.0;-1442.0;-937.0;1138.0;16253.0;84339.0;7674.0;44296.0;39935.0;3477.0;;;1486.0;508.0;2697.0;81.07;9363.0;;1036.0;1036.0;;8327.0;12060.0;1127.0;1326.0;1995.0;8.89;18.72;-4108.0;-10.12;-1118.0;-6.58;0.09;0.09;1138.0;;4695.0;4396.0;9091.0;4085.0;496.0;2581.0;42703.0;;1057.0;1057.0;5819.0;2628.0;15878.0;68086.0;;2565.0;887.0;721.0;23.0;4198.0;16433.0;131.0;;20058.0;36622.0;;1003.0;;15006.0;8731.0;1425.0;14773.0;84232.0;108.0;84339.0;;-937.0;1995.0;-559.0;;-1861.0;776.0;-56.0;570.0;-2278.0;4840.0;-2969.0;-666.0;-666.0;780.0;-194.0;-1089.0;;;-650.0;680.0;2067.0;4695.0;3209.0;;0.57;21.83;-1.44;0.78;1.0;4.55;61.19;1138.0;-9.8;-0.1;7.1;24832.0;18.7;3477.0;-1633.0;77.5;-6.6;14954.0;28644.0;69610.0;-0.2;-0.9;-2.3;169.3;;0.574
2010.0;16117.0;12253.0;4171.0;2254.0;2438.0;1354.0;1354.0;19766.0;88508.0;11068.0;46013.0;42358.0;4605.0;;;363.0;620.0;3864.0;76.03;9999.0;;;;;9999.0;13862.0;27.0;1210.0;959.0;25.88;13.99;184.0;15.13;647.0;8.4;1.0;1.0;1354.0;;5555.0;4360.0;9915.0;3520.0;;6331.0;28126.0;;1364.0;1364.0;3310.0;2614.0;33327.0;68742.0;;;10.0;664.0;206.0;10852.0;85.0;560.0;;34301.0;34946.0;;;;15759.0;;98.0;26500.0;88372.0;136.0;88508.0;;1354.0;959.0;0.0;;579.0;168.0;;;-1485.0;1712.0;-3986.0;-539.0;;1906.0;-1680.0;-724.0;;;;-2158.0;;5555.0;5192.0;;0.6;19.76;1.66;0.76;;4.89;51.93;1354.0;8.6;0.4;;26749.0;14.0;1592.0;2248.0;26.6;8.4;14436.0;141.0;70304.0;3.1;3.6;3.2;100.0;;0.603
2011.0;15847.0;13180.0;4884.0;2223.0;2608.0;2003.0;1343.0;19673.0;87542.0;14019.0;46115.0;41234.0;2300.0;;;-2286.0;-2077.0;2667.0;83.17;10257.0;;7803.0;7803.0;;2454.0;12924.0;491.0;1529.0;925.0;30.82;14.03;385.0;16.46;427.0;12.64;1.49;1.49;1343.0;;2661.0;6143.0;8804.0;4497.0;209.0;6163.0;28555.0;;1272.0;1272.0;2766.0;3098.0;32177.0;67869.0;;;2690.0;554.0;;11329.0;21910.0;;;10187.0;32097.0;;1029.0;;16798.0;9965.0;114.0;14356.0;87350.0;193.0;87542.0;;2003.0;925.0;;;-1607.0;-141.0;-1.0;;-2.0;980.0;-4377.0;;-187.0;603.0;-1474.0;-1212.0;;;;-2165.0;-552.0;2661.0;4948.0;;0.54;21.99;2.78;-2.88;;6.07;57.21;1343.0;4.4;0.3;;29533.0;14.0;1724.0;3733.0;16.4;12.6;10538.0;40831.0;76844.0;4.5;4.5;4.9;100.0;;0.537
2012.0;16620.0;10729.0;-2480.0;814.0;-3570.0;-3356.0;1353.0;21635.0;84014.0;15052.0;51188.0;32730.0;6746.0;;;-259.0;1608.0;5891.0;64.56;9213.0;;4923.0;4923.0;;4290.0;15104.0;487.0;201.0;866.0;-14.92;4.9;-4383.0;-21.48;-191.0;-20.19;-2.48;-2.48;1353.0;;2161.0;3514.0;5675.0;5316.0;398.0;10246.0;23130.0;;1123.0;1123.0;24706.0;;13421.0;62379.0;;3655.0;2410.0;613.0;229.0;8758.0;23319.0;405.0;;12412.0;36136.0;;987.0;;15274.0;;17143.0;314.0;83918.0;96.0;84014.0;;-3356.0;866.0;;;2877.0;-23.0;-56.0;510.0;2101.0;6359.0;-5138.0;;;;-1427.0;-2028.0;;;-2455.0;324.0;;2161.0;2420.0;;0.49;25.17;-5.08;2.44;3.72;7.78;49.58;1353.0;-1.4;-0.1;51.0;34064.0;4.9;1775.0;-6879.0;5.3;-20.2;13493.0;47795.0;67084.0;-4.6;-4.0;-10.3;173.2;;0.488
2013.0;10090.0;4961.0;-1287.0;-2272.0;-2085.0;-2661.0;1352.0;16542.0;58579.0;10878.0;32889.0;25607.0;3949.0;;;464.0;2976.0;5129.0;49.17;8363.0;;4085.0;4085.0;;4278.0;13492.0;614.0;161.0;635.0;-12.75;-22.52;188.0;-20.66;579.0;-26.38;-1.97;-1.97;1352.0;;1523.0;3075.0;4598.0;4491.0;406.0;7048.0;12715.0;;334.0;334.0;17487.0;;11500.0;42036.0;;3277.0;919.0;362.0;217.0;6465.0;13953.0;329.0;;7729.0;22011.0;;878.0;;13252.0;1835.0;12143.0;-1622.0;58496.0;83.0;58579.0;;-2661.0;635.0;;;835.0;175.0;-75.0;1137.0;1183.0;5140.0;-973.0;-1505.0;-2950.0;;-974.0;-1050.0;;;-1774.0;229.0;-709.0;1523.0;1059.0;;0.42;17.62;-4.65;5.2;3.1;1.7;44.73;1352.0;-0.6;-0.0;111.0;23836.0;-22.5;1501.0;-6287.0;-27.8;-26.4;13382.0;32963.0;60494.0;-5.2;-3.3;-10.4;166.6;;0.423
2014.0;11338.0;5195.0;-929.0;-1446.0;-1677.0;-2342.0;1354.0;11493.0;54352.0;7255.0;34168.0;20068.0;1953.0;;;-824.0;855.0;6142.0;45.82;8219.0;;3338.0;3338.0;;4881.0;14361.0;525.0;105.0;669.0;-8.19;-12.75;-231.0;-14.79;640.0;-20.66;-0.84;-0.84;1354.0;;529.0;2697.0;3226.0;4259.0;321.0;3688.0;11702.0;;514.0;514.0;18499.0;;12145.0;42859.0;;2817.0;2025.0;446.0;189.0;2224.0;13830.0;270.0;;12813.0;26913.0;;499.0;;11777.0;-1202.0;9477.0;16.0;54236.0;116.0;54352.0;;-2342.0;669.0;;;1590.0;-166.0;-7.0;2885.0;-2860.0;2037.0;-1098.0;-1409.0;;;-1495.0;-1218.0;;;-307.0;-39.0;;529.0;1353.0;;0.38;22.26;-4.6;1.68;0.6;2.16;39.41;1354.0;-0.6;-0.0;22.0;30138.0;-12.8;1777.0;-6226.0;-38.2;-20.7;11267.0;36763.0;53344.0;-4.7;-2.9;-11.7;113.1;;0.376
2015.0;8225.0;3937.0;-2165.0;-2534.0;-2829.0;-2879.0;1353.0;7430.0;37730.0;7092.0;27236.0;10584.0;1762.0;;;-3.0;620.0;4289.0;47.86;9341.0;;2485.0;2485.0;;6856.0;13630.0;464.0;69.0;465.0;-26.32;-30.81;-295.0;-34.39;179.0;-35.0;-2.69;-2.69;1353.0;;352.0;1971.0;2323.0;2480.0;261.0;2366.0;7441.0;;236.0;236.0;12740.0;;9884.0;30300.0;;2556.0;1205.0;540.0;164.0;3168.0;11097.0;166.0;;8880.0;20143.0;;316.0;;7901.0;-3115.0;5787.0;10.0;37820.0;-89.0;37730.0;;-2879.0;465.0;;;724.0;33.0;-25.0;781.0;-18.0;3451.0;-1142.0;-614.0;;;-519.0;-1358.0;;;-6.0;-30.0;218.0;352.0;355.0;;0.25;24.09;-8.43;1.82;0.02;3.34;30.99;1353.0;-0.2;-0.0;1.0;32589.0;-30.8;1843.0;-11405.0;-6.3;-35.0;1338.0;43964.0;41933.0;-9.1;-7.0;-27.2;100.2;;0.252
