;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno
1993.0;42.0;14.0;3.0;2.0;2.0;1.0;36.0;3.0;18.0;7.0;15.0;3.0;3.0;-1.0;-2.0;;2.0;28.0;33.18;12.0;;8.0;;;4.0;40.0;;;1.0;7.11;5.69;;5.69;1.0;3.08;0.04;0.04;36.0;;1.0;;1.0;1.0;;1.0;10.0;;2.0;2.0;;;4.0;16.0;;2.0;;;;5.0;8.0;;0.0;0.0;8.0;;;;;3.0;-5.0;5.0;18.0;;18.0;;1.0;1.0;0.0;;0.0;;;;-5.0;0.0;-0.0;;;;-0.0;;;;;-2.0;;;1.0;;
1994.0;46.0;16.0;5.0;5.0;4.0;3.0;51.0;7.0;22.0;5.0;6.0;16.0;4.0;1.0;-0.0;;1.0;30.0;35.22;12.0;;11.0;;;1.0;41.0;;;1.0;10.65;10.22;-1.0;8.91;1.0;6.09;0.06;0.06;51.0;;6.0;;6.0;1.0;;0.0;13.0;;2.0;2.0;;;0.0;15.0;;1.0;;;;4.0;0.0;;1.0;;1.0;;;;;3.0;-6.0;19.0;22.0;;22.0;;3.0;1.0;1.0;;7.0;;;;2.0;-6.0;-3.0;;;;4.0;;13.0;;;-13.0;;;1.0;;
1995.0;58.0;22.0;9.0;8.0;9.0;5.0;51.0;10.0;28.0;6.0;7.0;21.0;6.0;-4.0;0.0;;2.0;36.0;37.78;14.0;;13.0;;;1.0;50.0;;;1.0;16.29;14.21;0.0;14.73;4.0;8.67;0.1;0.1;51.0;;8.0;;8.0;2.0;;1.0;16.0;;2.0;2.0;;;0.0;18.0;;1.0;;;;4.0;0.0;;1.0;;1.0;;;;;8.0;-7.0;20.0;28.0;;28.0;;5.0;1.0;;;2.0;;;;4.0;-2.0;-4.0;;;;;;0.0;;;-0.0;;;6.0;;
1996.0;63.0;25.0;11.0;9.0;9.0;6.0;56.0;12.0;97.0;12.0;69.0;28.0;8.0;-56.0;46.0;;-46.0;38.0;39.17;15.0;;14.0;14.0;;1.0;54.0;;;1.0;17.04;14.65;0.0;14.81;4.0;8.76;0.1;0.1;56.0;;6.0;;6.0;4.0;;2.0;59.0;;22.0;22.0;;;5.0;85.0;;5.0;2.0;;;5.0;46.0;;11.0;-0.0;57.0;;;;;13.0;-8.0;23.0;97.0;;97.0;;6.0;1.0;0.0;;-5.0;;;;-1.0;5.0;-54.0;;;;-2.0;;2.0;;;44.0;;;8.0;;
1997.0;112.0;44.0;9.0;12.0;6.0;2.0;62.0;29.0;159.0;14.0;105.0;54.0;11.0;-48.0;53.0;;-37.0;68.0;39.28;32.0;;16.0;16.0;;15.0;99.0;;;4.0;7.71;10.94;-6.0;5.47;2.0;2.06;0.04;0.04;60.0;;22.0;;22.0;2.0;;5.0;103.0;;23.0;23.0;;;4.0;130.0;;7.0;0.0;;;6.0;80.0;;11.0;;91.0;;;;;16.0;-11.0;49.0;159.0;;159.0;;2.0;4.0;-0.0;;16.0;;;;15.0;-11.0;-47.0;;;;-0.0;;24.0;;;30.0;;;6.0;;
1998.0;154.0;68.0;18.0;20.0;12.0;8.0;61.0;14.0;161.0;12.0;102.0;59.0;12.0;-22.0;-5.0;;-10.0;86.0;44.39;49.0;;19.0;19.0;;30.0;135.0;;;6.0;11.49;12.72;-8.0;7.79;5.0;4.87;0.13;0.12;60.0;;7.0;;7.0;4.0;;4.0;121.0;;22.0;22.0;;;4.0;147.0;;6.0;0.0;;;6.0;78.0;;12.0;;90.0;;;;;23.0;-16.0;52.0;161.0;;161.0;;8.0;6.0;0.0;;-13.0;;;;2.0;12.0;-22.0;;;;;;0.0;-2.0;;-2.0;;;22.0;;
1999.0;172.0;80.0;19.0;21.0;11.0;7.0;61.0;18.0;191.0;25.0;124.0;66.0;23.0;-30.0;10.0;3.0;9.0;92.0;46.53;59.0;;20.0;20.0;;39.0;150.0;;;9.0;11.2;12.36;-11.0;6.12;4.0;3.91;0.11;0.11;59.0;;9.0;;9.0;5.0;;4.0;127.0;;22.0;22.0;;;24.0;173.0;;10.0;5.0;;;10.0;86.0;;13.0;-0.0;99.0;;;;0.0;30.0;-21.0;57.0;191.0;;191.0;;7.0;9.0;1.0;;-9.0;;;;-7.0;15.0;-13.0;;;;-17.0;;1.0;;;9.0;;9.0;7.0;;
2000.0;294.0;104.0;36.0;46.0;29.0;12.0;62.0;41.0;440.0;49.0;361.0;79.0;42.0;-230.0;202.0;14.0;15.0;190.0;35.43;58.0;;45.0;45.0;;14.0;248.0;;;14.0;12.15;15.6;-17.0;9.76;10.0;4.08;0.2;0.2;60.0;;23.0;;23.0;10.0;;7.0;288.0;;88.0;88.0;;;23.0;399.0;;18.0;11.0;;;19.0;298.0;;13.0;;311.0;;;;0.0;42.0;-32.0;69.0;440.0;;440.0;;12.0;14.0;1.0;;-1.0;;;;-8.0;16.0;-27.0;;;;-203.0;;1.0;;;201.0;;23.0;9.0;;
2001.0;519.0;205.0;71.0;78.0;36.0;24.0;64.0;70.0;679.0;92.0;576.0;103.0;86.0;-216.0;146.0;15.0;44.0;315.0;39.44;127.0;;95.0;95.0;;32.0;442.0;;;35.0;13.65;14.96;-41.0;7.0;13.0;4.57;0.39;0.37;61.0;;38.0;;38.0;19.0;;12.0;390.0;160.0;;160.0;;;59.0;609.0;;19.0;15.0;;;58.0;444.0;;40.0;;484.0;;;;0.0;66.0;-58.0;95.0;679.0;;679.0;;24.0;35.0;7.0;;-14.0;;;;-22.0;34.0;-42.0;;;;-175.0;;3.0;;;143.0;;38.0;23.0;;
2002.0;658.0;253.0;92.0;102.0;58.0;31.0;78.0;94.0;765.0;93.0;518.0;247.0;101.0;-102.0;18.0;17.0;12.0;405.0;38.41;150.0;;114.0;;;36.0;555.0;;;40.0;14.04;15.53;-44.0;8.78;22.0;4.69;0.41;0.4;76.0;;55.0;;55.0;19.0;;20.0;451.0;161.0;;161.0;;;60.0;671.0;;19.0;0.0;;;74.0;375.0;;50.0;;425.0;;;;0.0;97.0;-91.0;241.0;765.0;;765.0;;31.0;40.0;10.0;;23.0;;;;1.0;-4.0;-89.0;;;;-14.0;;107.0;;;-88.0;0.0;55.0;38.0;;
