;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CNY/USD)
1993.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1994.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;528.0;229.0;278.0;154.0;158.0;138.0;249.0;896.0;2545.0;349.0;1164.0;1381.0;-262.0;-281.0;123.0;123.0;-542.0;298.0;43.46;75.0;;;;;75.0;374.0;;45.0;75.0;52.72;29.2;4.0;29.88;19.0;26.21;0.55;0.55;249.0;;251.0;;251.0;220.0;44.0;382.0;1638.0;;;;;;11.0;1648.0;;60.0;235.0;;;54.0;815.0;;;0.0;815.0;;;;;153.0;-113.0;1341.0;2545.0;;2545.0;;138.0;75.0;;;-475.0;;-1.0;;;0.0;-281.0;;;;;;;;;123.0;;;670.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;555.0;238.0;288.0;162.0;179.0;153.0;251.0;1127.0;2941.0;410.0;1409.0;1532.0;-18.0;-244.0;215.0;215.0;-262.0;318.0;42.8;76.0;;;;;76.0;393.0;;33.0;76.0;51.81;29.15;17.0;32.25;26.0;27.52;0.61;0.61;251.0;;203.0;;203.0;340.0;65.0;519.0;1803.0;;;;;;10.0;1814.0;;71.0;264.0;;;75.0;999.0;;;0.0;999.0;;;;;277.0;-113.0;1367.0;2941.0;;2941.0;;153.0;76.0;;;-247.0;;-21.0;;;0.0;-244.0;;;;;;;;;215.0;;;251.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;774.0;290.0;362.0;163.0;235.0;191.0;259.0;914.0;4074.0;901.0;2352.0;1722.0;613.0;-786.0;140.0;140.0;-173.0;483.0;37.54;128.0;;;;;128.0;611.0;;;128.0;46.81;21.06;72.0;30.32;44.0;24.66;0.77;0.74;249.0;;170.0;;170.0;359.0;71.0;314.0;3146.0;;;;;;15.0;3160.0;;188.0;225.0;;;488.0;1451.0;;;;1451.0;;;;;432.0;-315.0;1605.0;4074.0;;4074.0;;191.0;128.0;;;295.0;;16.0;;;;-786.0;;;;;;;;;140.0;;;203.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;928.0;547.0;499.0;250.0;254.0;211.0;279.0;656.0;4379.0;471.0;2100.0;2278.0;685.0;-640.0;36.0;81.0;-57.0;381.0;58.95;297.0;;121.0;;;176.0;678.0;16.0;69.0;176.0;53.73;26.97;3.0;27.34;43.0;22.75;0.76;0.76;278.0;;251.0;;251.0;134.0;59.0;211.0;3710.0;;;;;;13.0;3723.0;;223.0;132.0;;;116.0;1610.0;;;19.0;1629.0;;;;649.0;605.0;-490.0;1515.0;4379.0;;4379.0;;211.0;176.0;;;297.0;;12.0;;;1.0;-741.0;;;;102.0;;129.0;;;-93.0;;251.0;170.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1204.0;713.0;534.0;342.0;259.0;214.0;298.0;673.0;4659.0;774.0;2218.0;2441.0;575.0;-302.0;-237.0;35.0;314.0;491.0;59.21;371.0;;95.0;;;275.0;862.0;;;275.0;44.35;28.41;-83.0;21.48;44.0;17.81;0.76;0.76;283.0;;430.0;;430.0;164.0;62.0;17.0;3972.0;;;;;;13.0;3985.0;;363.0;219.0;;;193.0;1413.0;;;31.0;1443.0;;;;649.0;669.0;-764.0;1888.0;4659.0;-0.0;4659.0;;214.0;275.0;;;55.0;;2.0;;;30.0;-261.0;;;67.0;-109.0;;;;-52.0;-185.0;;286.0;251.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;1439.0;754.0;751.0;448.0;336.0;288.0;298.0;1154.0;4869.0;811.0;2143.0;2726.0;647.0;-610.0;-95.0;-58.0;607.0;686.0;52.37;306.0;;;;;306.0;991.0;;108.0;308.0;52.21;31.12;-112.0;23.32;47.0;20.04;0.02;0.02;283.0;;228.0;7.0;235.0;820.0;65.0;34.0;3694.0;;;;;;21.0;3715.0;;312.0;345.0;;;154.0;1288.0;;;44.0;1332.0;;;;648.0;903.0;-1068.0;2244.0;4869.0;;4869.0;;288.0;308.0;;;-112.0;;-4.0;;;163.0;-40.0;-662.0;-7.0;110.0;-9.0;;;;-58.0;-37.0;;228.0;286.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;1813.0;1095.0;928.0;576.0;478.0;396.0;300.0;1236.0;5430.0;1024.0;2126.0;3305.0;680.0;-524.0;-134.0;21.0;350.0;718.0;60.38;519.0;;93.0;;;426.0;1237.0;13.0;100.0;350.0;51.18;31.75;-97.0;26.38;82.0;21.85;1.33;1.33;300.0;;250.0;0.0;250.0;189.0;83.0;715.0;4312.0;;;;;;-118.0;4194.0;;60.0;646.0;;;319.0;1099.0;;;2.0;1101.0;;;;689.0;1032.0;-1430.0;3014.0;5430.0;;5430.0;;396.0;350.0;;;-255.0;;-7.0;;;188.0;-330.0;300.0;-536.0;44.0;-3.0;;318.0;;-145.0;-307.0;;250.0;228.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;2232.0;1262.0;1062.0;674.0;592.0;474.0;392.0;928.0;5855.0;924.0;2070.0;3675.0;855.0;130.0;-885.0;100.0;663.0;970.0;56.55;588.0;;161.0;;;427.0;1558.0;10.0;68.0;402.0;47.59;30.19;-82.0;26.53;118.0;21.22;1.21;1.21;392.0;;363.0;138.0;501.0;315.0;112.0;2.0;4966.0;;-224.0;-224.0;;;184.0;4926.0;;57.0;358.0;;113.0;396.0;1128.0;;15.0;2.0;1146.0;;;;725.0;1256.0;413.0;1281.0;5745.0;110.0;5855.0;;474.0;402.0;;;-27.0;;-5.0;;;6.0;-193.0;-335.0;-31.0;614.0;74.0;;;;-234.0;-651.0;;363.0;263.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
