;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (JPY/USD)
2000.0;;;;;;;1765.0;;;;;;;;;;;;53.17;;;;;;;;;;;25.52;;;21.96;;12.96;;;1765.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;1765.0;;;;;;;;;;;;60.14;;;;;;;;;;;30.68;;;27.3;;15.24;;;1765.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;1765.0;;;;;;;;;;;;66.38;;;;;;;;;;;39.77;;;37.15;;23.45;;;1765.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;1767.0;;;;;;;;;;;;71.29;;;;;;;;;;;43.94;;;41.29;;25.98;;;1767.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;1773.0;;;;;;;;;;;;75.2;;;;;;;;;;;43.41;;;41.07;;26.26;;;1773.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;1773.0;;;;;;;;;;;;75.14;;;;;;;;;;;41.79;;;39.28;;24.71;;;1773.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;1772.0;;;;;;;;;;;;76.73;;;;;;;;;;;44.85;;;42.73;;25.84;;;1772.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;683.93;176.73;192.66;48.26;18.11;1324.98;1772.0;;;;1212207.0;;28728.0;313249.0;38.9;25.8;1883743.0;3473.0;2348429.0;12.3;16.9;13.3;72.7;25.0;
2007.0;;;;;;;1740.0;;;;;;;;;;;;78.57;;;;;;;;;;;49.86;;;47.92;;25.73;;;1740.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;750.13;193.0;103.53;56.76;16.75;1391.01;1740.0;;;;1305167.0;;28820.0;335805.0;45.7;25.7;1915306.0;2050.0;2420245.0;13.0;20.5;13.9;70.6;173.5;
2008.0;;;;;;;1697.0;;;;;;;;;;;;79.73;;;;;;;;;;;44.1;;;41.96;;25.85;;;1697.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;810.23;209.48;153.16;76.12;19.22;1344.17;1697.0;0.1;0.0;314.0;1374802.0;;31690.0;355454.0;37.9;25.9;1815081.0;1250.0;2280783.0;15.0;20.5;15.6;63.7;99.2;
2009.0;;;;;;;1618.0;;;;;;;;;;;;81.18;;;;;;;;;;;33.51;;;25.91;;15.24;;;1617.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;951.09;144.91;177.32;88.07;24.4;1243.59;1617.0;0.1;0.0;436.0;1538336.0;;118081.0;234385.0;40.5;15.2;1003478.0;16550.0;2011451.0;10.5;14.6;11.7;39.2;147.4;
