;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (DKK/USD)
2012.0;86.0;;-83.0;-21.0;-20.0;-86.0;460.0;292.0;299.0;209.0;232.0;68.0;13.0;-74.0;63.0;2.0;11.0;;;106.0;95.0;11.0;11.0;;;106.0;3.0;0.0;3.0;-97.38;-24.08;0.0;-23.54;-0.0;-100.51;-0.19;-0.19;460.0;;12.0;254.0;266.0;24.0;;2.0;5.0;;;;;1.0;2.0;7.0;;;1.0;;193.0;16.0;0.0;;;22.0;22.0;;1.0;;9.0;-969.0;14.0;1014.0;299.0;;299.0;;-86.0;3.0;;2.0;31.0;;;;36.0;63.0;-2.0;;-314.0;242.0;0.0;-1.0;65.0;;;-0.0;-0.0;14.0;12.0;;0.18;1.05;-1.06;0.13;;0.02;0.83;460.0;-0.8;-0.1;;485.0;-24.1;15.0;-487.0;2.3;-100.5;470.0;2.0;383.0;-93.4;-28.8;-127.1;100.0;;0.177
2013.0;122.0;;23.0;13.0;12.0;21.0;519.0;312.0;319.0;167.0;197.0;121.0;-24.0;12.0;28.0;16.0;-25.0;;;109.0;97.0;12.0;12.0;;;109.0;5.0;1.0;2.0;18.48;10.44;-1.0;9.86;-1.0;16.93;0.04;0.04;510.0;;31.0;256.0;287.0;25.0;;;4.0;;0.0;0.0;;1.0;1.0;7.0;;;0.0;;151.0;16.0;0.0;;;30.0;30.0;;0.0;;10.0;-986.0;14.0;1084.0;319.0;;319.0;;21.0;2.0;;2.0;-44.0;;;;-50.0;-4.0;-2.0;;-179.0;184.0;9.0;-1.0;;;;29.0;-0.0;31.0;15.0;;0.18;1.3;0.22;-0.27;;0.02;1.29;510.0;13.7;0.8;;664.0;10.4;12.0;112.0;-7.3;16.9;785.0;0.0;660.0;14.4;6.4;17.0;100.0;;0.184
2014.0;138.0;;51.0;43.0;48.0;49.0;573.0;450.0;466.0;107.0;135.0;330.0;22.0;-164.0;168.0;31.0;9.0;;;95.0;82.0;13.0;13.0;;;95.0;6.0;1.0;2.0;36.89;31.18;5.0;34.97;-1.0;35.43;0.09;0.09;563.0;;58.0;374.0;432.0;17.0;;;4.0;;10.0;10.0;;1.0;1.0;16.0;;;0.0;;89.0;17.0;0.0;;;29.0;29.0;;0.0;;9.0;-817.0;14.0;1125.0;466.0;;466.0;;49.0;2.0;;5.0;-36.0;;;;-44.0;2.0;-12.0;;-435.0;283.0;-10.0;-0.0;162.0;;;6.0;5.0;58.0;27.0;;0.16;1.51;0.54;0.1;;0.13;3.61;563.0;7.9;0.4;;850.0;31.2;12.0;301.0;-1.3;35.4;2110.0;0.0;2033.0;13.8;10.5;14.8;100.0;-1744.2;0.163
2015.0;165.0;;115.0;106.0;110.0;111.0;608.0;534.0;568.0;60.0;61.0;507.0;45.0;-70.0;94.0;75.0;26.0;;;59.0;71.0;13.0;13.0;;-26.0;59.0;5.0;0.0;5.0;69.68;64.46;4.0;66.86;-1.0;67.39;0.19;0.18;585.0;;127.0;381.0;508.0;25.0;;;4.0;;28.0;28.0;;1.0;1.0;34.0;;5.0;0.0;;41.0;14.0;;;;0.0;0.0;;0.0;;9.0;-615.0;14.0;1100.0;568.0;;568.0;;111.0;5.0;;5.0;-78.0;;;;-39.0;3.0;-20.0;;-302.0;252.0;-18.0;-0.0;0.0;;;93.0;6.0;127.0;52.0;;0.15;1.94;1.3;0.3;;0.23;5.96;585.0;6.8;0.3;;1133.0;64.5;32.0;764.0;-0.8;67.4;3253.0;;3487.0;21.9;19.4;21.9;100.0;-1.5;0.145
2016.0;257.0;;166.0;149.0;160.0;168.0;618.0;693.0;741.0;58.0;58.0;683.0;46.0;-144.0;13.0;-80.0;42.0;;;108.0;94.0;14.0;14.0;;;108.0;5.0;0.0;6.0;64.5;57.97;11.0;62.23;-8.0;65.36;0.28;0.27;599.0;;43.0;512.0;555.0;138.0;;;5.0;;26.0;26.0;;18.0;0.0;48.0;;3.0;;9.0;32.0;23.0;;;;;;;;;9.0;-440.0;15.0;1099.0;741.0;;741.0;;168.0;6.0;;8.0;-122.0;;;;-8.0;-13.0;-5.0;;-426.0;287.0;-3.0;-0.0;0.0;-17.0;;30.0;4.0;43.0;124.0;;0.14;3.03;1.98;0.49;;0.06;8.06;599.0;7.8;0.4;;1816.0;58.0;41.0;1187.0;-5.0;65.4;4486.0;;4827.0;24.6;21.6;24.6;100.0;39.8;0.141
2017.0;381.0;;183.0;217.0;171.0;178.0;621.0;976.0;1064.0;53.0;53.0;1010.0;256.0;-108.0;35.0;168.0;242.0;;;165.0;141.0;24.0;24.0;;;165.0;7.0;0.0;11.0;48.04;56.83;-45.0;44.97;-6.0;46.65;0.29;0.29;608.0;;217.0;657.0;874.0;103.0;;;18.0;;20.0;20.0;;48.0;1.0;88.0;;;;;24.0;28.0;;;;1.0;1.0;;;;10.0;-299.0;13.0;1286.0;1064.0;;1064.0;;178.0;11.0;;12.0;39.0;;;;-12.0;16.0;-14.0;;-552.0;458.0;;;0.0;;;34.0;-15.0;217.0;49.0;;0.16;3.89;1.81;2.47;;0.15;10.31;608.0;11.2;0.5;;2365.0;56.8;70.0;1104.0;-3.7;46.7;5732.0;;6272.0;17.6;16.2;17.6;100.0;-0.1;0.161
2018.0;465.0;;261.0;212.0;248.0;226.0;620.0;1142.0;1300.0;68.0;69.0;1231.0;156.0;-273.0;-11.0;-125.0;83.0;;;253.0;220.0;33.0;33.0;;;253.0;10.0;0.0;13.0;56.2;45.63;36.0;53.29;21.0;48.66;0.37;0.36;613.0;;82.0;856.0;938.0;204.0;;;25.0;;72.0;72.0;;59.0;1.0;158.0;;;;20.0;;68.0;;;;1.0;1.0;;;;9.0;-30.0;14.0;1238.0;1300.0;;1300.0;;226.0;13.0;;14.0;-97.0;;;;;-0.0;-73.0;;-541.0;341.0;-62.0;;0.0;-22.0;;12.0;3.0;82.0;207.0;;0.15;4.94;2.4;0.88;;0.78;13.08;613.0;8.6;0.3;;3025.0;45.6;88.0;1472.0;8.7;48.7;6990.0;;8014.0;18.4;19.1;18.4;100.0;27.1;0.154
2019.0;805.0;;452.0;396.0;429.0;325.0;636.0;2096.0;2273.0;141.0;165.0;2109.0;199.0;-298.0;549.0;453.0;182.0;;;409.0;358.0;51.0;51.0;;;409.0;52.0;2.0;21.0;56.13;49.16;33.0;53.28;104.0;40.37;0.52;0.51;630.0;;533.0;1114.0;1647.0;449.0;;;62.0;;71.0;71.0;22.0;21.0;2.0;178.0;;;4.0;11.0;;137.0;23.0;;;0.0;24.0;;27.0;;10.0;320.0;15.0;1764.0;2273.0;;2273.0;;325.0;21.0;;22.0;-183.0;;;;;14.0;-17.0;;-872.0;591.0;-5.0;-5.0;581.0;;;-27.0;2.0;533.0;80.0;;0.15;8.52;3.44;1.93;;0.18;22.31;630.0;5.5;0.2;;5366.0;49.2;139.0;2166.0;24.2;40.4;13023.0;155.0;14048.0;15.3;19.0;15.4;100.0;-318.8;0.15
2020.0;1659.0;;1013.0;1036.0;969.0;781.0;659.0;3084.0;3470.0;206.0;332.0;3138.0;1056.0;-386.0;12.0;608.0;1005.0;;;623.0;515.0;108.0;108.0;;;623.0;30.0;2.0;43.0;61.05;62.44;-67.0;58.39;188.0;47.06;1.2;1.18;652.0;;1191.0;1447.0;2639.0;445.0;;;121.0;;55.0;55.0;177.0;29.0;3.0;386.0;;;7.0;;4.0;194.0;45.0;80.0;;1.0;126.0;;52.0;;11.0;1166.0;9.0;1952.0;3470.0;;3470.0;;781.0;43.0;;33.0;162.0;;;;84.0;38.0;-50.0;;-2037.0;1702.0;;-7.0;;;;19.0;-73.0;1191.0;583.0;;0.16;15.51;7.3;9.4;;0.47;29.34;652.0;4.2;0.1;;10111.0;62.4;259.0;4758.0;19.4;47.1;17538.0;277.0;19121.0;24.0;28.0;24.9;100.0;;0.164
2021.0;1297.0;;649.0;461.0;609.0;460.0;660.0;3476.0;3765.0;240.0;372.0;3394.0;341.0;-147.0;-64.0;259.0;302.0;;;835.0;639.0;196.0;;;;835.0;30.0;2.0;38.0;50.04;35.58;148.0;46.96;149.0;35.46;0.7;0.7;656.0;;1370.0;1587.0;2957.0;520.0;;;149.0;;39.0;39.0;57.0;40.0;4.0;289.0;;;9.0;;4.0;226.0;56.0;74.0;;2.0;132.0;;65.0;;10.0;1532.0;12.0;1839.0;3765.0;;3765.0;;460.0;38.0;;47.0;-118.0;;;;;-87.0;-39.0;;-2388.0;2279.0;;-9.0;;-68.0;;13.0;130.0;1370.0;1110.0;;0.15;12.92;4.58;3.01;;0.38;33.82;656.0;8.9;0.3;;8482.0;35.6;248.0;3008.0;24.5;35.5;21168.0;363.0;22196.0;13.1;16.2;13.6;100.0;22.6;0.153
