;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ZAR/USD)
2008.0;1266.0;119.0;167.0;73.0;-39.0;-30.0;403.0;461.0;4697.0;769.0;1534.0;3164.0;235.0;-328.0;78.0;-17.0;-318.0;1147.0;9.38;62.0;;31.0;;;31.0;1209.0;4.0;9.0;123.0;13.16;5.75;-112.0;-3.07;65.0;-2.36;-0.08;-0.08;401.0;;53.0;;53.0;112.0;89.0;207.0;3522.0;276.0;6.0;282.0;;189.0;243.0;4237.0;;86.0;493.0;;;190.0;31.0;;571.0;163.0;765.0;;;;32.0;-418.0;-195.0;3745.0;4697.0;;4697.0;;-30.0;123.0;;;-34.0;;7.0;;;177.0;-554.0;18.0;-22.0;184.0;46.0;;12.0;;-1.0;67.0;-2.0;53.0;70.0;;0.13;24.73;-0.58;-6.22;0.02;10.82;61.82;401.0;-17.8;-0.8;0.2;9911.0;5.8;961.0;-234.0;-166.7;-2.4;-2413.0;242.0;24773.0;3.0;0.9;-0.9;103.3;;0.128
2009.0;1279.0;173.0;526.0;214.0;216.0;311.0;416.0;509.0;4931.0;224.0;1102.0;3829.0;254.0;94.0;-233.0;200.0;-89.0;1105.0;13.55;-9.0;;40.0;6.0;;-49.0;1064.0;;24.0;167.0;41.11;16.76;2.0;16.91;23.0;24.35;0.91;0.91;414.0;;253.0;;253.0;115.0;134.0;6.0;3619.0;280.0;8.0;288.0;262.0;222.0;31.0;4423.0;;189.0;33.0;;;2.0;14.0;;644.0;220.0;878.0;;;;4009.0;-108.0;-1610.0;1538.0;4931.0;;4931.0;;311.0;167.0;;13.0;-53.0;;-20.0;;;-184.0;-343.0;235.0;-4.0;;202.0;-428.0;194.0;;;;85.0;253.0;53.0;;0.13;23.89;5.82;-1.66;;6.42;71.53;414.0;1.8;0.0;;9889.0;16.8;1293.0;2408.0;10.6;24.4;2199.0;108.0;29613.0;6.8;7.3;8.1;100.0;218.0;0.129
2010.0;1492.0;106.0;233.0;22.0;24.0;-24.0;427.0;395.0;5150.0;231.0;1315.0;3834.0;210.0;-454.0;85.0;-152.0;-235.0;1385.0;7.12;113.0;;50.0;6.0;;63.0;1469.0;;32.0;181.0;15.65;1.48;2.0;1.61;44.0;-1.61;-0.06;-0.06;417.0;;101.0;;101.0;122.0;129.0;42.0;3881.0;283.0;7.0;290.0;280.0;246.0;57.0;4755.0;;185.0;27.0;;;19.0;129.0;;710.0;244.0;1084.0;;;;4034.0;-159.0;-1743.0;1703.0;5150.0;;5150.0;;-24.0;181.0;;20.0;-41.0;;-20.0;;;74.0;-446.0;-29.0;1.0;3.0;15.0;-57.0;3.0;;-29.0;168.0;6.0;101.0;253.0;;0.13;27.42;-0.44;-4.33;0.53;8.2;70.5;417.0;-23.7;-1.1;5.1;11447.0;1.5;1391.0;-185.0;183.3;-1.6;1253.0;992.0;29428.0;-0.9;1.0;-0.6;220.8;;0.13
2011.0;1788.0;117.0;313.0;4.0;14.0;86.0;429.0;447.0;5904.0;310.0;1436.0;4468.0;341.0;-383.0;29.0;1.0;-110.0;1671.0;6.57;114.0;;63.0;9.0;;51.0;1785.0;;41.0;255.0;17.52;0.22;10.0;0.79;-69.0;4.83;0.2;0.2;429.0;;102.0;;102.0;174.0;125.0;46.0;4626.0;318.0;3.0;321.0;306.0;171.0;33.0;5457.0;;259.0;49.0;;;2.0;182.0;;626.0;318.0;1126.0;;;;4050.0;-102.0;521.0;;5904.0;;5904.0;;86.0;255.0;;19.0;-14.0;;-20.0;;;-5.0;-452.0;45.0;-1.0;5.0;18.0;-81.0;6.0;;-30.0;135.0;13.0;102.0;101.0;;0.15;28.33;1.37;-1.75;0.48;7.16;70.77;429.0;9.6;0.6;3.6;12160.0;0.2;1734.0;587.0;-492.9;4.8;929.0;1236.0;30384.0;6.2;1.0;1.9;65.1;-21.8;0.147
2012.0;1953.0;392.0;618.0;276.0;250.0;341.0;432.0;677.0;5263.0;297.0;1111.0;4152.0;545.0;-371.0;-25.0;114.0;130.0;1561.0;20.07;118.0;;54.0;7.0;;64.0;1679.0;;37.0;256.0;31.64;14.13;-26.0;12.8;-16.0;17.46;0.79;0.79;431.0;;216.0;;216.0;166.0;121.0;174.0;4003.0;263.0;5.0;268.0;242.0;59.0;14.0;4586.0;;34.0;38.0;22.0;;225.0;183.0;;378.0;253.0;814.0;;;;4036.0;180.0;-64.0;;5263.0;;5263.0;;341.0;256.0;;12.0;-7.0;;-9.0;;;-57.0;-415.0;15.0;-6.0;28.0;3.0;-159.0;3.0;;-57.0;188.0;-35.0;216.0;102.0;;0.12;37.04;6.47;2.47;1.08;7.87;78.74;431.0;1.5;0.1;11.0;15956.0;14.1;2092.0;2786.0;-6.4;17.5;3105.0;1495.0;33922.0;7.8;6.9;8.2;83.3;41.5;0.122
2013.0;1802.0;-28.0;92.0;-195.0;-193.0;-226.0;433.0;481.0;4228.0;239.0;992.0;3237.0;328.0;-285.0;-5.0;-7.0;-102.0;1830.0;-1.55;145.0;;53.0;53.0;;92.0;1975.0;;29.0;220.0;5.1;-10.82;2.0;-10.7;69.0;-12.53;-0.53;-0.53;432.0;;209.0;;209.0;123.0;143.0;6.0;3286.0;216.0;4.0;220.0;16.0;10.0;216.0;3748.0;;58.0;28.0;5.0;;153.0;226.0;;303.0;224.0;753.0;;;;4033.0;-95.0;-702.0;;4228.0;;4228.0;;-226.0;220.0;;35.0;26.0;20.0;-24.0;30.0;;273.0;-430.0;130.0;-1.0;;15.0;-35.0;;;-50.0;80.0;-45.0;209.0;216.0;;0.1;41.44;-5.19;-2.34;1.15;9.88;74.42;432.0;-0.9;-0.1;25.1;17898.0;-10.8;2184.0;-2243.0;-35.8;-12.5;2402.0;2243.0;32142.0;-4.4;-3.0;-7.0;122.1;;0.101
2014.0;1511.0;-34.0;93.0;-146.0;-145.0;-118.0;435.0;417.0;3842.0;174.0;925.0;2917.0;218.0;-254.0;16.0;-37.0;-38.0;1545.0;-2.24;97.0;;42.0;42.0;;55.0;1642.0;;27.0;210.0;6.14;-9.64;1.0;-9.57;-27.0;-7.79;-0.27;-0.27;433.0;;172.0;;172.0;95.0;145.0;6.0;3108.0;80.0;4.0;84.0;;8.0;225.0;3425.0;;46.0;;4.0;;128.0;269.0;;252.0;229.0;751.0;;;;4024.0;-222.0;-885.0;;3842.0;;3842.0;;-118.0;210.0;;26.0;-10.0;18.0;-4.0;-24.0;;110.0;-256.0;;-2.0;5.0;-2.0;-44.0;;;;60.0;-17.0;172.0;208.0;;0.09;37.12;-2.89;-0.93;;6.3;71.66;433.0;-0.9;-0.1;;16079.0;-9.6;2239.0;-1252.0;18.6;-7.8;2590.0;2866.0;31044.0;-2.6;-3.1;-4.0;100.0;;0.094
2015.0;1358.0;-299.0;-195.0;-436.0;-439.0;-377.0;438.0;261.0;2995.0;138.0;778.0;2217.0;177.0;-255.0;15.0;-85.0;-72.0;1658.0;-22.03;63.0;;33.0;33.0;;30.0;1721.0;;22.0;222.0;-14.39;-32.12;-3.0;-32.34;-62.0;-27.74;-0.92;-0.92;434.0;;89.0;;89.0;59.0;107.0;6.0;2449.0;71.0;3.0;74.0;;;212.0;2734.0;;43.0;;4.0;;95.0;282.0;;158.0;200.0;640.0;;;;4066.0;-602.0;-1248.0;;2995.0;;2995.0;;-377.0;222.0;;18.0;-4.0;10.0;;-14.0;;318.0;-249.0;;;2.0;-9.0;-66.0;;;;81.0;-22.0;89.0;173.0;;0.08;38.07;-10.56;-2.01;;6.98;62.13;434.0;-0.1;-0.0;;16538.0;-32.1;2699.0;-4588.0;14.2;-27.7;1497.0;3435.0;26991.0;-12.5;-13.9;-17.0;100.0;;0.082
2016.0;1269.0;177.0;278.0;111.0;109.0;66.0;446.0;235.0;2525.0;139.0;603.0;1922.0;313.0;-181.0;-114.0;-3.0;145.0;1092.0;13.92;48.0;;28.0;28.0;;20.0;1141.0;;19.0;150.0;21.91;8.78;-2.0;8.62;43.0;5.22;0.15;0.15;436.0;;85.0;;85.0;42.0;79.0;28.0;2041.0;57.0;2.0;59.0;171.0;;19.0;2290.0;;24.0;20.0;7.0;;94.0;140.0;;165.0;161.0;465.0;;;;4052.0;-533.0;-1597.0;;2525.0;;2525.0;;66.0;150.0;;23.0;18.0;12.0;5.0;1.0;;56.0;-169.0;;;3.0;-15.0;-139.0;;;;24.0;-21.0;85.0;88.0;;0.07;42.9;2.24;4.89;;5.7;64.96;436.0;1.4;0.1;;18693.0;8.8;2203.0;976.0;39.4;5.2;1420.0;2056.0;28305.0;3.3;5.1;3.4;100.0;;0.068
2017.0;1411.0;-32.0;181.0;-81.0;-20.0;17.0;459.0;374.0;2955.0;292.0;729.0;2226.0;279.0;-248.0;-29.0;10.0;-6.0;1443.0;-2.26;124.0;;38.0;38.0;;86.0;1566.0;;17.0;184.0;12.85;-5.72;61.0;-1.41;-37.0;1.2;0.04;0.04;438.0;;95.0;;95.0;70.0;86.0;124.0;2284.0;45.0;1.0;46.0;4.0;;248.0;2582.0;;40.0;139.0;4.0;;113.0;23.0;;130.0;285.0;437.0;;;;4021.0;-545.0;-1250.0;;2955.0;;2955.0;;17.0;184.0;;29.0;-20.0;-30.0;2.0;8.0;;69.0;-285.0;33.0;;;4.0;-50.0;;;-33.0;54.0;8.0;95.0;85.0;;0.08;42.04;0.5;-0.18;0.98;8.49;66.32;438.0;4.1;0.2;47.6;18430.0;-5.7;2408.0;221.0;185.0;1.2;1067.0;299.0;29077.0;0.1;-0.1;0.8;-94.1;-550.0;0.077
2018.0;1591.0;-217.0;-114.0;-337.0;-341.0;-323.0;465.0;304.0;2875.0;264.0;1032.0;1844.0;304.0;-661.0;322.0;-44.0;-53.0;1808.0;-13.64;74.0;;63.0;63.0;;11.0;1883.0;21.0;26.0;201.0;-7.13;-21.15;-4.0;-21.4;-18.0;-20.27;-0.72;-0.72;446.0;;51.0;;51.0;77.0;128.0;48.0;2256.0;36.0;1.0;37.0;6.0;;272.0;2571.0;;43.0;54.0;6.0;;167.0;359.0;;83.0;326.0;768.0;;;;4134.0;-882.0;-1409.0;;2875.0;;2875.0;;-323.0;201.0;;28.0;-10.0;-8.0;-31.0;29.0;;408.0;-358.0;-301.0;;;-3.0;-313.0;79.0;;-12.0;568.0;-9.0;51.0;95.0;;0.07;49.01;-9.93;-1.64;0.37;11.02;56.78;446.0;-0.2;-0.0;20.2;21854.0;-21.1;2759.0;-4429.0;5.3;-20.3;552.0;4925.0;25317.0;-11.4;-10.9;-17.5;103.7;;0.073
2019.0;1910.0;-139.0;134.0;-180.0;-195.0;-185.0;533.0;311.0;2608.0;230.0;1002.0;1605.0;332.0;-340.0;27.0;20.0;-25.0;2049.0;-7.27;68.0;;52.0;52.0;;16.0;2117.0;17.0;41.0;288.0;7.0;-9.43;-15.0;-10.2;-10.0;-9.69;-0.35;-0.36;524.0;;70.0;;70.0;71.0;140.0;30.0;1970.0;37.0;1.0;38.0;8.0;;281.0;2297.0;;54.0;6.0;11.0;;169.0;414.0;;49.0;310.0;773.0;;;;2098.0;-831.0;339.0;;2608.0;;2608.0;;-185.0;288.0;;16.0;-0.0;2.0;-6.0;4.0;;213.0;-357.0;2.0;;;15.0;-96.0;15.0;;;108.0;2.0;70.0;50.0;;0.07;51.36;-4.98;-0.68;;9.61;43.16;524.0;-0.5;-0.0;;26912.0;-9.4;4054.0;-2607.0;5.1;-9.7;1143.0;5826.0;22614.0;-6.2;-5.9;-11.5;100.0;;0.071
2020.0;1687.0;193.0;2.0;-21.0;-34.0;-51.0;547.0;587.0;2579.0;436.0;1230.0;1349.0;273.0;-205.0;248.0;;;1495.0;11.41;116.0;;35.0;35.0;;81.0;1611.0;15.0;38.0;;0.13;-1.22;-14.0;-2.03;15.0;-3.0;-0.09;-0.1;535.0;;367.0;;367.0;75.0;140.0;5.0;1684.0;;1318.0;;9.0;;299.0;1992.0;;170.0;18.0;5.0;248.0;;431.0;;;;431.0;1224.0;8.0;;1900.0;-726.0;174.0;;2578.0;0.0;2579.0;;-51.0;;;;-32.0;;;;;355.0;208.0;3.0;200.0;;-201.0;49.0;;200.0;;-0.0;-6.0;;;;0.06;54.66;-1.64;;;-6.75;43.68;535.0;-2.7;-0.1;;29245.0;-1.2;;-878.0;-42.9;-3.0;2606.0;7463.0;23371.0;0.1;0.1;-3.8;100.0;;0.058
2021.0;2922.0;437.0;762.0;452.0;447.0;356.0;535.0;599.0;3417.0;389.0;1232.0;2182.0;643.0;-593.0;-301.0;-248.0;283.0;2485.0;14.96;104.0;;75.0;75.0;;29.0;2589.0;19.0;46.0;271.0;26.08;15.46;-5.0;15.29;88.0;12.19;0.73;0.73;535.0;;197.0;;197.0;107.0;178.0;117.0;2352.0;23.0;2.0;26.0;9.0;19.0;412.0;2818.0;;89.0;35.0;12.0;28.0;238.0;219.0;49.0;153.0;423.0;843.0;;18.0;;2306.0;-572.0;448.0;;3413.0;4.0;3417.0;;356.0;271.0;;;;;;;;15.0;-360.0;-233.0;;;0.0;-253.0;;;-48.0;-0.0;3.0;197.0;445.0;;0.07;78.01;9.51;7.55;1.28;9.61;58.24;535.0;0.4;0.0;30.5;41733.0;15.5;3877.0;5087.0;19.7;12.2;2998.0;3128.0;31160.0;13.0;14.4;16.3;86.6;16.9;0.07
