;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (MXN/USD)
2004.0;2632.0;1300.0;867.0;768.0;550.0;388.0;590.0;3058.0;6635.0;2129.0;4156.0;2490.0;697.0;-195.0;-209.0;336.0;515.0;1332.0;49.4;532.0;;346.0;148.0;198.0;186.0;1864.0;59.0;188.0;186.0;32.94;29.19;-218.0;20.89;105.0;14.73;0.53;0.53;590.0;;35.0;1459.0;1494.0;1117.0;60.0;387.0;1721.0;675.0;147.0;822.0;607.0;;427.0;3577.0;;192.0;302.0;140.0;1341.0;294.0;1701.0;;120.0;206.0;2027.0;;6.0;;859.0;2059.0;-230.0;-199.0;6646.0;-11.0;6635.0;;388.0;186.0;51.0;;-21.0;6.0;-10.0;-54.0;52.0;93.0;-182.0;;-21.0;3.0;6.0;;;-21.0;-358.0;170.0;;1494.0;1158.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;3056.0;1668.0;1076.0;1017.0;782.0;576.0;583.0;3160.0;7044.0;2102.0;4233.0;2730.0;1063.0;-362.0;-928.0;-228.0;649.0;1388.0;54.58;652.0;;424.0;173.0;251.0;228.0;2040.0;88.0;201.0;228.0;35.19;33.26;-235.0;25.57;71.0;18.86;1.1;1.1;583.0;;51.0;1339.0;1391.0;1361.0;60.0;348.0;1856.0;678.0;184.0;861.0;714.0;;452.0;3884.0;;278.0;39.0;99.0;1462.0;323.0;1818.0;236.0;16.0;61.0;2132.0;;119.0;;;1690.0;376.0;;6963.0;80.0;7044.0;;576.0;228.0;-74.0;;173.0;;4.0;70.0;384.0;160.0;-414.0;;-113.0;10.0;-1.0;-1041.0;;-83.0;-405.0;600.0;;1391.0;1618.0;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;3512.0;2014.0;1409.0;1273.0;1092.0;795.0;581.0;4399.0;7689.0;2310.0;4299.0;3243.0;1289.0;-787.0;-461.0;40.0;873.0;1499.0;57.34;741.0;;493.0;213.0;279.0;248.0;2239.0;101.0;179.0;248.0;40.12;36.25;-181.0;31.09;187.0;22.64;1.63;1.63;581.0;;63.0;2496.0;2559.0;1414.0;72.0;354.0;1942.0;202.0;221.0;424.0;529.0;;395.0;3290.0;;320.0;99.0;109.0;1564.0;327.0;1752.0;25.0;138.0;75.0;1989.0;;112.0;;;2343.0;261.0;;7542.0;147.0;7689.0;;795.0;248.0;115.0;22.0;-16.0;;-10.0;35.0;-171.0;124.0;-415.0;;-1532.0;642.0;409.0;-79.0;;-235.0;-104.0;-43.0;;1464.0;1424.0;;0.09;65.31;14.78;16.24;1.93;7.72;60.3;581.0;1.4;0.1;9.1;37932.0;36.2;2679.0;8586.0;17.1;22.6;22556.0;18916.0;35021.0;18.4;15.4;24.5;87.0;38.8;0.093
2007.0;3807.0;2147.0;1542.0;1326.0;1133.0;740.0;570.0;4766.0;9041.0;2334.0;5318.0;3393.0;1064.0;103.0;-181.0;998.0;402.0;1661.0;56.38;820.0;;525.0;225.0;300.0;295.0;2481.0;169.0;199.0;295.0;40.5;34.84;-194.0;29.76;307.0;19.45;1.07;1.07;570.0;;77.0;2424.0;2501.0;1839.0;76.0;349.0;2306.0;364.0;301.0;666.0;743.0;;561.0;4276.0;;408.0;54.0;63.0;1570.0;302.0;2333.0;244.0;117.0;290.0;2983.0;;104.0;;;2729.0;34.0;;8710.0;331.0;9041.0;;740.0;295.0;-33.0;13.0;-204.0;;-3.0;77.0;-43.0;252.0;-662.0;-181.0;-310.0;1188.0;-235.0;-155.0;;-353.0;-413.0;739.0;;2501.0;1503.0;;0.09;72.87;14.17;7.69;7.9;12.67;64.94;570.0;1.9;0.1;29.6;41562.0;34.8;3223.0;8082.0;27.1;19.4;26545.0;25469.0;37039.0;14.3;14.3;21.8;44.2;190.5;0.092
2008.0;3488.0;1920.0;1345.0;1100.0;894.0;567.0;561.0;4984.0;8931.0;2233.0;5496.0;3055.0;1618.0;-826.0;-137.0;665.0;1132.0;1567.0;55.07;821.0;;507.0;222.0;285.0;313.0;2388.0;94.0;205.0;313.0;38.55;31.53;-206.0;25.63;259.0;16.27;1.01;1.01;561.0;;2552.0;494.0;3046.0;1497.0;117.0;323.0;2239.0;457.0;769.0;1226.0;243.0;;238.0;3947.0;;461.0;176.0;60.0;;1596.0;2752.0;;165.0;347.0;3263.0;;95.0;;;2147.0;231.0;;8551.0;380.0;8931.0;;567.0;313.0;;16.0;-266.0;;-27.0;115.0;-92.0;987.0;-486.0;;-419.0;72.0;-102.0;-51.0;;-81.0;-162.0;157.0;10.0;2552.0;1888.0;;0.07;85.46;13.9;27.75;3.97;11.9;74.85;561.0;1.6;0.1;18.3;47972.0;31.5;4311.0;7804.0;29.0;16.3;37849.0;37853.0;42019.0;11.6;12.1;18.6;71.4;21.5;0.073
2009.0;4005.0;2187.0;1383.0;1160.0;742.0;460.0;559.0;5231.0;9682.0;2462.0;6280.0;2920.0;1158.0;-845.0;-585.0;-279.0;624.0;1818.0;54.6;1027.0;;650.0;293.0;357.0;377.0;2845.0;81.0;308.0;377.0;34.54;28.95;-417.0;18.53;239.0;11.47;0.82;0.82;559.0;;2291.0;681.0;2972.0;1688.0;127.0;444.0;2530.0;240.0;993.0;1233.0;487.0;;202.0;4451.0;;492.0;128.0;72.0;;1842.0;3301.0;;135.0;383.0;3819.0;;107.0;;;1942.0;260.0;;9200.0;482.0;9682.0;;460.0;377.0;;28.0;-392.0;-6.0;-3.0;;-1.0;685.0;-534.0;;-335.0;4.0;-25.0;-192.0;;-52.0;-701.0;360.0;-8.0;2291.0;2569.0;;0.08;93.59;10.74;14.58;16.38;12.48;68.24;559.0;1.6;0.0;96.0;52353.0;29.0;4930.0;6007.0;32.2;11.5;36205.0;43150.0;38170.0;10.1;10.9;15.7;-52.5;120.7;0.076
2010.0;4679.0;2553.0;1710.0;1260.0;952.0;621.0;657.0;4840.0;11038.0;2694.0;6843.0;3645.0;1364.0;-2206.0;116.0;-729.0;392.0;2127.0;54.55;1292.0;;760.0;372.0;388.0;532.0;3419.0;85.0;292.0;532.0;36.53;26.93;-308.0;20.35;264.0;13.28;0.95;0.95;657.0;;1694.0;845.0;2539.0;1786.0;101.0;414.0;3126.0;205.0;544.0;749.0;1766.0;;556.0;6198.0;;604.0;141.0;117.0;1503.0;445.0;3789.0;40.0;55.0;265.0;4149.0;;51.0;;;2529.0;436.0;;10488.0;549.0;11038.0;;621.0;532.0;;45.0;-49.0;-14.0;33.0;;-96.0;214.0;-972.0;;-1269.0;19.0;-41.0;-109.0;;-103.0;;328.0;-4.0;1694.0;2423.0;;0.08;88.1;11.7;7.38;;18.3;68.62;657.0;1.7;0.1;;57857.0;26.9;6579.0;7683.0;27.7;13.3;26535.0;46845.0;45064.0;10.9;11.2;17.0;100.0;26.3;0.081
2011.0;4482.0;2465.0;1588.0;1205.0;830.0;493.0;589.0;3628.0;11105.0;2578.0;6890.0;3700.0;1637.0;-1797.0;-182.0;-335.0;927.0;2017.0;54.99;1260.0;;728.0;372.0;356.0;532.0;3277.0;82.0;309.0;541.0;35.42;26.88;-375.0;18.52;244.0;11.01;0.84;0.84;589.0;;1166.0;388.0;1554.0;1587.0;99.0;389.0;2972.0;184.0;556.0;740.0;3109.0;29.0;627.0;7477.0;;551.0;111.0;99.0;1499.0;418.0;4001.0;33.0;;278.0;4312.0;;42.0;;;2695.0;227.0;;10590.0;515.0;11105.0;;493.0;541.0;;47.0;14.0;-52.0;-8.0;-2.0;-95.0;542.0;-710.0;;-1400.0;417.0;-122.0;-311.0;;-1.0;-73.0;203.0;8.0;1166.0;1501.0;;0.07;106.28;11.7;21.98;1.74;16.83;87.73;589.0;1.9;0.1;7.8;62582.0;26.9;7554.0;6890.0;29.4;11.0;14658.0;55859.0;51660.0;9.2;9.9;13.3;85.2;8.0;0.072
2012.0;5392.0;2529.0;1997.0;1412.0;1099.0;682.0;571.0;4252.0;12845.0;2821.0;7512.0;4719.0;1755.0;-947.0;-587.0;217.0;802.0;2863.0;46.9;1082.0;;1090.0;603.0;487.0;-8.0;3945.0;81.0;340.0;659.0;37.03;26.18;-313.0;20.38;315.0;12.64;1.19;1.19;571.0;;1484.0;414.0;1897.0;1782.0;117.0;456.0;3764.0;200.0;1167.0;1367.0;3345.0;84.0;35.0;8594.0;;669.0;63.0;106.0;1651.0;437.0;4447.0;60.0;;184.0;4691.0;;387.0;;387.0;3975.0;141.0;217.0;12231.0;614.0;12845.0;;682.0;659.0;;49.0;-167.0;-46.0;-2.0;55.0;42.0;532.0;-953.0;-34.0;-21.0;37.0;-39.0;-130.0;;;-78.0;-380.0;-4.0;1484.0;1267.0;;0.08;121.4;15.35;18.06;1.76;21.46;106.25;571.0;1.4;0.1;8.0;69290.0;26.2;8474.0;8761.0;28.7;12.6;18392.0;57148.0;60644.0;10.1;10.9;14.4;88.6;9.7;0.078
2013.0;5658.0;2622.0;2003.0;1437.0;1071.0;594.0;574.0;4080.0;14884.0;3089.0;8859.0;5238.0;1825.0;-1936.0;-71.0;-182.0;622.0;3037.0;46.33;1191.0;;1191.0;633.0;558.0;;4228.0;87.0;368.0;755.0;35.41;25.39;-366.0;18.92;286.0;10.5;1.04;1.04;574.0;;1280.0;285.0;1565.0;1878.0;132.0;505.0;4101.0;201.0;1367.0;1568.0;4315.0;813.0;8.0;10804.0;;822.0;57.0;130.0;1684.0;526.0;4926.0;36.0;;808.0;5770.0;;377.0;;382.0;4363.0;260.0;233.0;14097.0;787.0;14884.0;;594.0;755.0;;46.0;-220.0;-200.0;-18.0;166.0;34.0;650.0;-1203.0;-122.0;-768.0;143.0;-49.0;-58.0;81.0;-81.0;-166.0;153.0;-1.0;1280.0;1462.0;;0.08;128.67;13.51;14.14;3.78;27.37;119.11;574.0;2.0;0.1;13.9;73791.0;25.4;9846.0;7748.0;26.7;10.5;12925.0;64238.0;68311.0;8.3;8.9;11.3;72.0;26.7;0.077
