;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ARS/USD)
1998.0;;;;;;;166.0;;;;;;;;;;;;86.08;;;;;;;;;;;80.44;71.58;;58.31;;39.61;;;166.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;;;;;;;165.0;;;;;;;;;;;;86.43;;;;;;;;;;;61.57;69.83;;49.38;;33.87;;;165.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;;;;;;;165.0;;;;;;;;;;;;82.21;;;;;;;;;;;76.94;62.6;;40.91;;26.32;;;165.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;;;;;;;165.0;;;;;;;;;;;;77.26;;;;;;;;;;;65.25;58.78;;31.42;;19.96;;;165.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;;;;;;;167.0;;;;;;;;;;;;52.29;;;;;;;;;;;-12.99;47.72;;-70.76;;-70.76;;;167.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;;;;;;;166.0;;;;;;;;;;;;52.14;;;;;;;;;;;67.26;45.58;;18.44;;32.05;;;166.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;337.0;179.0;206.0;154.0;54.0;50.0;165.0;207.0;1744.0;120.0;996.0;748.0;39.0;-33.0;-120.0;-114.0;6.0;158.0;53.09;25.0;;;;;25.0;183.0;3.0;85.0;67.0;61.13;45.65;-100.0;15.94;4.0;14.88;0.31;0.31;163.0;;3.0;110.0;114.0;91.0;2.0;;1464.0;;4.0;4.0;;;70.0;1537.0;;37.0;50.0;;;33.0;872.0;;;4.0;876.0;;;;657.0;40.0;50.0;;1744.0;;1744.0;;50.0;67.0;;;-184.0;;-0.0;;;106.0;-33.0;;;;;;;;;-120.0;;114.0;228.0;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;351.0;177.0;202.0;146.0;76.0;72.0;167.0;237.0;1713.0;112.0;914.0;799.0;193.0;-55.0;-80.0;58.0;137.0;174.0;50.49;31.0;;;;;31.0;205.0;5.0;61.0;65.0;57.61;41.6;-70.0;21.65;4.0;20.43;0.43;0.43;167.0;;1.0;168.0;169.0;66.0;2.0;-0.0;1409.0;;0.0;0.0;;;66.0;1476.0;;42.0;39.0;;;30.0;797.0;;;6.0;802.0;;;;262.0;109.0;51.0;377.0;1713.0;0.0;1713.0;;72.0;65.0;;;-32.0;;-0.0;;-60.0;88.0;-55.0;;;;1.0;;;;;-80.0;;169.0;111.0;;0.33;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;428.0;224.0;250.0;186.0;124.0;117.0;165.0;232.0;1678.0;124.0;770.0;908.0;198.0;-42.0;-168.0;-11.0;156.0;204.0;52.35;38.0;;13.0;13.0;0.0;24.0;241.0;10.0;63.0;63.0;58.53;43.54;-62.0;29.01;7.0;27.34;0.71;0.71;165.0;;2.0;154.0;156.0;73.0;3.0;0.0;1377.0;;0.0;0.0;;;68.0;1445.0;;59.0;32.0;;;32.0;626.0;;;20.0;646.0;;;;259.0;221.0;428.0;;1678.0;0.0;1678.0;;117.0;63.0;;;-12.0;;-1.0;;-10.0;30.0;-42.0;;;;;;;;;-168.0;;156.0;167.0;;0.33;7.92;2.16;2.9;;0.77;16.82;165.0;2.5;0.1;;1308.0;43.5;193.0;358.0;5.8;27.3;333.0;1916.0;2778.0;11.4;11.2;12.9;100.0;;0.327
2007.0;399.0;196.0;206.0;156.0;94.0;47.0;165.0;217.0;1589.0;99.0;658.0;931.0;165.0;-74.0;-119.0;-28.0;100.0;203.0;49.2;41.0;;;;;41.0;244.0;11.0;50.0;63.0;51.71;38.97;-62.0;23.43;47.0;11.73;0.28;0.28;165.0;;1.0;134.0;135.0;77.0;5.0;;1325.0;;3.0;3.0;;;44.0;1372.0;;52.0;5.0;;;42.0;500.0;;;59.0;559.0;;;;;;931.0;;1589.0;;1589.0;;47.0;63.0;;;-9.0;;-2.0;;0.0;64.0;-65.0;;-9.0;;0.0;;;;;-119.0;;124.0;152.0;;0.32;7.64;0.9;1.91;;1.24;17.79;165.0;7.6;0.4;;1258.0;39.0;199.0;148.0;49.9;11.7;371.0;1575.0;2931.0;4.8;9.0;5.0;100.0;;0.318
