;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CNY/USD)
2001.0;1.0;0.0;-1.0;-2.0;-2.0;-2.0;0.0;1.0;3.0;3.0;6.0;-3.0;-2.0;-0.0;1.0;-0.0;-2.0;0.0;38.24;2.0;1.0;1.0;;;0.0;2.0;;0.0;0.0;-215.61;-279.25;-0.0;-286.66;0.0;-289.48;-6.34;-6.34;0.0;;0.0;1.0;1.0;0.0;;0.0;1.0;;;;;0.0;0.0;1.0;;0.0;2.0;;0.0;1.0;;;;4.0;4.0;;;;0.0;-4.0;-1.0;1.0;3.0;;3.0;;-2.0;0.0;-0.0;;-0.0;;;;;0.0;-0.0;;;;;;0.0;;;1.0;-0.0;0.0;1.0;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;0.0;-0.0;-3.0;-2.0;-3.0;-3.0;0.0;1.0;2.0;6.0;10.0;-7.0;0.0;-1.0;1.0;0.0;0.0;0.0;-13.7;2.0;1.0;1.0;;;0.0;3.0;;0.0;0.0;-647.2;-600.91;-0.0;-633.82;0.0;-802.98;-10.54;-10.54;0.0;;1.0;;1.0;0.0;;0.0;1.0;;;;;;0.0;1.0;;0.0;2.0;;0.0;4.0;0.0;;;4.0;4.0;;0.0;;0.0;-7.0;-0.0;0.0;2.0;;2.0;;-3.0;0.0;0.0;;2.0;;;;;1.0;-0.0;;;;-1.0;;;;;1.0;-0.0;1.0;0.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;2.0;1.0;6.0;-1.0;-1.0;6.0;1.0;11.0;19.0;16.0;20.0;-2.0;7.0;-0.0;0.0;7.0;7.0;1.0;62.41;2.0;0.0;2.0;;;0.0;3.0;;0.0;0.0;274.78;-34.96;-0.0;-42.0;-1.0;280.72;11.64;7.03;0.0;;8.0;;8.0;3.0;;1.0;1.0;;;;;1.0;6.0;7.0;;0.0;2.0;;;14.0;;;;4.0;4.0;;;;0.0;-2.0;-0.0;0.0;19.0;;19.0;;6.0;0.0;-1.0;;7.0;;;;;-6.0;-0.0;;;;;;;;;0.0;-0.0;8.0;1.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;4.0;3.0;4.0;-1.0;1.0;3.0;0.0;103.0;124.0;18.0;18.0;105.0;4.0;-15.0;99.0;88.0;2.0;1.0;75.06;4.0;1.0;3.0;;;;5.0;0.0;;0.0;90.3;-26.65;2.0;16.68;1.0;66.82;4.24;3.15;0.0;;96.0;;96.0;4.0;;4.0;1.0;;4.0;4.0;;0.0;15.0;21.0;;0.0;;;0.0;17.0;;;;;;;;;0.0;1.0;0.0;103.0;123.0;1.0;124.0;;3.0;0.0;1.0;;2.0;;;;;-2.0;-2.0;;;;-13.0;;98.0;;;1.0;0.0;96.0;8.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;58.0;28.0;18.0;7.0;10.0;9.0;1.0;76.0;150.0;34.0;34.0;117.0;18.0;-60.0;5.0;-38.0;-13.0;30.0;48.3;20.0;5.0;15.0;;;;50.0;1.0;;9.0;31.37;12.84;3.0;18.11;0.0;15.58;11.16;10.86;1.0;;61.0;;61.0;1.0;;14.0;29.0;4.0;36.0;40.0;;0.0;6.0;75.0;;2.0;;;9.0;22.0;;;;;;;;;0.0;10.0;-0.0;107.0;150.0;;150.0;;9.0;9.0;-0.0;;-3.0;;;;-0.0;4.0;-32.0;-26.0;;3.0;-5.0;;0.0;;;4.0;-1.0;61.0;98.0;;0.12;576.9;89.91;-130.74;;315.46;1168.61;1.0;;;;465.0;12.8;73.0;73.0;0.2;15.6;339.0;;942.0;7.7;6.0;7.7;100.0;3.6;0.124
2006.0;126.0;59.0;61.0;35.0;39.0;40.0;1.0;139.0;208.0;37.0;37.0;171.0;77.0;-26.0;7.0;58.0;61.0;67.0;46.84;25.0;4.0;21.0;;;;92.0;1.0;;21.0;48.31;27.4;5.0;31.21;-0.0;31.7;49.07;48.84;1.0;;120.0;;120.0;1.0;;18.0;29.0;4.0;31.0;35.0;;1.0;4.0;69.0;;2.0;;;14.0;21.0;;;;;;;;;0.0;48.0;3.0;121.0;208.0;;208.0;;40.0;21.0;-0.0;;13.0;;;;-1.0;3.0;-16.0;-10.0;-1.0;1.0;0.0;;7.0;;;;-0.0;120.0;62.0;;0.13;1208.26;382.98;581.12;;152.93;1637.64;1.0;1.9;0.1;;985.0;27.4;166.0;312.0;-0.9;31.7;798.0;;1335.0;23.4;19.1;23.4;100.0;-12.2;0.128
2007.0;175.0;79.0;63.0;32.0;35.0;33.0;1.0;331.0;445.0;60.0;60.0;385.0;85.0;-63.0;161.0;175.0;17.0;96.0;45.29;47.0;6.0;39.0;;;3.0;143.0;7.0;;29.0;36.11;18.43;3.0;20.04;1.0;18.83;36.11;35.82;1.0;;304.0;;304.0;4.0;;24.0;47.0;4.0;49.0;54.0;;4.0;9.0;114.0;228.0;7.0;;;23.0;31.0;;;;;;;;;0.0;76.0;5.0;304.0;445.0;;445.0;;33.0;29.0;-4.0;;10.0;;;;-0.0;17.0;-67.0;;-1.0;5.0;0.0;;176.0;-15.0;;;-7.0;304.0;129.0;;0.14;1402.72;264.07;138.46;;537.46;3076.08;1.0;4.1;0.2;;1281.0;18.4;212.0;241.0;3.6;18.8;1978.0;;2810.0;8.6;7.7;8.6;100.0;-930.0;0.137
2008.0;251.0;105.0;66.0;20.0;21.0;14.0;1.0;366.0;478.0;80.0;80.0;399.0;102.0;-71.0;-35.0;-9.0;84.0;146.0;41.69;73.0;11.0;62.0;47.0;15.0;;219.0;8.0;;45.0;26.42;7.86;1.0;8.42;7.0;5.66;55.37;55.28;1.0;;316.0;10.0;326.0;1.0;;39.0;29.0;4.0;32.0;36.0;47.0;;;113.0;;4.0;;15.0;30.0;46.0;;;;;;;;;0.0;81.0;2.0;316.0;478.0;;478.0;;14.0;45.0;5.0;8.0;-3.0;-1.0;;-2.0;;32.0;-18.0;;-160.0;107.0;-4.0;;;;;-35.0;-5.0;316.0;325.0;;0.15;1855.97;105.01;619.71;;131.4;2948.79;1.0;5.5;0.3;;1711.0;7.9;307.0;97.0;33.3;5.7;1950.0;;2719.0;3.6;4.4;3.6;100.0;;0.147
2009.0;111.0;7.0;-35.0;-71.0;-57.0;-59.0;1.0;264.0;341.0;46.0;46.0;295.0;-16.0;-2.0;-52.0;-70.0;-22.0;104.0;6.32;66.0;17.0;49.0;33.0;16.0;;171.0;;;26.0;-31.07;-63.49;14.0;-51.35;-1.0;-53.27;-70.06;-70.06;1.0;;245.0;;245.0;0.0;;18.0;11.0;;19.0;19.0;45.0;1.0;;76.0;;5.0;;1.0;2.0;39.0;;;;;;;;;0.0;-13.0;;307.0;340.0;0.0;341.0;;-59.0;26.0;-1.0;10.0;-29.0;1.0;;1.0;-0.0;38.0;-6.0;;-4.0;10.0;-5.0;;;;-29.0;-23.0;0.0;245.0;315.0;;0.15;897.73;-478.25;-177.58;237.3;52.35;2374.28;1.0;-0.6;-0.0;78.8;761.0;-63.5;174.0;-405.0;1.4;-53.3;1491.0;;2011.0;-20.1;-17.7;-20.1;149.6;;0.146
2010.0;16.0;-0.0;-69.0;-54.0;-47.0;-76.0;1.0;237.0;282.0;48.0;49.0;232.0;-38.0;-1.0;-0.0;-39.0;-41.0;16.0;-0.41;48.0;21.0;27.0;17.0;10.0;;64.0;4.0;;5.0;-443.86;-344.02;6.0;-302.75;1.0;-485.83;-90.52;-90.52;1.0;;215.0;;215.0;2.0;;20.0;9.0;2.0;15.0;16.0;11.0;;9.0;45.0;;7.0;;1.0;3.0;38.0;;;1.0;;1.0;;;;0.0;-89.0;-0.0;321.0;281.0;1.0;282.0;;-76.0;5.0;1.0;5.0;-8.0;-1.0;;1.0;-3.0;35.0;-3.0;-1.0;-6.0;1.0;6.0;;;-0.0;;0.0;-1.0;215.0;254.0;;0.15;122.81;-596.63;-319.7;;24.08;1828.5;1.0;-0.3;-0.0;;103.0;-344.0;36.0;-500.0;-2.4;-485.8;1245.0;;1531.0;-32.8;-26.6;-32.6;100.0;;0.152
