;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (BRL/USD)
1997.0;2572.0;1043.0;518.0;437.0;466.0;420.0;10551.0;1514.0;4149.0;1312.0;2697.0;1451.0;;;;;;1529.0;40.56;606.0;;;;;606.0;2135.0;;;52.0;20.13;16.99;29.0;18.11;46.0;16.33;0.04;0.04;10551.0;;11.0;782.0;792.0;300.0;289.0;132.0;2190.0;;;;;;445.0;2635.0;;261.0;636.0;;;415.0;781.0;;146.0;458.0;1385.0;;;;;;-1255.0;2706.0;4149.0;;4149.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;2626.0;1127.0;373.0;373.0;302.0;274.0;10332.0;1630.0;3885.0;1309.0;2654.0;1230.0;;;;;;1499.0;42.92;754.0;;;;;754.0;2252.0;;;71.0;14.21;14.22;-71.0;11.52;29.0;10.43;0.03;0.03;10332.0;;17.0;883.0;900.0;254.0;310.0;167.0;1761.0;;;;;;494.0;2255.0;;212.0;748.0;;;349.0;816.0;;;529.0;1346.0;;;;;339.0;-1162.0;2053.0;3885.0;;3885.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;1799.0;744.0;222.0;257.0;169.0;179.0;10377.0;1508.0;3005.0;1046.0;2084.0;922.0;;;;;;1055.0;41.35;487.0;;;;;487.0;1542.0;;;53.0;12.32;14.3;-89.0;9.38;-10.0;9.92;0.02;0.02;10377.0;;19.0;922.0;940.0;237.0;212.0;118.0;1052.0;;13.0;13.0;;;432.0;1497.0;;175.0;578.0;;;294.0;520.0;;98.0;419.0;1037.0;;;;;307.0;-944.0;1559.0;3005.0;;3005.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;2692.0;1234.0;137.0;167.0;33.0;241.0;56412.0;1378.0;4430.0;1384.0;2590.0;1840.0;;;;;;1458.0;45.84;1067.0;;;;;1067.0;2525.0;192.0;;104.0;5.09;6.22;-134.0;1.23;-208.0;8.96;0.01;0.01;54338.0;;23.0;504.0;527.0;408.0;303.0;140.0;1643.0;;315.0;315.0;;511.0;583.0;3052.0;;297.0;649.0;;;438.0;476.0;;268.0;461.0;1205.0;;;;;268.0;-1601.0;3174.0;4430.0;;4430.0;;241.0;104.0;;;;;;;;-345.0;;;;;;;;;;;;;;;0.51;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;2824.0;1367.0;668.0;383.0;362.0;339.0;57695.0;2027.0;4772.0;1476.0;3278.0;1494.0;641.0;-445.0;599.0;795.0;448.0;1457.0;48.41;984.0;;;;;984.0;2440.0;;;306.0;23.67;13.58;-21.0;12.82;22.0;12.02;0.01;0.01;57695.0;;1044.0;55.0;1099.0;347.0;349.0;232.0;1360.0;;267.0;267.0;;502.0;615.0;2745.0;;247.0;744.0;;;485.0;1233.0;;14.0;555.0;1802.0;;;;;395.0;-1545.0;2644.0;4772.0;;4772.0;;339.0;306.0;-63.0;;-69.0;;-65.0;;;128.0;-193.0;-95.0;;;-157.0;;37.0;-107.0;-136.0;804.0;;1044.0;249.0;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;2069.0;1125.0;559.0;390.0;347.0;427.0;57433.0;1580.0;3498.0;800.0;2309.0;1167.0;775.0;-154.0;-823.0;83.0;627.0;944.0;54.38;736.0;;;;;736.0;1680.0;;;212.0;27.03;18.83;-42.0;16.79;-79.0;20.62;0.01;0.01;57433.0;;782.0;208.0;990.0;217.0;243.0;130.0;929.0;;177.0;177.0;;440.0;371.0;1918.0;;223.0;172.0;;;406.0;1096.0;;7.0;405.0;1508.0;;;;;;357.0;;3475.0;22.0;3498.0;;427.0;212.0;-114.0;;41.0;;11.0;;;209.0;-148.0;;;;-6.0;;8.0;-95.0;-95.0;-641.0;285.0;782.0;700.0;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;3003.0;1604.0;988.0;850.0;645.0;488.0;46283.0;1902.0;5128.0;1632.0;3571.0;1490.0;874.0;-697.0;-120.0;22.0;576.0;1398.0;53.43;807.0;;662.0;145.0;517.0;145.0;2205.0;;;352.0;32.89;28.3;-205.0;21.47;147.0;16.26;0.01;0.01;45912.0;;414.0;517.0;930.0;518.0;330.0;124.0;1441.0;583.0;;583.0;9.0;633.0;560.0;3226.0;;;683.0;450.0;;949.0;1385.0;;81.0;472.0;1938.0;;;;1080.0;;527.0;-117.0;5060.0;68.0;5128.0;;488.0;352.0;-69.0;;-117.0;-4.0;-17.0;;-142.0;220.0;-298.0;-604.0;;;205.0;-868.0;;-107.0;-355.0;1210.0;-35.0;414.0;391.0;;0.35;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;4521.0;2721.0;1523.0;814.0;689.0;437.0;82033.0;2025.0;12431.0;3303.0;5957.0;6399.0;1287.0;42.0;-1293.0;36.0;808.0;1800.0;60.19;1601.0;;1156.0;233.0;923.0;445.0;3401.0;4.0;243.0;650.0;33.69;18.02;-126.0;15.24;193.0;9.67;0.01;0.01;82033.0;;486.0;81.0;567.0;811.0;520.0;128.0;2083.0;6841.0;;6841.0;55.0;835.0;591.0;10405.0;;133.0;1296.0;615.0;5.0;1869.0;1644.0;34.0;156.0;820.0;2655.0;;;;1786.0;;4737.0;-124.0;12356.0;75.0;12431.0;;437.0;650.0;-86.0;;-102.0;-53.0;-75.0;;85.0;388.0;-480.0;99.0;;508.0;-86.0;-2811.0;;-606.0;-227.0;2351.0;-0.0;486.0;450.0;;0.38;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;6821.0;4367.0;2136.0;1202.0;1101.0;661.0;81774.0;2108.0;14316.0;2160.0;5772.0;8492.0;1774.0;-692.0;-1271.0;-194.0;1188.0;2454.0;64.02;3165.0;;;;;3165.0;5620.0;41.0;;1114.0;31.31;17.61;-100.0;16.15;361.0;9.69;0.01;0.01;81774.0;;358.0;111.0;469.0;714.0;504.0;421.0;2310.0;7150.0;;7150.0;;873.0;1875.0;12208.0;;455.0;517.0;;;1187.0;2562.0;;;1050.0;3612.0;;;;;;6227.0;;14264.0;52.0;14316.0;;661.0;1114.0;38.0;;-202.0;;40.0;;-5.0;164.0;-585.0;;-22.0;;-84.0;;;-155.0;-971.0;-145.0;-4.0;358.0;552.0;;0.43;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;8225.0;5447.0;3079.0;2025.0;2011.0;1310.0;79739.0;3184.0;16645.0;3196.0;7544.0;8998.0;2795.0;-1768.0;-686.0;328.0;2129.0;2778.0;66.23;3414.0;;2171.0;361.0;1810.0;1243.0;6191.0;;;1154.0;37.43;24.62;-13.0;24.45;614.0;15.93;0.02;0.02;79739.0;;719.0;106.0;824.0;1206.0;637.0;516.0;2673.0;8399.0;;8399.0;;1666.0;724.0;13462.0;;648.0;983.0;751.0;;1565.0;3485.0;70.0;190.0;603.0;4347.0;;;;;757.0;-4920.0;;16541.0;104.0;16645.0;;1310.0;1154.0;;;-220.0;-78.0;-67.0;134.0;-229.0;550.0;-666.0;-1235.0;-1232.0;84.0;1282.0;-3458.0;2.0;-824.0;-836.0;4431.0;-14.0;719.0;391.0;;0.47;0.22;0.04;0.06;0.02;0.02;0.24;79739.0;43.3;2.4;1.5;17571.0;24.6;2465.0;2800.0;30.5;15.9;-27.0;7444.0;19222.0;10.0;11.6;14.6;36.2;77.9;0.468
