;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (CAD/USD)
2006.0;2399.0;1381.0;462.0;134.0;-69.0;39.0;201.0;770.0;6400.0;1204.0;3858.0;2083.0;420.0;-224.0;-209.0;-12.0;228.0;1018.0;57.58;1247.0;;;;;1247.0;2265.0;11.0;156.0;376.0;19.26;5.6;-204.0;-2.89;-108.0;1.61;0.19;0.19;201.0;;56.0;;56.0;530.0;45.0;137.0;4325.0;;;369.0;;;936.0;5630.0;;379.0;675.0;;;150.0;1691.0;;599.0;;2290.0;4945.0;;;;609.0;-55.0;;5941.0;459.0;6400.0;;39.0;376.0;-140.0;;-162.0;;;;-162.0;309.0;-192.0;-1.0;;;-31.0;;11.0;;-115.0;-105.0;1.0;56.0;68.0;;0.86;13.93;0.22;1.32;0.67;1.11;12.09;201.0;94.4;5.2;3.2;2797.0;5.6;438.0;45.0;155.5;1.6;-506.0;1971.0;2428.0;-1.0;1.5;1.8;-198.2;45.5;0.858
2007.0;2784.0;1549.0;912.0;543.0;330.0;310.0;203.0;821.0;7204.0;1508.0;4399.0;2307.0;850.0;-412.0;-445.0;-15.0;249.0;1235.0;55.65;1006.0;;;;;1006.0;2241.0;32.0;166.0;417.0;32.77;19.5;-213.0;11.86;20.0;11.13;1.54;1.54;203.0;;51.0;;51.0;548.0;30.0;192.0;5135.0;;;335.0;;;912.0;6382.0;;474.0;807.0;;;227.0;1711.0;;639.0;;2350.0;5241.0;;;;765.0;-246.0;;6706.0;498.0;7204.0;;310.0;417.0;-34.0;;66.0;;;;66.0;92.0;-601.0;;;;190.0;;20.0;-251.0;-206.0;-9.0;-8.0;51.0;66.0;;1.0;13.7;1.52;1.23;1.01;2.96;11.35;203.0;17.6;1.0;3.8;2775.0;19.5;415.0;309.0;6.2;11.1;-685.0;1706.0;2299.0;9.0;7.4;13.4;33.7;175.4;1.004
2008.0;2555.0;1328.0;710.0;436.0;213.0;194.0;199.0;750.0;6422.0;1350.0;3974.0;2062.0;853.0;-478.0;-384.0;-1.0;26.0;1227.0;51.97;892.0;;;;;892.0;2119.0;38.0;128.0;370.0;27.8;17.06;-224.0;8.32;19.0;7.58;0.97;0.97;199.0;;41.0;;41.0;445.0;42.0;223.0;4948.0;;;291.0;;;432.0;5672.0;;561.0;565.0;;;225.0;1743.0;;490.0;;2233.0;4857.0;;;;566.0;50.0;;6037.0;385.0;6422.0;;194.0;370.0;1.0;;173.0;;;;173.0;116.0;-827.0;;;;349.0;;12.0;-107.0;-175.0;-115.0;7.0;41.0;42.0;;0.82;15.63;1.18;0.16;1.07;5.06;12.61;199.0;25.2;1.2;3.6;3110.0;17.1;450.0;236.0;8.9;7.6;-730.0;2121.0;2510.0;6.6;5.6;9.4;9.8;1038.5;0.822
2009.0;2633.0;1466.0;798.0;359.0;186.0;172.0;201.0;797.0;9281.0;801.0;6042.0;2785.0;551.0;-1519.0;1001.0;30.0;-308.0;1167.0;55.67;1107.0;;;;;1107.0;2274.0;6.0;143.0;469.0;30.29;13.65;-173.0;7.08;14.0;6.53;0.86;0.86;201.0;;78.0;137.0;215.0;437.0;86.0;59.0;7204.0;413.0;317.0;729.0;213.0;194.0;144.0;8484.0;;495.0;29.0;10.0;;277.0;4194.0;;606.0;441.0;5240.0;;;;;603.0;120.0;;8826.0;454.0;9281.0;;172.0;469.0;20.0;;-142.0;108.0;-40.0;;;32.0;-859.0;-728.0;-22.0;28.0;63.0;-757.0;378.0;;-270.0;1649.0;-3.0;78.0;48.0;;0.95;13.78;0.9;-1.61;1.41;4.5;14.57;201.0;20.8;0.3;7.5;2770.0;13.6;493.0;181.0;7.7;6.5;-5.0;4411.0;2929.0;3.8;3.7;6.2;-56.9;35.2;0.951
2010.0;2827.0;1621.0;890.0;498.0;221.0;220.0;219.0;862.0;9920.0;1176.0;6298.0;3186.0;813.0;-722.0;-113.0;-24.0;21.0;1205.0;57.36;1123.0;;;;;1123.0;2328.0;;178.0;491.0;31.5;17.63;-278.0;7.8;1.0;7.77;1.0;1.0;219.0;;58.0;266.0;324.0;448.0;53.0;37.0;7597.0;518.0;305.0;823.0;209.0;241.0;188.0;9057.0;;504.0;257.0;8.0;;415.0;3990.0;;632.0;500.0;5122.0;;;294.0;;534.0;140.0;;9484.0;436.0;9920.0;;220.0;491.0;28.0;;28.0;-9.0;31.0;;;46.0;-792.0;15.0;-29.0;;84.0;-432.0;1.0;;-217.0;534.0;-2.0;58.0;82.0;;1.0;12.87;1.0;0.1;0.99;3.61;14.51;219.0;20.8;1.0;4.8;2819.0;17.6;490.0;219.0;0.5;7.8;-313.0;3979.0;3177.0;4.8;4.2;6.9;1.4;1023.8;1.003
2011.0;2612.0;1683.0;1136.0;649.0;440.0;299.0;222.0;1102.0;9572.0;1168.0;6015.0;3206.0;681.0;-603.0;-66.0;14.0;207.0;929.0;64.44;1050.0;;;;;1050.0;1979.0;8.0;211.0;522.0;43.48;24.86;-209.0;16.86;104.0;11.45;1.28;1.28;222.0;;48.0;383.0;432.0;535.0;83.0;52.0;7147.0;438.0;278.0;716.0;189.0;173.0;244.0;8469.0;;454.0;310.0;22.0;;404.0;3649.0;;482.0;716.0;4847.0;;;551.0;;517.0;-100.0;;9221.0;351.0;9572.0;;299.0;522.0;78.0;;-113.0;-127.0;-26.0;;34.0;-106.0;-474.0;32.0;;;-191.0;-229.0;264.0;;-202.0;102.0;2.0;48.0;34.0;;0.98;12.0;1.37;0.95;0.93;2.18;14.73;222.0;15.5;1.0;4.4;2663.0;24.9;532.0;305.0;23.6;11.5;-67.0;3721.0;3269.0;5.8;6.7;9.3;32.5;-29.9;0.981
2012.0;2277.0;1463.0;309.0;42.0;-446.0;-587.0;235.0;944.0;9514.0;1394.0;6152.0;3030.0;523.0;-1055.0;507.0;-22.0;-223.0;814.0;64.24;1054.0;;496.0;496.0;;558.0;1868.0;18.0;224.0;568.0;13.57;1.86;-488.0;-19.58;104.0;-25.77;-2.63;-2.63;235.0;;27.0;;27.0;606.0;83.0;229.0;7091.0;450.0;286.0;736.0;173.0;50.0;519.0;8570.0;;498.0;611.0;6.0;;285.0;3634.0;51.0;433.0;639.0;4758.0;;;786.0;2744.0;-360.0;-149.0;9.0;9182.0;332.0;9514.0;;-587.0;568.0;91.0;;-52.0;-23.0;1.0;34.0;-41.0;504.0;-747.0;3.0;-13.0;;-337.0;-316.0;295.0;;-137.0;665.0;2.0;27.0;49.0;;1.01;9.63;-2.48;-0.94;0.58;3.16;12.81;235.0;-6.9;-0.5;3.4;2262.0;1.9;564.0;-583.0;-23.3;-25.8;-447.0;3610.0;3010.0;-4.1;-2.8;-19.4;123.3;;1.007
2013.0;2157.0;1286.0;736.0;280.0;-11.0;-31.0;264.0;703.0;9209.0;802.0;5987.0;2735.0;720.0;-662.0;-44.0;14.0;162.0;872.0;59.6;1022.0;;486.0;486.0;;537.0;1894.0;43.0;224.0;551.0;34.12;12.96;-291.0;-0.52;-8.0;-1.44;-0.25;-0.25;264.0;;40.0;;40.0;456.0;72.0;136.0;6771.0;433.0;304.0;737.0;181.0;111.0;706.0;8506.0;;421.0;204.0;3.0;;177.0;3888.0;49.0;432.0;816.0;5185.0;;24.0;735.0;2742.0;-692.0;-58.0;8.0;8722.0;487.0;9209.0;;-31.0;551.0;-44.0;;70.0;118.0;14.0;-48.0;;175.0;-558.0;-119.0;-16.0;13.0;-12.0;-317.0;;;-145.0;418.0;;40.0;25.0;;0.94;8.68;-0.13;0.65;0.58;2.25;11.01;264.0;-112.5;-6.6;4.1;2292.0;13.0;585.0;-33.0;66.7;-1.4;-105.0;4130.0;2906.0;0.8;2.1;-1.1;566.7;;0.941
2014.0;2257.0;1317.0;878.0;380.0;206.0;157.0;273.0;735.0;8460.0;1248.0;5124.0;2826.0;685.0;-251.0;-433.0;1.0;237.0;940.0;58.37;958.0;;466.0;466.0;;491.0;1897.0;42.0;203.0;512.0;38.89;16.85;-175.0;9.11;6.0;6.94;0.45;0.45;273.0;;37.0;;37.0;387.0;61.0;250.0;6228.0;398.0;285.0;682.0;;39.0;777.0;7726.0;;414.0;646.0;2.0;;188.0;2844.0;;373.0;658.0;3875.0;;11.0;810.0;2580.0;-663.0;89.0;8.0;7949.0;511.0;8460.0;;157.0;512.0;-22.0;;63.0;51.0;6.0;7.0;;-24.0;-448.0;193.0;-2.0;193.0;-216.0;-858.0;;;-156.0;581.0;;37.0;36.0;;0.86;9.61;0.67;1.01;0.66;1.91;12.03;273.0;17.0;0.9;5.9;2623.0;16.9;595.0;182.0;2.9;6.9;-597.0;3305.0;3284.0;5.3;4.6;5.5;0.5;65.8;0.86
2015.0;1638.0;910.0;695.0;107.0;160.0;16.0;280.0;841.0;7908.0;616.0;4737.0;2428.0;312.0;-414.0;108.0;8.0;-51.0;728.0;55.54;803.0;;175.0;175.0;;628.0;1531.0;42.0;166.0;437.0;42.43;6.53;53.0;9.75;76.0;0.97;-0.07;-0.07;280.0;;39.0;;39.0;410.0;158.0;234.0;5182.0;336.0;267.0;602.0;;51.0;1232.0;7067.0;;241.0;63.0;2.0;;312.0;3184.0;;467.0;469.0;4121.0;;11.0;681.0;2221.0;-735.0;255.0;7.0;7165.0;743.0;7908.0;;16.0;437.0;62.0;;-175.0;-56.0;-7.0;-110.0;;-28.0;-363.0;-73.0;-9.0;;12.0;-557.0;;;-123.0;787.0;2.0;39.0;31.0;;0.72;8.1;0.08;-0.25;0.61;1.79;12.0;280.0;89.7;4.5;8.6;2267.0;6.5;605.0;22.0;47.5;1.0;311.0;4408.0;3361.0;2.1;3.6;0.7;-672.7;-242.9;0.722
2016.0;1784.0;1067.0;803.0;356.0;234.0;126.0;288.0;1157.0;8184.0;906.0;4714.0;2613.0;554.0;-243.0;-121.0;187.0;272.0;717.0;59.82;705.0;;364.0;364.0;;341.0;1422.0;49.0;155.0;494.0;45.01;19.94;-122.0;13.1;28.0;7.05;0.31;0.31;288.0;;227.0;;227.0;523.0;159.0;248.0;5079.0;345.0;264.0;610.0;;39.0;1300.0;7028.0;;307.0;476.0;4.0;;123.0;2770.0;;530.0;508.0;3808.0;;12.0;701.0;2303.0;-694.0;297.0;7.0;7327.0;857.0;8184.0;;126.0;494.0;11.0;;54.0;-17.0;8.0;60.0;;-132.0;-282.0;;-4.0;;28.0;-77.0;;;-83.0;39.0;-2.0;227.0;40.0;;0.74;8.32;0.59;1.27;0.39;1.32;12.19;288.0;7.9;0.4;8.3;2397.0;19.9;664.0;169.0;12.1;7.1;337.0;3722.0;3511.0;4.2;4.2;4.8;34.3;30.4;0.744
2017.0;1834.0;1026.0;653.0;110.0;-43.0;-127.0;288.0;1358.0;8190.0;1278.0;4704.0;2644.0;498.0;69.0;-559.0;7.0;188.0;808.0;55.96;917.0;;411.0;411.0;;506.0;1725.0;48.0;166.0;563.0;35.59;5.98;-153.0;-2.34;51.0;-6.94;-0.52;-0.52;288.0;;250.0;;250.0;742.0;174.0;193.0;5228.0;368.0;289.0;657.0;;19.0;927.0;6831.0;;473.0;594.0;51.0;;211.0;2353.0;;436.0;637.0;3426.0;;55.0;749.0;2459.0;-961.0;389.0;8.0;7348.0;842.0;8190.0;;-127.0;563.0;-12.0;;-91.0;-181.0;-6.0;148.0;;165.0;-309.0;335.0;;5.0;-2.0;-660.0;;;-68.0;170.0;-1.0;250.0;242.0;;0.79;8.01;-0.56;0.82;0.3;1.35;11.55;288.0;-10.6;-0.4;5.1;2307.0;6.0;708.0;-160.0;-118.5;-6.9;101.0;2960.0;3326.0;3.2;1.2;-4.8;153.8;;0.795
2018.0;1649.0;842.0;518.0;117.0;-70.0;-145.0;287.0;962.0;6913.0;640.0;3882.0;2197.0;601.0;-289.0;-477.0;-165.0;383.0;807.0;51.09;689.0;;378.0;378.0;;312.0;1496.0;14.0;147.0;521.0;31.39;7.11;-188.0;-4.27;-4.0;-8.8;-0.63;-0.63;287.0;;65.0;;65.0;554.0;177.0;165.0;4519.0;340.0;273.0;614.0;;21.0;797.0;5951.0;;364.0;109.0;7.0;;167.0;2287.0;64.0;367.0;524.0;3241.0;;13.0;691.0;2243.0;-1097.0;353.0;8.0;6079.0;834.0;6913.0;;-145.0;521.0;-25.0;;-32.0;43.0;-15.0;-71.0;;283.0;-218.0;-21.0;;1.0;-67.0;-878.0;;-17.0;-63.0;480.0;;65.0;230.0;;0.73;7.84;-0.69;1.82;0.3;1.03;10.44;287.0;-7.8;-0.3;5.6;2249.0;7.1;710.0;-198.0;6.3;-8.8;439.0;3119.0;2997.0;-0.1;-0.0;-6.6;143.4;;0.733
2019.0;1807.0;971.0;768.0;258.0;149.0;63.0;283.0;1033.0;7321.0;860.0;4193.0;2280.0;654.0;-394.0;-11.0;248.0;322.0;836.0;53.73;822.0;;366.0;366.0;;457.0;1659.0;15.0;146.0;546.0;42.48;14.27;-109.0;8.22;13.0;3.49;0.14;0.14;283.0;;316.0;;316.0;356.0;193.0;167.0;4892.0;357.0;245.0;602.0;;14.0;781.0;6289.0;;318.0;395.0;11.0;1.0;146.0;2078.0;11.0;363.0;881.0;3333.0;;15.0;725.0;2293.0;-1120.0;350.0;32.0;6473.0;848.0;7321.0;;63.0;546.0;-14.0;;93.0;201.0;-10.0;-100.0;;-35.0;-332.0;-154.0;;;81.0;-90.0;;-52.0;-65.0;197.0;-1.0;316.0;69.0;;0.77;8.29;0.29;1.48;0.3;1.52;10.46;283.0;21.8;0.9;4.8;2347.0;14.3;709.0;82.0;8.8;3.5;224.0;2699.0;2961.0;3.6;3.4;2.8;-3.7;36.6;0.77
2020.0;1649.0;890.0;518.0;-78.0;-238.0;-225.0;275.0;1493.0;7652.0;734.0;4955.0;1847.0;551.0;-539.0;214.0;229.0;159.0;760.0;53.93;925.0;;371.0;371.0;;554.0;1685.0;13.0;156.0;627.0;31.41;-4.71;-160.0;-14.42;-39.0;-13.66;-0.96;-0.96;275.0;;552.0;;552.0;458.0;187.0;297.0;4682.0;364.0;246.0;609.0;79.0;40.0;750.0;6159.0;;470.0;82.0;14.0;1.0;181.0;2556.0;11.0;311.0;1343.0;4221.0;;105.0;740.0;2274.0;-1434.0;237.0;30.0;6801.0;851.0;7652.0;;-225.0;627.0;-67.0;;70.0;-62.0;5.0;126.0;;147.0;-393.0;-105.0;;2.0;-54.0;-487.0;;-45.0;-68.0;813.0;4.0;552.0;323.0;;0.79;7.64;-1.04;0.73;0.31;1.82;8.55;275.0;-6.1;-0.2;4.9;2101.0;-4.7;798.0;-287.0;16.5;-13.7;967.0;3256.0;2352.0;-1.5;-1.6;-12.2;130.0;;0.785
2021.0;2153.0;1178.0;350.0;-189.0;-301.0;-425.0;275.0;1738.0;7301.0;1528.0;5249.0;1252.0;792.0;-373.0;-223.0;193.0;405.0;975.0;54.72;880.0;;404.0;404.0;;476.0;1855.0;28.0;170.0;569.0;16.24;-8.78;-112.0;-13.97;36.0;-19.74;-1.55;-1.55;275.0;;749.0;;749.0;515.0;132.0;342.0;4285.0;366.0;203.0;569.0;83.0;51.0;574.0;5562.0;;545.0;668.0;6.0;15.0;300.0;1917.0;10.0;280.0;1513.0;3721.0;;79.0;745.0;2296.0;-1941.0;116.0;36.0;6501.0;800.0;7301.0;;-425.0;569.0;-9.0;;138.0;-22.0;33.0;121.0;;519.0;-387.0;6.0;;;;-169.0;6.0;-3.0;-69.0;12.0;-2.0;749.0;556.0;;0.79;9.89;-1.95;1.86;0.32;1.78;5.75;275.0;-5.0;-0.2;3.2;2721.0;-8.8;719.0;-537.0;-11.8;-19.7;266.0;2423.0;1582.0;-4.9;-3.4;-33.9;116.2;;0.791
