;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (JPY/USD)
2003.0;;;;;;;4670.0;;;;;;;;;;;;;;;;;;;;;;;-118.59;;;-180.06;;-189.21;;;4670.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004.0;;;;;;;10850.0;;;;;;;;;;;;;;;;;;;;;;;113.45;;;74.37;;34.34;;;5629.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005.0;;;;;;;8317.0;;;;;;;;;;;;;;;;;;;;;;;127.25;;;85.23;;56.7;;;5743.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2006.0;;;;;;;5804.0;;;;;;;;;;;;;;;;;;;;;;;80.44;;;41.7;;27.65;;;5804.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;404.98;111.98;-297.62;13.05;10.04;827.88;5804.0;0.1;0.0;89.6;2350488.0;;119417.0;649903.0;25.4;27.6;88916275.0;13248714.0;4804992.0;1.0;1.2;13.5;88.3;-28.3;
2007.0;;;;;;;5804.0;;;;;;;;;;;;;;;;;;;;;;;96.79;;;37.85;;24.11;;;5804.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;443.84;106.99;-566.38;13.75;31.4;846.22;5804.0;0.1;0.0;108.3;2575981.0;;132986.0;620965.0;27.4;24.1;93843679.0;13374639.0;4911293.0;1.2;1.6;12.6;87.2;-20.8;
2008.0;;;;;;;5749408.0;;;;;;;;;;;;;;;;;;;;;;;111.86;;;22.44;;14.37;;;5739971.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.38;0.05;-0.01;0.02;0.04;0.68;5739971.0;150.7;7.0;0.2;2166503.0;;160409.0;311224.0;31.0;14.4;99953926.0;12818311.0;3902113.0;1.1;1.5;8.0;67.5;-592.0;
2009.0;;;;;;;5616.0;;;;;;;;;;;;;;;;;;;;;;;59.28;;;-22.31;;-65.93;;;5616.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;285.86;-188.48;583.43;23.75;39.37;150.66;5616.0;-0.0;-0.0;535.0;1605300.0;;146191.0;-1058447.0;-212.8;-65.9;79492442.0;10318230.0;846047.0;1.8;0.5;-125.1;112.6;;
2010.0;2364161.0;;1416729.0;;734507.0;1069667.0;7012.0;100429708.0;169436058.0;17376522.0;165870799.0;3173850.0;-1084929.0;-2593425.0;4392181.0;713205.0;-1358416.0;;;;;1263807.0;1165772.0;98034.0;-5074.0;;1667120.0;565130.0;167341.0;59.93;;;31.07;-385409.0;45.25;34.86;33.32;7007.0;;5926025.0;40447461.0;46373485.0;2089765.0;;51966458.0;1121271.0;16067.0;86664.0;102731.0;67782348.0;;;69006350.0;238442408.0;1506105.0;15870417.0;18996.0;;;10700248.0;155532.0;12524.0;;10868305.0;159362581.0;21167.0;573489.0;4627434.0;-2487867.0;466340.0;-5547.0;169044649.0;391409.0;169436058.0;;1069667.0;167341.0;-403720.0;;-2342285.0;;;;-2376471.0;424068.0;-273488.0;127012.0;-67986220.0;55849927.0;9689343.0;-2068340.0;571164.0;-5.0;-139418.0;6028780.0;-622.0;3637421.0;2924216.0;;1.07;315.35;142.68;-181.2;18.6;36.48;423.35;7007.0;0.0;0.0;532.9;2209496.0;;156393.0;999689.0;-52.5;45.2;77619800.0;10000232.0;2966215.0;1.3;0.7;33.7;87.0;31.8;1.07
2011.0;2329533.0;;1468930.0;;734790.0;495987.0;9866.0;117950515.0;194690577.0;26046193.0;189840482.0;4415164.0;1143983.0;-12584715.0;9639058.0;-1820792.0;886239.0;;;;;1380779.0;1265261.0;115518.0;4262.0;;1666568.0;539481.0;201222.0;63.06;;;31.54;232240.0;21.29;49.21;46.32;9861.0;;12296727.0;46331972.0;58628699.0;1399245.0;;57922572.0;1339162.0;9146.0;91064.0;100211.0;75300689.0;;;76740061.0;271430638.0;1712095.0;24334099.0;19221.0;;;11651734.0;176122.0;15456.0;;11843312.0;175637601.0;28598.0;545153.0;6206804.0;-2459116.0;126166.0;-3842.0;194255646.0;434930.0;194690577.0;;495987.0;201222.0;210169.0;;474735.0;;;;439218.0;-238130.0;-257744.0;334.0;-87883340.0;86920583.0;-11364549.0;-1869743.0;910793.0;-4.0;-160964.0;10758976.0;-19117.0;2265018.0;4085810.0;;1.2;196.54;41.85;74.77;13.58;21.75;372.51;9861.0;0.1;0.0;420.5;1938209.0;;167420.0;412669.0;31.6;21.3;76465864.0;9694429.0;3673487.0;0.5;0.7;11.2;67.5;-84.6;1.202
2012.0;2394210.0;;1511225.0;;800108.0;792327.0;12011.0;119080334.0;200815127.0;25934266.0;195205705.0;5396662.0;-2160022.0;-2224556.0;3580070.0;-806227.0;-2370682.0;;;;;1415617.0;1285373.0;130244.0;-8531.0;;1648303.0;502104.0;200042.0;63.12;;;33.42;16752.0;33.09;48.7;48.7;12011.0;;9017229.0;49803710.0;58820939.0;1366302.0;;58893093.0;1333687.0;6802.0;84859.0;91661.0;80309445.0;;;81734793.0;282549920.0;2252293.0;23681973.0;40543.0;;;10214261.0;171368.0;19136.0;;10404765.0;179676204.0;25169.0;495355.0;6552129.0;-1938733.0;296449.0;-8539.0;200602366.0;212761.0;200815127.0;;792327.0;200042.0;-49417.0;;-3155078.0;;;;-3166938.0;52104.0;-210659.0;;-105617223.0;102287837.0;1315489.0;-2679860.0;2373.0;-3090.0;-260615.0;6521262.0;-1719.0;1468590.0;2274817.0;;1.21;165.14;54.65;-163.52;17.98;14.53;372.24;12011.0;0.1;0.0;567.1;1983440.0;;165721.0;656389.0;2.1;33.1;77165163.0;8461818.0;4470766.0;0.7;0.7;14.7;67.1;-11.0;1.207
