;Revenue;Gross Profit;EBITDA;Operating Income;Income Before Tax;Net Income;Weighted Avg. Shares Outs. Dil.;Total Current Assets;Total Assets;Total Current Liabilities;Total Liabilities;Total Stockholders Equity;Cash Provided by Operating Activities;Cash Used for Investing Activities;Cash Used/Provided by Financing Activities;Net Change In Cash;Free Cash Flow;COGS;Gross Profit Ratio;Operating Expenses;R&D Expenses;Selling, G&A Exp.;General and Admin. Exp.;Selling and Marketing Exp;Other Expenses;COGS and Expenses;Interest Income;Interest Expense;Depreciation and Amortization;EBITDA ratio;Operating Income ratio;Total Other Income Exp.(Gains);Income Before Tax ratio;Income Tax Expense (Gain);Net Income Ratio;EPS;EPS Diluted;Weighted Avg. Shares Outs.;I_SEC Link;Cash and Cash Equivalents;Short-Term Investments;Cash & Short-Term Investments;Net Receivables;Inventory;Other Current Assets;PP&E;Goodwill;Intangible Assets;Goodwill and Intangible Assets;Investments;Tax Assets;Other Non-Current Assets;Total Non-Current Assets;Other Assets;Accounts Payable;Short-Term Debt;Tax Payable;Deferred Revenue;Other Current Liabilities;Long-Term Debt;Deferred Revenue;Deferred Tax Liabilities;Other Non-Current Liabilities;Total Non-Current Liabilities;Other Liabilities;Capital Lease Obligations;Preferred Stock;Common Stock;Retained Earnings;Other Compreh. Income(Loss);Other Total Stockhold. Equity;Total Liab.&Stockhold. Equity;Minority Interest;Total Liabilities & Equity;B_SEC Link;Net_Income;Depreciation_and_Amortization;Deferred_Income_Tax;Stock Based Compensation;Change in Working Capital;Accounts Receivable;Inventory;Accounts Payable;Other Working Capital;Other Non-Cash Items;CAPEX;Acquisitions Net;Purchases of Investments;Sales/Maturities of Investments;Other Investing Activities;Debt Repayment;Common Stock Issued;Common Stock Repurchased;Dividends Paid;Other Financing Activities;Effect of Forex Changes on Cash;Cash at the End of Period;Cash at the Beginning of Period;C_SEC Link;Dunno;Revenue per share;Earnings per share;FCF per share;Dividends per share;CAPEX per share;Book Value per sh.;Comm.Shares outs.;Avg. annual P/E ratio;P/E to S&P500;Avg. annual div. yield;Revenue (m);Operating margin;Depreciation (m);Net profit (m);Income tax rate;Net profit margin;Working capital (m);Long-term debt (m);Equity (m);ROIC;Return on capital;Return on equity;Plowback ratio;Div.&Repurch./FCF;Forex (ZAR/USD)
1994.0;2639.0;907.0;943.0;700.0;656.0;411.0;700.0;1191.0;4014.0;919.0;2039.0;1975.0;551.0;;-93.0;;210.0;1731.0;34.39;208.0;;;;;208.0;1939.0;;80.0;208.0;35.74;26.52;-44.0;24.85;245.0;15.58;0.62;0.59;666.0;;366.0;;366.0;472.0;354.0;;2736.0;;;;;;87.0;2823.0;;467.0;144.0;;;307.0;631.0;;454.0;35.0;1120.0;;;;;1602.0;-1604.0;1978.0;4014.0;;4014.0;;411.0;208.0;;;-86.0;;-16.0;;;18.0;-341.0;;;;8.0;;5.0;;;-97.0;;;241.0;;0.27;;;;;;;;;;;;;;;;;;;;;;;;;
1995.0;3289.0;1053.0;1058.0;778.0;768.0;512.0;616.0;1617.0;4682.0;1112.0;1881.0;2764.0;780.0;;-132.0;;373.0;2236.0;32.01;274.0;;;;;274.0;2510.0;;16.0;274.0;32.18;23.67;-10.0;23.37;257.0;15.56;0.89;0.83;575.0;;588.0;;588.0;587.0;442.0;;2996.0;;;;;;69.0;3065.0;;619.0;216.0;;;277.0;317.0;;453.0;0.0;769.0;;;;;1881.0;-1919.0;2802.0;4645.0;37.0;4682.0;;512.0;274.0;;;-306.0;;-53.0;;;300.0;-407.0;;;;-28.0;;2.0;;;-134.0;;;376.0;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;
1996.0;3106.0;950.0;1042.0;748.0;783.0;571.0;635.0;1409.0;4159.0;825.0;1694.0;2436.0;659.0;;-141.0;;201.0;2155.0;30.6;203.0;;;;;203.0;2358.0;;56.0;203.0;33.54;24.07;35.0;25.21;212.0;18.39;0.94;0.9;608.0;;564.0;;564.0;529.0;316.0;-0.0;2647.0;;;;;;102.0;2750.0;;526.0;68.0;;;231.0;470.0;;376.0;23.0;868.0;;;;;1562.0;-1714.0;2588.0;4130.0;30.0;4159.0;;571.0;203.0;;;-370.0;;34.0;;;255.0;-458.0;;;;14.0;;4.0;;;-145.0;;;490.0;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;
1997.0;3488.0;1149.0;1148.0;933.0;913.0;562.0;646.0;1595.0;4631.0;880.0;2014.0;2598.0;637.0;;-42.0;;60.0;2339.0;32.94;215.0;;;;;215.0;2554.0;;20.0;215.0;32.93;26.76;-20.0;26.19;351.0;16.12;0.93;0.87;604.0;;538.0;;538.0;537.0;520.0;;2904.0;;;;;;132.0;3036.0;;552.0;65.0;;;262.0;227.0;;698.0;209.0;1134.0;;;;;2263.0;-1852.0;2187.0;4613.0;18.0;4631.0;;562.0;215.0;;;-437.0;;-109.0;;;296.0;-577.0;;;;-22.0;;5.0;;;-47.0;;;543.0;;0.22;;;;;;;;;;;;;;;;;;;;;;;;;
1998.0;2741.0;745.0;740.0;507.0;543.0;341.0;641.0;1298.0;3868.0;867.0;1711.0;2142.0;322.0;;146.0;-16.0;-160.0;1996.0;27.18;238.0;25.0;;;;213.0;2234.0;;;197.0;26.98;18.5;36.0;19.8;201.0;12.45;0.56;0.53;607.0;;385.0;;385.0;495.0;419.0;;2491.0;;;;;;79.0;2570.0;;478.0;255.0;;;133.0;169.0;;578.0;97.0;844.0;;;;;1890.0;-1602.0;1854.0;3853.0;15.0;3868.0;;341.0;197.0;;;-52.0;;-21.0;;;-164.0;-482.0;;;;-2.0;;2.0;;;144.0;;385.0;401.0;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
1999.0;3189.0;895.0;846.0;602.0;612.0;412.0;642.0;1214.0;4033.0;695.0;1500.0;2516.0;355.0;;-165.0;-255.0;-37.0;2293.0;28.08;293.0;24.0;;;;269.0;2587.0;;;234.0;26.52;18.88;10.0;19.2;200.0;12.93;0.68;0.64;604.0;;134.0;;134.0;607.0;472.0;;2668.0;;26.0;26.0;;;125.0;2819.0;;478.0;82.0;;;135.0;171.0;;523.0;111.0;805.0;;;;;2259.0;-1844.0;2101.0;4016.0;17.0;4033.0;;412.0;234.0;;;-153.0;;-41.0;;;-138.0;-392.0;;;;-52.0;;2.0;;;-167.0;;134.0;389.0;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
2000.0;3776.0;1328.0;1191.0;983.0;910.0;596.0;661.0;1318.0;4187.0;1005.0;1731.0;2438.0;915.0;;-271.0;-44.0;623.0;2448.0;35.16;345.0;47.0;;;;298.0;2793.0;;;281.0;31.53;26.03;-73.0;24.09;314.0;15.78;0.97;0.9;604.0;;74.0;;74.0;704.0;540.0;;2499.0;;257.0;257.0;;;113.0;2869.0;;543.0;155.0;;;307.0;151.0;;483.0;93.0;727.0;;;;;2264.0;-1993.0;2167.0;4170.0;17.0;4187.0;;596.0;281.0;;;-128.0;;-82.0;;;166.0;-292.0;;;;18.0;;2.0;-189.0;-163.0;79.0;;74.0;118.0;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
2001.0;5400.0;2036.0;1742.0;1409.0;1371.0;917.0;627.0;2455.0;6228.0;1707.0;3442.0;2772.0;1177.0;;673.0;223.0;700.0;3363.0;37.71;627.0;;;;;627.0;3990.0;30.0;66.0;305.0;32.27;26.1;-38.0;25.39;454.0;16.98;1.46;1.46;627.0;;296.0;;296.0;1260.0;899.0;;3483.0;;69.0;69.0;;;220.0;3772.0;;925.0;434.0;;;348.0;620.0;;584.0;531.0;1735.0;;;;;3768.0;-3006.0;2010.0;6215.0;13.0;6228.0;;917.0;305.0;;;-70.0;;-78.0;;;25.0;-477.0;;-67.0;;-29.0;;6.0;-146.0;-4.0;817.0;-13.0;296.0;73.0;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
2002.0;6121.0;2474.0;1512.0;1480.0;1421.0;940.0;625.0;2308.0;6261.0;1658.0;3287.0;2949.0;1153.0;;-443.0;-108.0;375.0;3647.0;40.42;994.0;;;;;994.0;4641.0;23.0;86.0;12.0;24.7;24.19;-59.0;23.21;474.0;15.35;1.53;1.53;613.0;;370.0;23.0;393.0;1031.0;884.0;;3595.0;;130.0;130.0;;;228.0;3953.0;;659.0;515.0;;;484.0;533.0;;535.0;562.0;1629.0;;;;;3785.0;-3088.0;2252.0;6236.0;25.0;6261.0;;940.0;12.0;;;28.0;;-28.0;;;173.0;-778.0;;;;3.0;;7.0;-100.0;-7.0;-343.0;;195.0;303.0;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;
2003.0;9059.0;3085.0;2268.0;1582.0;1573.0;1056.0;670.0;3267.0;9765.0;2826.0;4981.0;4715.0;1688.0;-1654.0;274.0;276.0;414.0;5975.0;34.05;1503.0;;;;;1503.0;7477.0;;;650.0;25.04;17.46;-9.0;17.36;563.0;11.66;1.6;1.58;658.0;;462.0;;462.0;1448.0;1211.0;146.0;5532.0;;387.0;387.0;;43.0;537.0;6498.0;;643.0;1386.0;;;797.0;895.0;;767.0;493.0;2155.0;;;;409.0;4956.0;-130.0;-520.0;9697.0;68.0;9765.0;;1056.0;650.0;49.0;;-203.0;;-29.0;;;136.0;-1274.0;;;;-380.0;;12.0;-27.0;-408.0;696.0;-32.0;462.0;186.0;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
